,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
4067,966,Valid,2021/02/21,20:37:51,32.111056,34.807765,6.3,0.0,0.0,1.3,1.0,0.8,7,12,38.1,2021-02-21 20:37:51
4068,967,Valid,2021/02/21,20:38:22,32.110646,34.807963,8.1,0.0,0.0,1.8,1.5,0.9,6,12,37.4,2021-02-21 20:38:22
4069,968,Valid,2021/02/21,20:38:52,32.110504,34.808078,10.8,0.0,0.0,2.3,1.7,1.7,8,12,38.6,2021-02-21 20:38:52
4070,969,Valid,2021/02/21,20:39:22,32.11087,34.807612,16.6,47.48,102.37,1.6,1.0,1.3,9,12,39.7,2021-02-21 20:39:22
4071,970,Valid,2021/02/21,20:39:52,32.111187,34.807882,16.0,35.29,46.92,1.5,0.9,1.3,10,12,37.4,2021-02-21 20:39:52
4072,971,Valid,2021/02/21,20:40:23,32.111354999999996,34.808141,17.6,0.0,0.0,2.8,1.4,2.5,9,12,35.8,2021-02-21 20:40:23
4073,972,Valid,2021/02/21,20:40:53,32.11124,34.808128,17.4,0.0,0.0,1.5,1.2,0.9,7,12,37.5,2021-02-21 20:40:53
4074,973,Valid,2021/02/21,20:41:23,32.111296,34.807953999999995,19.2,0.0,0.0,2.2,1.2,1.8,8,12,36.0,2021-02-21 20:41:23
4075,974,Valid,2021/02/21,20:41:54,32.11104,34.808421,27.6,0.0,0.0,1.6,0.9,1.3,8,12,35.5,2021-02-21 20:41:54
4076,975,Valid,2021/02/21,20:42:24,32.111164,34.80788,29.8,35.46,23.93,2.0,1.1,1.7,8,12,39.3,2021-02-21 20:42:24
4077,976,Valid,2021/02/21,20:42:54,32.111104,34.807804,31.3,24.12,86.87,1.8,1.6,0.9,7,12,41.3,2021-02-21 20:42:54
4078,977,Valid,2021/02/21,20:43:24,32.110717,34.807668,34.6,0.0,0.0,1.6,0.9,1.3,9,12,36.5,2021-02-21 20:43:24
4079,978,Valid,2021/02/21,20:43:55,32.110995,34.807662,34.8,0.0,0.0,1.5,0.9,1.3,10,12,38.2,2021-02-21 20:43:55
4080,979,Valid,2021/02/21,20:44:25,32.111340999999996,34.808355999999996,36.4,0.0,0.0,1.5,0.9,1.2,10,12,34.7,2021-02-21 20:44:25
4081,980,Valid,2021/02/21,20:44:55,32.111204,34.808003,36.3,8.84,272.69,1.6,1.0,1.3,9,12,33.7,2021-02-21 20:44:55
4082,981,Valid,2021/02/21,20:45:26,32.111104,34.807874,38.7,0.0,0.0,1.3,1.0,0.9,6,12,36.3,2021-02-21 20:45:26
4083,982,Valid,2021/02/21,20:45:56,32.111305,34.808354,42.8,0.0,0.0,1.6,0.9,1.3,9,12,34.3,2021-02-21 20:45:56
4084,983,Valid,2021/02/21,20:46:26,32.111391999999995,34.808025,55.8,0.0,0.0,1.4,0.8,1.2,11,12,37.4,2021-02-21 20:46:26
4085,984,Valid,2021/02/21,20:46:57,32.111263,34.808248999999996,59.4,16.83,228.12,1.6,1.0,1.2,8,12,35.1,2021-02-21 20:46:57
4086,985,Valid,2021/02/21,20:47:27,32.111267,34.808355,57.8,0.0,0.0,1.4,0.8,1.2,11,12,36.1,2021-02-21 20:47:27
4087,986,Valid,2021/02/21,20:47:57,32.111071,34.808463,57.4,0.0,0.0,2.1,1.2,1.7,9,12,35.0,2021-02-21 20:47:57
4088,987,Valid,2021/02/21,20:48:28,32.111191,34.808114,57.5,0.0,0.0,2.2,2.0,0.9,6,12,37.1,2021-02-21 20:48:28
4089,988,Valid,2021/02/21,20:48:58,32.111185,34.808351,58.7,24.84,344.49,1.6,0.9,1.3,10,12,38.6,2021-02-21 20:48:58
4090,989,Valid,2021/02/21,20:49:28,32.11136,34.808328,59.3,0.0,0.0,2.2,1.5,1.6,8,12,38.1,2021-02-21 20:49:28
4091,990,Valid,2021/02/21,20:49:58,32.111538,34.808288,59.2,0.0,0.0,1.7,1.0,1.4,9,12,35.5,2021-02-21 20:49:58
4092,991,Valid,2021/02/21,20:50:29,32.11148,34.808197,58.1,0.0,0.0,1.7,1.1,1.4,8,12,37.0,2021-02-21 20:50:29
4093,992,Valid,2021/02/21,20:50:59,32.111298,34.808332,58.6,0.0,0.0,1.5,1.2,0.9,6,12,38.1,2021-02-21 20:50:59
4094,993,Valid,2021/02/21,20:51:29,32.112777,34.808413,60.1,0.0,0.0,1.9,0.9,1.7,9,12,39.1,2021-02-21 20:51:29
4095,994,Valid,2021/02/21,20:52:00,32.112657,34.808419,60.5,0.0,0.0,1.6,0.9,1.4,9,12,33.6,2021-02-21 20:52:00
4096,995,Valid,2021/02/21,20:52:30,32.112671999999996,34.808303,56.7,0.0,0.0,2.0,1.2,1.6,9,12,38.9,2021-02-21 20:52:30
4097,996,Valid,2021/02/21,20:53:00,32.11257,34.808755,54.1,9.69,126.28,2.0,1.0,1.7,8,12,38.6,2021-02-21 20:53:00
4098,997,Valid,2021/02/21,20:53:31,32.112955,34.808622,52.7,0.0,0.0,1.6,0.9,1.3,10,12,37.7,2021-02-21 20:53:31
4099,998,Valid,2021/02/21,20:54:01,32.112275,34.808876,52.7,24.7,244.62,1.9,0.9,1.7,9,12,39.6,2021-02-21 20:54:01
4100,999,Valid,2021/02/21,20:54:31,32.111452,34.808162,53.2,17.04,90.05,1.8,1.1,1.4,8,12,40.2,2021-02-21 20:54:31
4101,1000,Valid,2021/02/21,20:55:01,32.111088,34.807809999999996,50.3,0.0,0.0,1.7,1.1,1.3,9,12,37.1,2021-02-21 20:55:01
4102,1433,Valid,2021/02/22,00:36:09,32.111281,34.808337,52.0,0.0,90.0,1.6,0.9,1.3,9,11,34.7,2021-02-22 00:36:09
4103,1434,Valid,2021/02/22,00:36:40,32.110960999999996,34.808068,64.5,21.52,255.02,1.5,1.2,0.9,6,11,37.3,2021-02-22 00:36:40
