,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
3592,6,Valid,2021/04/22,11:33:18,32.11118,34.807911,4.4,7.6,159.6,1.3,1.0,0.9,7,8,37.7,2021-04-22 11:33:18
3593,544,Valid,2021/04/22,16:04:47,32.110865999999994,34.807367,7.3,0.0,0.0,1.7,1.5,0.9,6,11,35.1,2021-04-22 16:04:47
3594,599,Valid,2021/04/22,16:32:33,32.111144,34.80784,8.5,0.0,0.0,1.9,1.0,1.6,8,11,37.5,2021-04-22 16:32:33
3595,686,Valid,2021/04/22,17:16:28,32.111102,34.807718,11.9,0.0,0.0,1.7,0.9,1.4,9,10,37.1,2021-04-22 17:16:28
3596,687,Valid,2021/04/22,17:16:58,32.111111,34.80784,14.9,0.0,0.0,1.5,1.2,0.9,7,10,38.1,2021-04-22 17:16:58
3597,688,Valid,2021/04/22,17:17:29,32.111218,34.807656,26.5,0.0,0.0,1.8,1.0,1.5,8,10,38.4,2021-04-22 17:17:29
3598,689,Valid,2021/04/22,17:17:59,32.111199,34.807745000000004,34.5,0.0,0.0,1.8,1.0,1.5,8,10,39.0,2021-04-22 17:17:59
3599,690,Valid,2021/04/22,17:18:29,32.111289,34.807567999999996,39.7,4.65,220.73,1.7,1.0,1.4,8,10,39.7,2021-04-22 17:18:29
3600,691,Valid,2021/04/22,17:18:59,32.111213,34.807846000000005,38.9,0.0,0.0,1.8,1.5,0.9,6,10,37.0,2021-04-22 17:18:59
3601,692,Valid,2021/04/22,17:19:30,32.110015000000004,34.808259,38.9,6.35,152.52,1.4,1.0,0.9,6,10,35.8,2021-04-22 17:19:30
3602,694,Valid,2021/04/22,17:20:30,32.111418,34.807691,40.1,0.0,0.0,1.4,1.1,0.9,6,10,35.1,2021-04-22 17:20:30
3603,695,Valid,2021/04/22,17:21:01,32.111497,34.80726,41.6,6.57,35.76,1.3,1.0,0.8,7,10,37.6,2021-04-22 17:21:01
3604,696,Valid,2021/04/22,17:21:31,32.111282,34.807659,42.6,0.0,0.0,1.4,1.1,0.9,7,10,35.4,2021-04-22 17:21:31
3605,699,Valid,2021/04/22,17:23:02,32.111098,34.807538,45.3,12.95,4.89,1.4,1.1,0.8,7,10,33.5,2021-04-22 17:23:02
3606,700,Valid,2021/04/22,17:23:32,32.111090999999995,34.807292,53.9,0.0,0.0,1.4,1.1,0.9,6,10,37.1,2021-04-22 17:23:32
3607,701,Valid,2021/04/22,17:24:02,32.111101,34.807734,55.1,7.62,301.35,1.4,1.1,0.9,6,10,35.7,2021-04-22 17:24:02
3608,705,Valid,2021/04/22,17:26:04,32.11083,34.807458000000004,58.2,0.0,0.0,1.4,1.1,0.8,7,10,36.7,2021-04-22 17:26:04
3609,706,Valid,2021/04/22,17:26:34,32.110547,34.807521,61.0,0.0,0.0,1.3,1.0,0.9,6,10,36.3,2021-04-22 17:26:34
3610,708,Valid,2021/04/22,17:27:35,32.110098,34.807990999999994,60.8,0.0,0.0,1.3,1.0,0.9,6,10,35.9,2021-04-22 17:27:35
3611,786,Valid,2021/04/22,18:06:57,32.110973,34.807621000000005,58.7,9.77,286.84,1.5,1.2,0.9,7,11,37.2,2021-04-22 18:06:57
3612,788,Valid,2021/04/22,18:07:58,32.111444,34.807849,54.7,0.0,0.0,1.8,1.6,0.9,6,11,34.6,2021-04-22 18:07:58
3613,789,Valid,2021/04/22,18:08:28,32.111487,34.806359,55.1,0.0,0.0,1.6,1.4,0.9,6,11,36.7,2021-04-22 18:08:28
3614,794,Valid,2021/04/22,18:11:00,32.111244,34.808236,57.8,0.0,0.0,1.7,1.5,0.9,6,10,37.7,2021-04-22 18:11:00
3615,796,Valid,2021/04/22,18:12:00,32.110964,34.80745,61.6,0.0,0.0,1.4,1.1,0.8,7,10,34.4,2021-04-22 18:12:00
3616,798,Valid,2021/04/22,18:13:01,32.110917,34.807860999999995,62.1,0.0,0.0,1.6,1.3,0.9,6,10,38.0,2021-04-22 18:13:01
3617,831,Valid,2021/04/22,18:29:41,32.11128,34.807738,61.6,0.0,0.0,1.6,1.3,0.9,7,12,38.4,2021-04-22 18:29:41
3618,832,Valid,2021/04/22,18:30:11,32.110888,34.807807000000004,61.6,27.73,21.84,1.6,1.3,0.9,7,12,38.2,2021-04-22 18:30:11
3619,833,Valid,2021/04/22,18:30:41,32.111641999999996,34.807515,61.5,37.54,174.05,1.6,1.3,0.9,7,12,35.4,2021-04-22 18:30:41
3620,844,Valid,2021/04/22,18:36:15,32.111253000000005,34.808178999999996,61.6,0.0,0.0,1.7,1.4,1.0,6,12,30.7,2021-04-22 18:36:15
3621,852,Valid,2021/04/22,18:40:17,32.111057,34.807736,62.0,21.88,237.05,1.9,1.6,1.0,6,11,38.5,2021-04-22 18:40:17
3622,853,Valid,2021/04/22,18:40:47,32.111579,34.806733,61.9,0.0,0.0,1.7,1.4,0.9,6,11,38.5,2021-04-22 18:40:47
