,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
1144,18,Valid,2020/01/16,12:34:52,32.111805,34.80812,3.2,0.0,0.0,1.4,1.1,0.9,7,11,35.4,2020-01-16 12:34:52
1145,20,Valid,2020/01/16,12:35:22,32.111357,34.807874,6.8,4.09,60.55,1.4,1.1,0.9,6,11,36.3,2020-01-16 12:35:22
1146,1083,Valid,2020/01/16,17:06:11,32.111092,34.808002,13.5,0.0,0.0,1.4,1.2,0.9,7,10,35.2,2020-01-16 17:06:11
1147,1084,Valid,2020/01/16,17:06:27,32.110942,34.80814,14.7,0.0,0.0,1.9,1.7,0.9,6,10,32.7,2020-01-16 17:06:27
1148,1085,Valid,2020/01/16,17:06:42,32.111338,34.80842,15.2,24.37,54.69,1.7,1.5,0.9,6,10,38.7,2020-01-16 17:06:42
1149,1086,Valid,2020/01/16,17:06:57,32.111637,34.808275,15.9,37.09,328.7,1.7,1.5,0.9,6,10,34.8,2020-01-16 17:06:57
1150,1088,Valid,2020/01/16,17:07:28,32.112414,34.8088,17.7,0.0,0.0,1.9,1.7,0.9,6,10,37.1,2020-01-16 17:07:28
1151,1089,Valid,2020/01/16,17:07:43,32.112770000000005,34.808823,17.8,0.0,0.0,1.7,1.5,0.9,6,10,38.3,2020-01-16 17:07:43
1152,1092,Valid,2020/01/16,17:08:29,32.112833,34.808889,21.7,0.0,0.0,1.4,1.1,0.9,7,10,37.1,2020-01-16 17:08:29
1153,1102,Valid,2020/01/16,17:11:02,32.112757,34.808656,28.3,0.0,0.0,1.8,1.1,1.5,8,9,37.3,2020-01-16 17:11:02
1154,1103,Valid,2020/01/16,17:11:17,32.112746,34.808581,28.4,0.0,0.0,1.8,1.5,0.9,6,9,38.1,2020-01-16 17:11:17
1155,1104,Valid,2020/01/16,17:11:33,32.112693,34.808723,31.9,0.0,0.0,1.8,1.5,0.9,6,9,38.2,2020-01-16 17:11:33
1156,1106,Valid,2020/01/16,17:12:03,32.112770000000005,34.808662,31.0,14.68,206.63,1.6,1.3,0.9,6,9,37.5,2020-01-16 17:12:03
1157,1107,Valid,2020/01/16,17:12:19,32.112587,34.808893,33.0,0.0,0.0,1.7,1.4,0.9,6,9,35.6,2020-01-16 17:12:19
1158,1108,Valid,2020/01/16,17:12:34,32.112552,34.808969,33.7,0.0,0.0,1.6,1.3,0.9,6,9,35.1,2020-01-16 17:12:34
1159,1122,Valid,2020/01/16,17:16:08,32.112761,34.808839,33.4,0.0,0.0,1.7,1.4,0.9,6,10,38.7,2020-01-16 17:16:08
1160,1124,Valid,2020/01/16,17:16:39,32.113014,34.808809000000004,33.8,14.77,72.67,2.0,1.8,0.9,6,10,35.8,2020-01-16 17:16:39
1161,1125,Valid,2020/01/16,17:16:54,32.112646999999996,34.808608,33.5,0.0,0.0,1.6,1.3,0.9,6,10,36.0,2020-01-16 17:16:54
1162,1126,Valid,2020/01/16,17:17:10,32.111934999999995,34.808935,32.9,0.0,0.0,1.8,1.6,0.9,6,10,37.1,2020-01-16 17:17:10
1163,1129,Valid,2020/01/16,17:17:55,32.112508,34.807697999999995,33.6,45.72,9.98,1.6,1.3,0.9,6,10,37.4,2020-01-16 17:17:55
1164,1130,Valid,2020/01/16,17:18:11,32.112884,34.807790999999995,32.1,0.0,0.0,1.6,1.3,0.9,6,10,36.8,2020-01-16 17:18:11
1165,1131,Valid,2020/01/16,17:18:26,32.11255,34.80874,31.9,0.0,0.0,1.5,1.2,0.9,7,10,37.0,2020-01-16 17:18:26
1166,1151,Valid,2020/01/16,17:23:32,32.112826,34.80855,30.5,43.07,348.57,1.5,1.2,0.9,7,10,37.3,2020-01-16 17:23:32
1167,1152,Valid,2020/01/16,17:23:48,32.112462,34.808699,32.5,0.0,0.0,2.0,1.2,1.6,8,10,36.2,2020-01-16 17:23:48
1168,1153,Valid,2020/01/16,17:24:03,32.112851,34.808702000000004,32.8,0.0,0.0,2.0,1.2,1.6,8,11,36.7,2020-01-16 17:24:03
1169,1154,Valid,2020/01/16,17:24:18,32.112182000000004,34.809111,33.6,36.49,174.34,1.5,1.2,0.9,7,11,35.1,2020-01-16 17:24:18
1170,1155,Valid,2020/01/16,17:24:34,32.111657,34.808403999999996,30.9,0.0,0.0,1.6,1.3,0.9,6,11,36.9,2020-01-16 17:24:34
1171,1156,Valid,2020/01/16,17:24:49,32.111358,34.808214,30.8,0.0,0.0,1.6,1.3,0.9,6,11,33.3,2020-01-16 17:24:49
1172,1163,Valid,2020/01/16,17:26:36,32.111236,34.808558000000005,30.3,0.0,0.0,1.7,1.4,0.9,6,11,32.6,2020-01-16 17:26:36
1173,1169,Valid,2020/01/16,17:28:08,32.111022,34.808721000000006,30.4,0.0,0.0,1.7,1.4,0.9,6,11,31.8,2020-01-16 17:28:08
