,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
1362,12,Valid,2020/01/30,12:36:19,32.111185,34.808122,0.8,0.0,0.0,1.6,1.3,0.9,6,11,35.2,2020-01-30 12:36:19
1363,469,Valid,2020/01/30,16:26:56,32.11132,34.808312,2.1,0.0,0.0,2.2,2.0,0.9,6,11,36.9,2020-01-30 16:26:56
1364,475,Valid,2020/01/30,16:29:57,32.11119,34.80863,3.9,0.0,0.0,1.9,1.7,0.9,6,11,34.8,2020-01-30 16:29:57
1365,479,Valid,2020/01/30,16:31:59,32.110775,34.808766999999996,2.4,0.0,0.0,1.7,1.4,0.9,6,11,31.5,2020-01-30 16:31:59
1366,480,Valid,2020/01/30,16:32:29,32.11128,34.809115000000006,5.1,6.67,45.32,1.5,1.3,0.9,6,11,30.9,2020-01-30 16:32:29
1367,488,Valid,2020/01/30,16:36:31,32.111374,34.808789000000004,11.4,47.27,26.04,1.5,1.3,0.9,7,11,39.3,2020-01-30 16:36:31
1368,489,Valid,2020/01/30,16:37:01,32.112229,34.808088,12.3,0.0,0.0,1.7,1.4,0.9,6,11,35.3,2020-01-30 16:37:01
1369,490,Valid,2020/01/30,16:37:32,32.112809999999996,34.808240000000005,11.3,0.0,0.0,1.5,1.2,0.9,7,11,37.6,2020-01-30 16:37:32
1370,492,Valid,2020/01/30,16:38:32,32.111867,34.80806,12.6,39.35,167.8,1.5,1.3,0.9,7,11,37.2,2020-01-30 16:38:32
1371,493,Valid,2020/01/30,16:39:02,32.112061,34.808626000000004,13.7,28.13,236.19,1.5,1.3,0.9,7,10,36.3,2020-01-30 16:39:02
1372,494,Valid,2020/01/30,16:39:33,32.111940000000004,34.808643,18.9,0.0,0.0,1.5,1.3,0.9,7,10,38.2,2020-01-30 16:39:33
1373,495,Valid,2020/01/30,16:40:03,32.111916,34.80774,19.2,37.58,149.58,2.0,1.8,0.9,6,10,34.7,2020-01-30 16:40:03
1374,496,Valid,2020/01/30,16:40:33,32.112043,34.8082,18.8,0.0,0.0,1.5,1.3,0.9,7,10,36.5,2020-01-30 16:40:33
1375,497,Valid,2020/01/30,16:41:04,32.111887,34.80823,18.5,0.0,0.0,1.5,1.2,0.9,7,10,36.4,2020-01-30 16:41:04
1376,498,Valid,2020/01/30,16:41:34,32.111990999999996,34.807997,18.9,0.0,0.0,1.5,1.2,0.9,7,10,35.8,2020-01-30 16:41:34
1377,499,Valid,2020/01/30,16:42:04,32.111944,34.808263000000004,19.8,0.0,0.0,1.6,1.3,0.9,6,10,36.8,2020-01-30 16:42:04
1378,512,Valid,2020/01/30,16:48:38,32.111181,34.808698,20.0,0.0,0.0,1.6,1.3,0.9,6,10,34.5,2020-01-30 16:48:38
1379,513,Valid,2020/01/30,16:49:08,32.111453000000004,34.808696999999995,21.9,0.0,0.0,1.6,1.3,0.9,6,10,32.8,2020-01-30 16:49:08
1380,514,Valid,2020/01/30,16:49:38,32.111540000000005,34.808316,24.0,9.15,153.23,1.4,1.1,0.8,6,10,32.1,2020-01-30 16:49:38
1381,516,Valid,2020/01/30,16:50:39,32.111315999999995,34.808029,26.5,0.0,0.0,1.4,1.0,0.9,7,10,35.1,2020-01-30 16:50:39
1382,519,Valid,2020/01/30,16:52:10,32.111238,34.808208,28.2,0.0,0.0,1.3,1.0,0.8,7,10,31.0,2020-01-30 16:52:10
1383,520,Valid,2020/01/30,16:52:40,32.112263,34.808949,31.3,0.0,0.0,1.4,1.0,0.9,7,10,38.0,2020-01-30 16:52:40
1384,521,Valid,2020/01/30,16:53:10,32.111815,34.808543,31.8,0.0,0.0,1.6,1.3,0.9,6,10,32.6,2020-01-30 16:53:10
1385,524,Valid,2020/01/30,16:54:41,32.111458,34.808505,31.9,0.0,0.0,1.5,1.2,0.9,6,10,31.3,2020-01-30 16:54:41
1386,526,Valid,2020/01/30,16:55:42,32.112047,34.808618,32.2,0.0,0.0,1.5,1.2,0.9,7,10,37.9,2020-01-30 16:55:42
1387,527,Valid,2020/01/30,16:56:12,32.11335,34.807509,35.8,26.4,316.03,1.6,1.0,1.3,8,10,37.0,2020-01-30 16:56:12
1388,528,Valid,2020/01/30,16:56:42,32.113158,34.80795,35.8,0.0,0.0,1.4,1.1,0.9,7,10,36.7,2020-01-30 16:56:42
1389,529,Valid,2020/01/30,16:57:13,32.113,34.807905,34.3,0.0,0.0,1.5,1.2,0.9,6,10,38.3,2020-01-30 16:57:13
1390,530,Valid,2020/01/30,16:57:43,32.113045,34.808147,34.2,18.78,173.0,1.5,1.2,0.9,7,10,36.4,2020-01-30 16:57:43
1391,531,Valid,2020/01/30,16:58:13,32.112764,34.80737,35.2,0.0,0.0,1.4,1.1,0.9,7,10,37.5,2020-01-30 16:58:13
1392,532,Valid,2020/01/30,16:58:44,32.112476,34.807111,36.3,26.67,14.16,1.6,1.3,0.9,6,10,38.0,2020-01-30 16:58:44
1393,535,Valid,2020/01/30,17:00:14,32.112837,34.807314,38.9,0.0,0.0,1.4,1.1,0.9,7,10,37.5,2020-01-30 17:00:14
1394,540,Valid,2020/01/30,17:02:46,32.112724,34.807686,38.7,35.42,38.25,1.4,1.1,0.9,7,10,37.5,2020-01-30 17:02:46
1395,541,Valid,2020/01/30,17:03:16,32.112194,34.808778000000004,37.6,29.31,88.89,1.4,1.1,0.8,7,10,31.9,2020-01-30 17:03:16
1396,543,Valid,2020/01/30,17:04:17,32.111391999999995,34.808624,37.3,0.0,0.0,1.3,1.0,0.8,7,9,31.2,2020-01-30 17:04:17
1397,544,Valid,2020/01/30,17:04:47,32.111334,34.808479999999996,37.9,10.83,15.98,1.5,1.2,0.8,6,9,34.3,2020-01-30 17:04:47
1398,545,Valid,2020/01/30,17:05:17,32.111379,34.808303,37.2,0.0,0.0,1.4,1.1,0.8,7,9,34.2,2020-01-30 17:05:17
1399,549,Valid,2020/01/30,17:07:19,32.111237,34.808343,36.9,0.0,0.0,1.4,1.1,0.9,6,9,37.2,2020-01-30 17:07:19
1400,561,Valid,2020/01/30,17:13:22,32.111473,34.808358,37.5,0.0,0.0,1.3,1.0,0.8,7,10,33.4,2020-01-30 17:13:22
1401,564,Valid,2020/01/30,17:14:53,32.111536,34.808302000000005,38.1,21.55,11.96,1.5,1.2,0.9,6,10,39.1,2020-01-30 17:14:53
1402,568,Valid,2020/01/30,17:16:54,32.111413,34.808231,38.9,0.0,0.0,1.6,0.9,1.3,8,10,33.0,2020-01-30 17:16:54
1403,571,Valid,2020/01/30,17:18:25,32.111257,34.808077000000004,37.3,0.0,0.0,1.5,1.2,0.9,6,10,34.4,2020-01-30 17:18:25
1404,572,Valid,2020/01/30,17:18:55,32.110903,34.808002,37.1,37.94,247.39,1.6,1.3,0.9,6,10,38.2,2020-01-30 17:18:55
1405,573,Valid,2020/01/30,17:19:25,32.111657,34.808203999999996,37.8,29.88,124.48,1.4,1.1,0.9,7,10,33.8,2020-01-30 17:19:25
1406,575,Valid,2020/01/30,17:20:26,32.111385999999996,34.807882,38.2,0.0,0.0,1.6,0.9,1.3,8,10,36.8,2020-01-30 17:20:26
1407,577,Valid,2020/01/30,17:21:27,32.11118,34.807168,37.7,0.0,0.0,1.6,1.3,0.9,6,10,31.7,2020-01-30 17:21:27
1408,581,Valid,2020/01/30,17:23:28,32.111478000000005,34.808157,38.1,0.0,0.0,1.6,1.3,0.9,6,11,33.1,2020-01-30 17:23:28
1409,592,Valid,2020/01/30,17:29:01,32.111319,34.807728999999995,37.8,0.0,0.0,1.6,1.3,0.9,6,11,38.2,2020-01-30 17:29:01
1410,1073,Valid,2020/01/30,21:31:55,32.111616999999995,34.808508,38.7,0.0,0.0,1.6,1.1,1.3,8,11,31.1,2020-01-30 21:31:55
1411,1074,Valid,2020/01/30,21:32:25,32.111577000000004,34.808662,38.3,0.0,0.0,1.7,1.4,0.9,6,11,35.6,2020-01-30 21:32:25
1412,1075,Valid,2020/01/30,21:32:55,32.113025,34.807928000000004,41.9,20.7,343.21,1.6,0.9,1.2,9,11,36.6,2020-01-30 21:32:55
1413,1076,Valid,2020/01/30,21:33:26,32.112735,34.807289000000004,41.5,0.0,0.0,2.1,1.1,1.8,8,11,34.6,2020-01-30 21:33:26
1414,1077,Valid,2020/01/30,21:33:56,32.112503000000004,34.807539,43.2,0.0,0.0,1.5,1.2,0.9,6,11,34.2,2020-01-30 21:33:56
1415,1078,Valid,2020/01/30,21:34:26,32.11273,34.807415,44.5,0.0,0.0,1.7,1.4,0.9,6,11,32.3,2020-01-30 21:34:26
1416,1079,Valid,2020/01/30,21:34:57,32.112665,34.807829,44.6,19.95,332.09,1.9,1.1,1.6,8,11,38.5,2020-01-30 21:34:57
1417,1080,Valid,2020/01/30,21:35:27,32.112755,34.807288,44.3,0.0,0.0,2.1,1.1,1.8,8,11,36.8,2020-01-30 21:35:27
1418,1082,Valid,2020/01/30,21:36:28,32.112575,34.80768,44.4,29.6,11.15,2.0,1.1,1.6,8,11,37.6,2020-01-30 21:36:28
1419,1083,Valid,2020/01/30,21:36:58,32.112664,34.807193,45.3,0.0,90.0,2.1,1.1,1.8,8,11,37.9,2020-01-30 21:36:58
1420,1084,Valid,2020/01/30,21:37:28,32.112584999999996,34.807061,44.9,0.0,0.0,1.9,1.7,0.9,6,11,34.6,2020-01-30 21:37:28
1421,1085,Valid,2020/01/30,21:37:59,32.112759999999994,34.807202000000004,45.7,0.0,0.0,1.4,1.1,0.9,7,11,35.9,2020-01-30 21:37:59
1422,1086,Valid,2020/01/30,21:38:29,32.112565000000004,34.807213,45.8,0.0,0.0,1.4,1.1,0.9,7,11,33.0,2020-01-30 21:38:29
1423,1088,Valid,2020/01/30,21:39:29,32.11305,34.807783,45.4,0.0,0.0,1.6,0.9,1.2,9,11,37.5,2020-01-30 21:39:29
1424,1089,Valid,2020/01/30,21:40:00,32.111909999999995,34.808717,45.3,0.0,0.0,2.1,1.1,1.7,8,11,35.9,2020-01-30 21:40:00
1425,1092,Valid,2020/01/30,21:41:31,32.111397,34.80867,45.1,11.17,93.24,1.6,1.3,1.0,6,11,34.1,2020-01-30 21:41:31
1426,1099,Valid,2020/01/30,21:45:03,32.111393,34.808102000000005,45.7,8.0,181.94,1.4,1.1,0.9,6,11,34.9,2020-01-30 21:45:03
1427,1101,Valid,2020/01/30,21:46:04,32.11105,34.80829,46.5,0.0,0.0,1.6,1.3,0.9,6,11,33.1,2020-01-30 21:46:04
1428,1104,Valid,2020/01/30,21:47:34,32.111073,34.808302000000005,47.8,0.0,0.0,2.1,1.2,1.7,8,11,35.3,2020-01-30 21:47:34
1429,1105,Valid,2020/01/30,21:48:05,32.111475,34.808303,47.2,0.0,0.0,1.5,1.2,0.9,6,11,35.0,2020-01-30 21:48:05
1430,1106,Valid,2020/01/30,21:48:35,32.111337,34.808043,49.0,0.0,0.0,1.4,1.1,0.9,7,11,35.3,2020-01-30 21:48:35
1431,1107,Valid,2020/01/30,21:49:05,32.111058,34.80838,47.5,0.0,0.0,2.1,1.2,1.8,8,11,34.7,2020-01-30 21:49:05
1432,1111,Valid,2020/01/30,21:51:07,32.111231,34.807946,47.9,30.76,84.08,1.4,1.1,0.9,6,11,33.8,2020-01-30 21:51:07
1433,1113,Valid,2020/01/30,21:52:07,32.111884,34.808721999999996,47.5,0.0,0.0,1.6,1.3,0.9,7,11,36.3,2020-01-30 21:52:07
1434,1114,Valid,2020/01/30,21:52:38,32.111688,34.808864,47.0,14.19,129.0,1.7,1.5,0.9,7,11,32.4,2020-01-30 21:52:38
1435,1115,Valid,2020/01/30,21:53:08,32.111073,34.807927,45.6,14.93,174.82,1.8,1.6,0.9,6,11,35.4,2020-01-30 21:53:08
1436,1116,Valid,2020/01/30,21:53:38,32.111199,34.808084,45.1,0.0,0.0,1.6,1.3,0.9,6,11,33.7,2020-01-30 21:53:38
1437,1117,Valid,2020/01/30,21:54:08,32.111394,34.807949,46.0,0.0,0.0,1.5,1.1,0.9,7,11,34.8,2020-01-30 21:54:08
