,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
0,977,Valid,2020/04/19,19:43:27,32.110903,34.808277000000004,1.4,0.0,0.0,2.1,1.2,1.7,9,13,36.1,2020-04-19 19:43:27
1,979,Valid,2020/04/19,19:44:28,32.111304,34.808321,1.0,0.0,0.0,1.7,1.4,1.0,6,13,34.4,2020-04-19 19:44:28
2,980,Valid,2020/04/19,19:44:58,32.111395,34.808546,1.1,31.28,13.14,1.7,1.4,1.0,6,13,36.9,2020-04-19 19:44:58
3,982,Valid,2020/04/19,19:45:59,32.112151000000004,34.808915,1.5,0.0,0.0,3.0,1.4,2.6,8,13,35.4,2020-04-19 19:45:59
4,987,Valid,2020/04/19,19:48:30,32.113698,34.809458,6.4,12.31,315.06,1.6,1.1,1.2,9,13,34.7,2020-04-19 19:48:30
5,988,Valid,2020/04/19,19:49:01,32.113239,34.810311999999996,8.1,8.39,225.39,1.6,1.3,0.9,6,13,31.9,2020-04-19 19:49:01
6,989,Valid,2020/04/19,19:49:31,32.11423,34.809616999999996,9.5,33.23,123.93,1.7,1.4,1.0,6,13,35.8,2020-04-19 19:49:31
7,991,Valid,2020/04/19,19:50:32,32.113699,34.809752,8.6,0.0,0.0,1.6,1.3,0.9,7,13,36.0,2020-04-19 19:50:32
8,992,Valid,2020/04/19,19:51:02,32.113797,34.809882,9.1,0.0,0.0,3.1,1.5,2.7,8,13,37.1,2020-04-19 19:51:02
9,993,Valid,2020/04/19,19:51:32,32.113765,34.809674,9.9,0.0,0.0,1.6,1.3,1.0,7,13,34.3,2020-04-19 19:51:32
10,995,Valid,2020/04/19,19:52:33,32.114044,34.809618,9.1,0.0,0.0,1.8,1.5,1.0,7,13,36.7,2020-04-19 19:52:33
11,996,Valid,2020/04/19,19:53:03,32.11446,34.809464,10.9,8.97,177.47,2.1,1.2,1.7,9,13,35.6,2020-04-19 19:53:03
12,997,Valid,2020/04/19,19:53:33,32.115156,34.809538,10.1,0.0,0.0,2.2,1.3,1.7,8,13,37.0,2020-04-19 19:53:33
13,1004,Valid,2020/04/19,19:57:06,32.115187,34.809133,9.9,45.27,122.1,1.5,1.2,0.8,7,13,35.0,2020-04-19 19:57:06
14,1005,Valid,2020/04/19,19:57:36,32.114641999999996,34.809513,11.5,20.76,75.62,1.6,1.0,1.3,9,13,37.1,2020-04-19 19:57:36
15,1006,Valid,2020/04/19,19:58:06,32.114893,34.808539,12.2,0.0,0.0,2.0,1.2,1.6,9,13,34.4,2020-04-19 19:58:06
16,1007,Valid,2020/04/19,19:58:36,32.115194,34.809464,11.7,11.78,152.83,1.8,1.5,1.0,7,13,38.2,2020-04-19 19:58:36
17,1008,Valid,2020/04/19,19:59:07,32.11518,34.80945,10.3,0.0,0.0,1.6,1.3,0.9,7,13,35.6,2020-04-19 19:59:07
18,1009,Valid,2020/04/19,19:59:37,32.114866,34.809727,11.1,0.0,0.0,3.1,1.4,2.7,8,13,37.9,2020-04-19 19:59:37
19,1011,Valid,2020/04/19,20:00:38,32.115126000000004,34.809456,10.8,0.0,0.0,3.0,1.4,2.7,8,13,37.9,2020-04-19 20:00:38
20,1012,Valid,2020/04/19,20:01:08,32.114733,34.809406,10.9,35.87,179.23,2.0,1.2,1.6,9,13,37.3,2020-04-19 20:01:08
21,1013,Valid,2020/04/19,20:01:38,32.114763,34.809439000000005,11.0,0.0,0.0,1.6,1.3,0.9,7,12,38.4,2020-04-19 20:01:38
22,1014,Valid,2020/04/19,20:02:09,32.115033000000004,34.809204,11.8,0.0,0.0,1.5,1.2,0.9,7,12,34.8,2020-04-19 20:02:09
23,1015,Valid,2020/04/19,20:02:39,32.114364,34.809585999999996,12.8,0.0,0.0,1.7,1.4,0.9,7,12,37.7,2020-04-19 20:02:39
