,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
3922,9,Valid,2021/04/18,11:34:50,32.111646,34.808202,1.9,0.0,0.0,1.3,1.0,0.9,7,10,35.4,2021-04-18 11:34:50
3923,716,Valid,2021/04/18,17:31:39,32.111237,34.807677000000005,11.8,0.0,0.0,1.8,1.0,1.5,8,11,35.3,2021-04-18 17:31:39
3924,717,Valid,2021/04/18,17:32:09,32.111203,34.808062,15.1,0.0,0.0,1.7,1.4,0.9,6,11,36.5,2021-04-18 17:32:09
3925,729,Valid,2021/04/18,17:38:12,32.111090000000004,34.807779,17.5,0.0,0.0,1.5,1.2,0.9,6,11,36.2,2021-04-18 17:38:12
3926,730,Valid,2021/04/18,17:38:43,32.111593,34.808079,17.5,0.0,0.0,1.7,1.4,0.9,6,11,34.4,2021-04-18 17:38:43
3927,732,Valid,2021/04/18,17:39:43,32.111894,34.808394,19.8,0.0,0.0,1.4,1.2,0.8,7,11,32.7,2021-04-18 17:39:43
3928,733,Valid,2021/04/18,17:40:14,32.111934999999995,34.808510999999996,19.0,0.0,0.0,1.5,1.3,0.9,7,11,36.4,2021-04-18 17:40:14
3929,734,Valid,2021/04/18,17:40:44,32.111872999999996,34.808786,20.6,0.0,0.0,1.4,1.1,0.9,7,11,38.6,2021-04-18 17:40:44
3930,735,Valid,2021/04/18,17:41:14,32.112105,34.809245000000004,25.6,27.23,94.82,1.6,0.9,1.4,9,11,37.0,2021-04-18 17:41:14
3931,736,Valid,2021/04/18,17:41:44,32.111995,34.808912,34.0,0.0,0.0,1.6,0.9,1.4,9,10,38.9,2021-04-18 17:41:44
3932,737,Valid,2021/04/18,17:42:15,32.111964,34.808158,39.2,0.0,0.0,1.8,1.0,1.5,8,10,39.1,2021-04-18 17:42:15
3933,738,Valid,2021/04/18,17:42:45,32.111737,34.808475,38.8,24.81,79.84,1.4,1.1,0.9,7,10,38.0,2021-04-18 17:42:45
3934,744,Valid,2021/04/18,17:45:47,32.111872,34.808558000000005,36.1,0.0,0.0,1.4,1.1,0.9,6,10,33.2,2021-04-18 17:45:47
3935,746,Valid,2021/04/18,17:46:47,32.111958,34.808616,34.8,0.0,0.0,1.4,1.2,0.8,6,10,32.5,2021-04-18 17:46:47
3936,748,Valid,2021/04/18,17:47:48,32.111748999999996,34.808502000000004,35.3,0.0,0.0,1.4,1.2,0.8,6,10,34.6,2021-04-18 17:47:48
3937,749,Valid,2021/04/18,17:48:18,32.111785,34.808558000000005,35.0,0.0,0.0,1.4,1.2,0.8,6,10,35.5,2021-04-18 17:48:18
3938,750,Valid,2021/04/18,17:48:49,32.111794,34.808515,36.2,0.0,0.0,1.4,1.2,0.8,6,10,33.6,2021-04-18 17:48:49
