,time,Latitude,Longitude,N,geoid,E,satellites,ellipsoid,PDOP,HDOP,VDOP,x,y,alt,MSL,surfaceAlt,speed,distance,UTC,All_time
10336,737084.637133333,32.111719089652,34.8066688480705,1,18.957,1,5,65.6,3.3,3.2,,670454.664804495,3554247.85239002,1.53451355460447,46.643,45,0.0,0.0,15:17:28,2018-01-24 15:17:28
10337,737084.6374916671,32.1115023248596,34.807883095320896,1,18.965999999999998,1,7,56.3,1.4,1.1,,670569.645864005,3554225.74178738,1.40978038471469,37.334,39,3.78190153115444,117.087671404541,15:17:59,2018-01-24 15:17:59
10338,737084.637666782,32.1113133333333,34.8078466666667,1,18.964000000000002,1,8,61.8,1.8,1.3,,670566.559959076,3554204.73088917,1.8359999999999999,42.836000000000006,41,1.4035892306530902,21.2363050597812,15:18:14,2018-01-24 15:18:14
10339,737084.6378424771,32.1110821605793,34.8077637954286,1,18.964000000000002,1,7,58.1,1.4,1.1,,670559.170090826,3554178.96989489,1.32615969687859,39.135999999999996,43,1.76547964117154,26.799980952984,15:18:29,2018-01-24 15:18:29
10340,737084.638017477,32.110914034858105,34.8076636543325,1,18.963,1,7,56.4,1.6,1.3,,670550.033296071,3554160.17150432,0.9136515375906129,37.437,43,1.3823550434941798,20.901208257631897,15:18:44,2018-01-24 15:18:44
9275,737085.585888542,32.111309999999996,34.808008333333305,1,18.965,1,7,55.9,1.4,1.1,,670581.821291235,3554204.61728969,1.0,36.935,39,0.0,0.0,14:03:40,2018-01-25 14:03:40
9276,737085.5860646991,32.1108483333333,34.807816666666696,1,18.964000000000002,1,7,57.1,1.5,1.3,,670564.5940642729,3554153.12950323,1.0,38.135999999999996,43,3.56723818551171,54.29336518348829,14:03:55,2018-01-25 14:03:55
9264,737087.00117419,32.1109060298892,34.8078713437227,1,18.965,1,5,43.9,1.6,1.3,,670569.646181836,3554159.61280245,1.0,24.935,32,0.0,0.0,00:01:41,2018-01-27 00:01:41
9265,737087.0042269679,32.1109734978671,34.807707577835394,1,18.962,1,5,54.9,2.1,1.8,,670554.067406449,3554166.83361657,1.0,35.938,43,0.0651003147193437,17.1708590103741,00:06:04,2018-01-27 00:06:04
9266,737087.00943044,32.111010532862004,34.8076199140637,1,18.962,1,5,55.1,1.7,1.3,,670545.726397685,3554170.80085905,1.0,36.138000000000005,43,0.0205445509673308,9.23641922389259,00:13:34,2018-01-27 00:13:34
9267,737087.009969444,32.1110183813132,34.807609522547004,1,18.964000000000002,1,6,54.8,1.5,1.2,,670544.731236672,3554171.65455597,1.0,35.836,43,0.0281546332964377,1.3111612726151,00:14:21,2018-01-27 00:14:21
9268,737087.015341435,32.1109910354851,34.8076957649302,1,18.962,1,5,55.1,1.7,1.4,,670552.92009758,3554168.75928671,1.0,36.138000000000005,43,0.0187133663552712,8.68562186013556,00:22:05,2018-01-27 00:22:05
9269,737087.015700926,32.1109714286809,34.8077591036175,1,18.964000000000002,1,5,55.0,1.7,1.4,,670558.933330122,3554166.68577898,1.0,36.036,43,0.20478724334659,6.36069177834507,00:22:36,2018-01-27 00:22:36
9270,737087.0158803241,32.1110269380907,34.807795332084,1,18.964000000000002,1,5,54.8,1.7,1.4,,670562.24866759,3554172.89738285,1.0,35.836,43,0.45425716710969605,7.040986090200289,00:22:51,2018-01-27 00:22:51
9271,737087.016060301,32.111104145361,34.8077429048802,1,18.964000000000002,1,5,55.2,1.7,1.4,,670557.15792702,3554181.3742443,1.0,36.236,43,0.6358851405443721,9.888013935464981,00:23:07,2018-01-27 00:23:07
9272,737087.016239815,32.1111338538873,34.8077406706238,1,18.962,1,5,55.0,1.7,1.4,,670556.891839409,3554184.66444935,1.0,36.038000000000004,43,0.212827022690011,3.3009471219220696,00:23:22,2018-01-27 00:23:22
9273,737087.0164196759,32.1111347448844,34.8077581880752,1,18.964000000000002,1,5,55.0,1.7,1.4,,670558.543160631,3554184.79096502,1.0,36.036,43,0.10657404236617402,1.6561606183703501,00:23:38,2018-01-27 00:23:38
