,time,Latitude,Longitude,N,geoid,E,satellites,ellipsoid,PDOP,HDOP,VDOP,x,y,alt,MSL,surfaceAlt,speed,distance,UTC,All_time
2912,737014.6049024309,32.111489305131194,34.8081135914394,1,18.965999999999998,1,8,3.3,2.5,1.1,,670591.420032698,3554224.66326215,1.20813112464984,-15.665999999999999,0,0.0,0.0,14:31:03,2017-11-15 14:31:03
2913,737014.605076273,32.111500814278,34.807902172524,1,18.965,1,7,3.8,1.4,1.0,,670571.448826385,3554225.60451526,0.8406968119411621,-15.165,0,1.33111683605811,19.9933748775929,14:31:18,2017-11-15 14:31:18
2914,737014.605249537,32.1114952989572,34.807736493118604,1,18.964000000000002,1,7,8.0,1.4,1.1,,670555.825337929,3554224.73073858,0.674493222722892,-10.964,0,1.04528412056357,15.6479032848367,14:31:33,2017-11-15 14:31:33
2915,737014.741704977,32.1114617448224,34.8076117634794,1,18.962,1,7,11.1,1.3,1.0,,670544.118077489,3554220.81318526,0.741307403708095,-7.862,0,0.0059646478703429704,12.3453299296424,17:48:03,2017-11-15 17:48:03
2916,737014.741879051,32.1114114895152,34.8075207119428,1,18.963,1,6,12.4,1.5,1.2,,670535.6197865921,3554215.0973198,0.957883159243477,-6.563,0,0.6809629505551259,10.2416827763491,17:48:18,2017-11-15 17:48:18
2917,737014.7423994209,32.1111558052379,34.8074645796466,1,18.963,1,7,17.8,1.8,1.6,,670530.798570072,3554186.66111682,1.84567676027211,-1.163,0,0.641503869009636,28.842013950673298,17:49:03,2017-11-15 17:49:03
2918,737014.742921759,32.110947220948404,34.8075977779158,1,18.96,1,6,23.1,2.0,1.8,,670543.755340748,3554163.74651628,3.12630319469199,4.14,0,0.5832943295298051,26.324073091680102,17:49:48,2017-11-15 17:49:48
2919,737014.7430946759,32.1107624909007,34.8078821995469,1,18.965999999999998,1,7,23.7,1.8,1.6,,670570.9375668,3554143.71602588,4.7173772879286,4.734,0,2.2600587292823398,33.7652774154781,17:50:03,2017-11-15 17:50:03
2920,737014.743615857,32.1107939383008,34.808177063340004,1,18.965999999999998,1,6,25.4,2.0,1.8,,670598.7030575479,3554147.66942662,7.35463383284362,6.434,0,0.622818827419667,28.0455317987076,17:50:48,2017-11-15 17:50:48
2921,737014.743789815,32.1109349574949,34.8081935947452,1,18.967,1,7,29.5,1.8,1.6,,670600.000631624,3554163.33020277,10.998802003052198,10.533,0,1.04553822213758,15.714439478727801,17:51:03,2017-11-15 17:51:03
2922,737014.7443096059,32.1111170051648,34.808093076323,1,18.965,1,6,35.4,2.0,1.8,,670590.176828029,3554183.35440473,14.4262083668756,16.435,0,0.49664139635154797,22.304165110148002,17:51:48,2017-11-15 17:51:48
2923,737014.744482755,32.1114359232024,34.808127019128605,1,18.965999999999998,1,6,35.0,1.4,1.1,,670592.7864037721,3554218.76614471,17.0462993459658,16.034000000000002,0,2.37351355109844,35.5077627244327,17:52:03,2017-11-15 17:52:03
2924,737014.7472613429,32.1116390785511,34.8082795307555,1,18.967,1,6,37.0,1.4,1.0,,670606.7996377071,3554241.53119889,18.8644333381058,18.033,0,0.111352304625241,26.7323477713816,17:56:03,2017-11-15 17:56:03
2925,737014.7476084491,32.1117339004449,34.808419085473,1,18.968,1,7,40.6,1.3,0.9,,670619.791762001,3554252.26497621,20.3748956547844,21.631999999999998,0,0.5619397984780911,16.8525745563579,17:56:33,2017-11-15 17:56:33
2926,737014.7477815971,32.1118828053023,34.8083909011587,1,18.968,1,6,39.9,1.5,1.2,,670616.855181808,3554268.7292149,21.3189470319406,20.932,0,1.1179194006428899,16.7240742336176,17:56:48,2017-11-15 17:56:48
2927,737014.748129398,32.1119972197307,34.8082926815259,1,18.967,1,8,39.9,1.7,0.9,,670607.374187929,3554281.25863759,20.7787582655489,20.933000000000003,0,0.522871145725239,15.7122779290434,17:57:18,2017-11-15 17:57:18
2928,737014.748302778,32.111946249531805,34.8082531740198,1,18.967,1,7,38.9,1.4,1.1,,670603.741058343,3554275.54507879,19.914243119711,19.933,0,0.451992533893673,6.77084815772723,17:57:33,2017-11-15 17:57:33
2929,737014.7486497691,32.1117820072575,34.8083841473324,1,18.967,1,7,38.1,1.4,1.1,,670616.4054425771,3554257.54317998,19.6370499997231,19.133,0,0.7341673857196791,22.010338223875998,17:58:03,2017-11-15 17:58:03
2930,737014.7495180559,32.111683165420295,34.8085571289061,1,18.969,1,7,39.2,1.3,0.9,,670632.912121485,3554246.85868435,20.0997642621365,20.230999999999998,0,0.262101854952862,19.6628811585637,17:59:18,2017-11-15 17:59:18
2931,737014.749691667,32.1117358331931,34.8086159491225,1,18.97,1,7,39.8,1.3,0.9,,670638.3644585001,3554252.79105028,21.0698984846829,20.83,0,0.537156895979131,8.05735343968696,17:59:33,2017-11-15 17:59:33
2932,737014.7505592591,32.1118241778393,34.808552916209,1,18.968,1,6,40.9,1.7,1.4,,670632.2521946371,3554262.48586325,21.2777512926973,21.932,0,0.152891761862205,11.4607664691909,18:00:48,2017-11-15 18:00:48
