,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
7812,5,Valid,2020/02/11,12:32:50,32.111323,34.808164,1.7,0.0,0.0,1.6,1.4,0.9,6,11,39.5,2020-02-11 12:32:50
7813,875,Valid,2020/02/11,19:51:56,32.111302,34.808062,2.3,0.0,0.0,1.5,1.2,0.9,6,11,31.8,2020-02-11 19:51:56
7814,876,Valid,2020/02/11,19:52:27,32.111027,34.808443,4.1,0.0,0.0,1.7,0.9,1.5,8,10,33.6,2020-02-11 19:52:27
7815,877,Valid,2020/02/11,19:52:57,32.113112,34.807961,7.8,0.0,0.0,1.8,1.0,1.5,8,10,36.4,2020-02-11 19:52:57
7816,878,Valid,2020/02/11,19:53:27,32.112736,34.808675,7.9,12.11,216.44,1.5,1.1,0.9,6,10,36.5,2020-02-11 19:53:27
7817,879,Valid,2020/02/11,19:53:58,32.112801,34.808803000000005,8.2,16.08,98.2,1.5,1.2,0.9,6,10,33.5,2020-02-11 19:53:58
7818,881,Valid,2020/02/11,19:54:58,32.112987,34.808156,8.8,0.0,0.0,1.3,1.0,0.8,7,10,34.4,2020-02-11 19:54:58
7819,882,Valid,2020/02/11,19:55:29,32.11302,34.808809000000004,7.6,0.0,0.0,1.4,1.1,0.9,7,10,35.5,2020-02-11 19:55:29
7820,883,Valid,2020/02/11,19:55:59,32.112644,34.808265000000006,9.2,11.33,63.29,1.3,1.0,0.8,7,10,34.4,2020-02-11 19:55:59
7821,885,Valid,2020/02/11,19:56:59,32.112981,34.809037,9.1,0.0,0.0,1.5,1.1,1.0,6,10,33.6,2020-02-11 19:56:59
7822,887,Valid,2020/02/11,19:58:00,32.112939000000004,34.808506,10.7,0.0,0.0,1.4,1.1,0.8,6,10,33.7,2020-02-11 19:58:00
7823,888,Valid,2020/02/11,19:58:30,32.112952,34.80819,17.7,0.0,0.0,1.7,0.9,1.5,9,10,37.6,2020-02-11 19:58:30
7824,889,Valid,2020/02/11,19:59:01,32.112655,34.808756,17.7,0.0,0.0,1.5,1.2,0.9,6,10,34.7,2020-02-11 19:59:01
7825,890,Valid,2020/02/11,19:59:31,32.112753000000005,34.808586,19.4,0.0,0.0,1.7,0.9,1.4,8,10,34.3,2020-02-11 19:59:31
7826,891,Valid,2020/02/11,20:00:01,32.113011,34.808471999999995,23.2,0.0,0.0,1.7,0.9,1.4,8,10,32.1,2020-02-11 20:00:01
7827,896,Valid,2020/02/11,20:02:33,32.1127,34.808174,24.1,19.31,122.71,1.4,1.0,0.9,7,10,35.6,2020-02-11 20:02:33
7828,897,Valid,2020/02/11,20:03:03,32.112959000000004,34.808181,25.1,0.0,0.0,1.7,0.9,1.5,9,10,37.2,2020-02-11 20:03:03
7829,898,Valid,2020/02/11,20:03:33,32.112624,34.807952,29.1,0.0,0.0,1.5,0.9,1.3,9,10,35.7,2020-02-11 20:03:33
7830,899,Valid,2020/02/11,20:04:04,32.112916999999996,34.807834,29.7,0.0,0.0,1.3,1.1,0.8,7,10,35.6,2020-02-11 20:04:04
7831,900,Valid,2020/02/11,20:04:34,32.113006,34.808236,28.8,0.0,0.0,2.0,1.1,1.7,8,10,37.5,2020-02-11 20:04:34
7832,901,Valid,2020/02/11,20:05:04,32.112802,34.808585,27.6,0.0,0.0,1.7,0.9,1.5,9,10,37.5,2020-02-11 20:05:04
7833,902,Valid,2020/02/11,20:05:35,32.113094,34.808313,30.2,0.0,0.0,1.7,0.9,1.5,9,10,39.3,2020-02-11 20:05:35
7834,903,Valid,2020/02/11,20:06:05,32.112815000000005,34.807905,29.8,0.0,0.0,1.4,1.1,0.9,7,11,38.6,2020-02-11 20:06:05
7835,905,Valid,2020/02/11,20:07:05,32.112939000000004,34.808702000000004,29.3,0.0,0.0,1.4,1.1,0.8,7,11,36.3,2020-02-11 20:07:05
7836,906,Valid,2020/02/11,20:07:36,32.112838,34.808004,29.0,0.0,0.0,1.7,0.9,1.5,9,11,37.9,2020-02-11 20:07:36
7837,907,Valid,2020/02/11,20:08:06,32.112842,34.807741,29.0,0.0,0.0,2.0,1.1,1.7,8,11,35.3,2020-02-11 20:08:06
7838,908,Valid,2020/02/11,20:08:36,32.112873,34.807741,30.4,5.2,118.49,1.4,1.1,0.9,7,11,34.3,2020-02-11 20:08:36
7839,909,Valid,2020/02/11,20:09:07,32.113038,34.807918,32.2,0.0,0.0,1.5,1.2,0.9,7,11,35.9,2020-02-11 20:09:07
7840,911,Valid,2020/02/11,20:10:07,32.112939000000004,34.807901,34.5,0.0,90.0,1.4,1.1,0.9,7,12,35.2,2020-02-11 20:10:07
7841,912,Valid,2020/02/11,20:10:38,32.113106,34.807955,33.7,17.67,241.29,1.5,1.1,0.9,7,12,39.2,2020-02-11 20:10:38
7842,913,Valid,2020/02/11,20:11:08,32.112986,34.807897,36.8,0.0,0.0,1.5,1.2,0.9,6,12,35.1,2020-02-11 20:11:08
7843,915,Valid,2020/02/11,20:12:09,32.112766,34.807836,36.3,0.0,0.0,1.4,1.1,0.9,7,12,36.0,2020-02-11 20:12:09
7844,916,Valid,2020/02/11,20:12:39,32.112878,34.807792,35.7,5.73,203.77,1.5,1.2,0.9,6,12,37.9,2020-02-11 20:12:39
7845,918,Valid,2020/02/11,20:13:39,32.112907,34.808005,36.8,7.46,162.89,1.4,1.1,0.9,7,12,36.5,2020-02-11 20:13:39
7846,919,Valid,2020/02/11,20:14:10,32.112899,34.80786,37.5,0.0,0.0,2.0,1.1,1.7,8,12,37.4,2020-02-11 20:14:10
7847,920,Valid,2020/02/11,20:14:40,32.112833,34.807949,38.1,4.19,357.88,1.4,1.1,0.9,7,12,38.3,2020-02-11 20:14:40
7848,921,Valid,2020/02/11,20:15:10,32.112984999999995,34.807786,40.1,0.0,0.0,1.4,1.1,0.9,7,12,37.5,2020-02-11 20:15:10
7849,922,Valid,2020/02/11,20:15:41,32.112539,34.808085,40.3,0.0,0.0,1.5,1.2,0.9,7,12,32.6,2020-02-11 20:15:41
7850,923,Valid,2020/02/11,20:16:11,32.112881,34.807672,40.5,0.0,0.0,1.5,1.3,0.9,6,12,34.0,2020-02-11 20:16:11
7851,925,Valid,2020/02/11,20:17:12,32.113103,34.807944,39.9,0.0,0.0,1.4,1.1,0.9,7,12,31.6,2020-02-11 20:17:12
7852,926,Valid,2020/02/11,20:17:42,32.113147999999995,34.808054,38.8,0.0,0.0,2.3,1.2,1.9,8,12,36.8,2020-02-11 20:17:42
7853,928,Valid,2020/02/11,20:18:42,32.113110999999996,34.807925,37.8,0.0,0.0,1.4,1.1,0.9,7,11,37.7,2020-02-11 20:18:42
7854,929,Valid,2020/02/11,20:19:13,32.112783,34.807796999999994,37.3,0.7,101.2,2.0,1.1,1.7,8,11,36.4,2020-02-11 20:19:13
7855,930,Valid,2020/02/11,20:19:43,32.112867,34.807859,38.0,0.0,0.0,1.4,1.1,0.9,7,11,38.8,2020-02-11 20:19:43
7856,931,Valid,2020/02/11,20:20:13,32.112913,34.807969,38.0,0.0,0.0,1.8,1.6,0.9,6,11,36.8,2020-02-11 20:20:13
7857,932,Valid,2020/02/11,20:20:44,32.112991,34.807722,37.6,0.0,0.0,1.4,1.1,0.9,7,11,35.6,2020-02-11 20:20:44
7858,933,Valid,2020/02/11,20:21:14,32.112843,34.807676,39.6,0.0,0.0,1.5,1.1,0.9,7,11,38.1,2020-02-11 20:21:14
3020,4,Valid,2020/02/12,12:32:18,32.111465,34.808482,8.6,0.0,0.0,1.9,1.7,0.9,6,11,39.7,2020-02-12 12:32:18
3021,5,Valid,2020/02/12,12:32:48,32.111612,34.808211,24.7,12.28,190.13,1.8,1.2,1.2,8,10,38.3,2020-02-12 12:32:48
3022,6,Valid,2020/02/12,12:33:19,32.111131,34.807865,25.0,0.0,0.0,1.7,1.4,0.9,6,10,36.6,2020-02-12 12:33:19
3023,852,Valid,2020/02/12,19:40:19,32.111258,34.807942,29.2,0.0,0.0,1.6,0.8,1.3,9,11,35.7,2020-02-12 19:40:19
3024,853,Valid,2020/02/12,19:40:49,32.112487,34.807848,30.7,0.0,0.0,1.8,1.0,1.5,8,11,38.6,2020-02-12 19:40:49
3025,856,Valid,2020/02/12,19:42:20,32.112896,34.808442,30.8,0.0,0.0,1.3,1.1,0.8,7,11,33.2,2020-02-12 19:42:20
3026,857,Valid,2020/02/12,19:42:50,32.112918,34.808602,29.7,0.0,0.0,1.3,1.0,0.9,7,11,35.2,2020-02-12 19:42:50
3027,858,Valid,2020/02/12,19:43:20,32.112854,34.807989,29.4,0.0,0.0,1.6,0.9,1.4,9,11,39.5,2020-02-12 19:43:20
3028,859,Valid,2020/02/12,19:43:51,32.112973,34.808164,33.5,0.0,0.0,1.7,1.0,1.4,8,11,40.4,2020-02-12 19:43:51
3029,860,Valid,2020/02/12,19:44:21,32.112709,34.807702,29.5,0.0,0.0,1.4,1.1,0.9,6,11,36.8,2020-02-12 19:44:21
3030,861,Valid,2020/02/12,19:44:51,32.112871000000005,34.807879,34.2,0.0,0.0,1.7,1.0,1.3,8,11,37.2,2020-02-12 19:44:51
3031,862,Valid,2020/02/12,19:45:22,32.112873,34.807831,35.6,0.0,0.0,1.8,0.9,1.5,8,11,33.9,2020-02-12 19:45:22
3032,863,Valid,2020/02/12,19:45:52,32.112782,34.807848,36.5,0.0,0.0,1.6,0.9,1.3,9,11,37.0,2020-02-12 19:45:52
3033,864,Valid,2020/02/12,19:46:22,32.112738,34.807718,39.3,0.0,0.0,1.6,0.9,1.3,9,11,36.4,2020-02-12 19:46:22
3034,865,Valid,2020/02/12,19:46:52,32.112871000000005,34.807818,42.9,0.0,0.0,1.7,0.9,1.4,8,11,34.9,2020-02-12 19:46:52
3035,866,Valid,2020/02/12,19:47:23,32.112821000000004,34.807945000000004,51.4,0.0,0.0,1.6,0.9,1.3,9,11,36.6,2020-02-12 19:47:23
3036,867,Valid,2020/02/12,19:47:53,32.112819,34.807715,51.9,0.0,0.0,1.7,0.9,1.4,9,11,37.9,2020-02-12 19:47:53
3037,868,Valid,2020/02/12,19:48:23,32.112415000000006,34.808005,49.9,31.65,27.63,1.6,0.9,1.3,9,10,35.8,2020-02-12 19:48:23
3038,869,Valid,2020/02/12,19:48:54,32.112874,34.807743,49.0,7.6,112.73,1.6,0.9,1.3,9,10,38.2,2020-02-12 19:48:54
3039,870,Valid,2020/02/12,19:49:24,32.112404,34.808152,47.1,33.18,45.44,1.5,0.8,1.3,10,10,39.9,2020-02-12 19:49:24
3040,871,Valid,2020/02/12,19:49:54,32.112838,34.808453,48.5,27.31,10.26,1.6,0.9,1.3,9,10,37.0,2020-02-12 19:49:54
3041,872,Valid,2020/02/12,19:50:25,32.112852000000004,34.807738,49.9,19.62,358.96,1.4,1.1,0.9,7,10,37.2,2020-02-12 19:50:25
3042,873,Valid,2020/02/12,19:50:55,32.112898,34.807881,49.9,0.0,0.0,1.5,1.1,0.9,6,10,34.2,2020-02-12 19:50:55
3043,874,Valid,2020/02/12,19:51:25,32.112797,34.808009000000006,49.0,0.0,0.0,1.5,0.8,1.3,10,10,38.7,2020-02-12 19:51:25
3044,875,Valid,2020/02/12,19:51:56,32.112840999999996,34.80782,46.2,5.42,287.23,1.4,1.1,0.9,7,10,38.1,2020-02-12 19:51:56
3045,876,Valid,2020/02/12,19:52:26,32.112943,34.807832,44.6,0.0,0.0,1.5,0.8,1.2,10,10,38.5,2020-02-12 19:52:26
3046,877,Valid,2020/02/12,19:52:56,32.112986,34.807929,43.7,0.0,0.0,1.6,0.9,1.3,9,10,38.1,2020-02-12 19:52:56
3047,878,Valid,2020/02/12,19:53:26,32.112674,34.808743,44.2,0.0,0.0,1.5,0.8,1.2,10,10,35.9,2020-02-12 19:53:26
3048,879,Valid,2020/02/12,19:53:57,32.113709,34.809535,42.8,27.0,31.33,1.6,0.9,1.3,9,10,35.5,2020-02-12 19:53:57
3049,880,Valid,2020/02/12,19:54:27,32.11417,34.809495,46.5,26.27,155.23,1.5,0.8,1.2,10,10,38.1,2020-02-12 19:54:27
3050,881,Valid,2020/02/12,19:54:57,32.115277,34.80894,48.4,0.0,0.0,1.8,1.0,1.5,8,10,38.4,2020-02-12 19:54:57
3051,882,Valid,2020/02/12,19:55:28,32.114622999999995,34.808924,46.4,17.88,74.42,1.5,0.8,1.2,10,10,37.2,2020-02-12 19:55:28
3052,883,Valid,2020/02/12,19:55:58,32.114128,34.808777,45.4,0.0,0.0,1.5,0.8,1.2,10,10,38.0,2020-02-12 19:55:58
3053,884,Valid,2020/02/12,19:56:28,32.114174,34.809334,46.8,0.0,0.0,1.7,0.9,1.5,9,10,38.0,2020-02-12 19:56:28
3054,885,Valid,2020/02/12,19:56:59,32.114045000000004,34.809469,45.2,0.0,0.0,1.7,0.9,1.5,9,10,38.0,2020-02-12 19:56:59
3055,886,Valid,2020/02/12,19:57:29,32.113223,34.809305,48.2,0.0,0.0,1.5,0.8,1.2,10,10,37.0,2020-02-12 19:57:29
3056,887,Valid,2020/02/12,19:57:59,32.113021999999994,34.808626000000004,46.9,28.59,256.99,1.4,1.1,0.9,7,10,35.8,2020-02-12 19:57:59
