,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
1816,488,Valid,2021/03/14,16:36:32,32.111017,34.807966,3.0,15.55,92.34,2.4,1.2,2.1,8,12,32.1,2021-03-14 16:36:32
1817,489,Valid,2021/03/14,16:37:02,32.111159,34.808093,3.3,0.0,0.0,1.6,1.4,0.9,6,12,34.5,2021-03-14 16:37:02
1818,490,Valid,2021/03/14,16:37:32,32.111314,34.808749,3.2,0.0,0.0,1.6,1.3,0.9,6,12,31.3,2021-03-14 16:37:32
1819,492,Valid,2021/03/14,16:38:33,32.111148,34.808453,4.6,14.92,47.0,1.4,1.1,0.9,6,11,31.7,2021-03-14 16:38:33
1820,498,Valid,2021/03/14,16:41:34,32.111323999999996,34.808126,4.9,0.0,0.0,1.5,1.1,1.0,6,11,33.6,2021-03-14 16:41:34
1821,502,Valid,2021/03/14,16:43:35,32.111186,34.808377,5.4,15.66,31.03,1.4,1.1,0.9,7,11,31.9,2021-03-14 16:43:35
1822,506,Valid,2021/03/14,16:45:37,32.111215,34.808122999999995,6.9,0.0,0.0,1.4,1.1,0.9,7,11,32.9,2021-03-14 16:45:37
1823,509,Valid,2021/03/14,16:47:07,32.111342,34.808413,7.4,0.0,0.0,1.4,1.1,0.9,6,11,34.3,2021-03-14 16:47:07
1824,512,Valid,2021/03/14,16:48:38,32.111401,34.807559000000005,8.1,0.0,0.0,1.7,1.4,0.9,7,11,34.6,2021-03-14 16:48:38
1825,513,Valid,2021/03/14,16:49:09,32.111163,34.80806,8.9,38.97,121.31,1.7,1.4,0.9,7,11,35.3,2021-03-14 16:49:09
1826,520,Valid,2021/03/14,16:52:41,32.111457,34.808054999999996,8.3,0.0,0.0,1.8,1.6,1.0,6,11,33.8,2021-03-14 16:52:41
1827,521,Valid,2021/03/14,16:53:11,32.111596999999996,34.808094,8.5,0.0,0.0,1.5,1.2,0.9,6,11,31.7,2021-03-14 16:53:11
1828,527,Valid,2021/03/14,16:56:13,32.111382,34.808114,9.4,0.0,0.0,1.4,1.2,0.8,7,11,35.8,2021-03-14 16:56:13
1829,528,Valid,2021/03/14,16:56:43,32.111456,34.808144,11.4,21.81,151.87,1.4,1.1,0.8,7,11,34.3,2021-03-14 16:56:43
1830,530,Valid,2021/03/14,16:57:43,32.111371999999996,34.807715,11.8,0.0,0.0,1.7,1.4,0.9,7,11,34.4,2021-03-14 16:57:43
1831,531,Valid,2021/03/14,16:58:14,32.111346999999995,34.808259,11.5,0.0,0.0,1.8,1.5,0.9,6,11,36.1,2021-03-14 16:58:14
1832,540,Valid,2021/03/14,17:02:46,32.111187,34.80819,10.4,0.0,0.0,2.4,1.3,2.0,8,12,37.8,2021-03-14 17:02:46
1833,541,Valid,2021/03/14,17:03:17,32.111546999999995,34.807635999999995,9.9,0.0,0.0,1.9,1.6,1.0,6,12,33.9,2021-03-14 17:03:17
1834,542,Valid,2021/03/14,17:03:47,32.111106,34.808188,9.6,17.34,0.5,1.4,1.1,0.8,7,12,33.1,2021-03-14 17:03:47
1835,543,Valid,2021/03/14,17:04:17,32.11138,34.808402,9.8,0.0,0.0,1.5,1.1,0.9,7,12,33.8,2021-03-14 17:04:17
1836,545,Valid,2021/03/14,17:05:18,32.111453999999995,34.808040999999996,10.4,0.0,0.0,1.4,1.2,0.8,7,12,34.2,2021-03-14 17:05:18
1837,546,Valid,2021/03/14,17:05:48,32.111429,34.80822,11.4,0.0,0.0,1.6,1.2,0.9,6,12,32.3,2021-03-14 17:05:48
1838,547,Valid,2021/03/14,17:06:18,32.111013,34.808125,12.0,0.0,0.0,1.6,1.3,0.9,6,12,32.8,2021-03-14 17:06:18
1839,548,Valid,2021/03/14,17:06:49,32.111288,34.808244,12.3,0.0,0.0,1.7,1.5,0.9,7,12,36.1,2021-03-14 17:06:49
1840,550,Valid,2021/03/14,17:07:49,32.113704999999996,34.809661,12.0,0.0,0.0,1.8,1.5,0.9,6,12,34.8,2021-03-14 17:07:49
1841,551,Valid,2021/03/14,17:08:19,32.11384,34.809567,11.9,0.0,0.0,2.2,1.2,1.9,8,12,35.6,2021-03-14 17:08:19
1842,552,Valid,2021/03/14,17:08:50,32.113841,34.809534,13.7,0.0,0.0,1.7,1.0,1.4,8,12,33.6,2021-03-14 17:08:50
1843,553,Valid,2021/03/14,17:09:20,32.113848,34.809457,13.7,0.0,0.0,1.6,1.3,0.9,7,12,34.7,2021-03-14 17:09:20
1844,554,Valid,2021/03/14,17:09:50,32.113698,34.809619,15.0,11.63,92.62,2.1,1.1,1.7,9,12,38.0,2021-03-14 17:09:50
1845,555,Valid,2021/03/14,17:10:21,32.113687,34.809509000000006,13.9,0.0,0.0,1.8,1.5,0.9,6,12,36.5,2021-03-14 17:10:21
1846,556,Valid,2021/03/14,17:10:51,32.113731,34.809518,13.7,0.0,0.0,1.6,1.3,0.9,6,12,35.6,2021-03-14 17:10:51
1847,557,Valid,2021/03/14,17:11:21,32.11383,34.809777000000004,11.5,0.0,0.0,1.4,1.1,0.9,7,12,33.9,2021-03-14 17:11:21
1848,559,Valid,2021/03/14,17:12:22,32.113620000000004,34.809484999999995,12.8,0.0,0.0,1.5,1.2,0.9,7,12,32.6,2021-03-14 17:12:22
1849,560,Valid,2021/03/14,17:12:52,32.113634999999995,34.809542,13.3,24.2,166.18,2.3,1.3,2.0,8,12,36.4,2021-03-14 17:12:52
1850,561,Valid,2021/03/14,17:13:22,32.11395,34.809664,14.5,0.0,0.0,2.2,2.0,0.9,7,12,36.1,2021-03-14 17:13:22
1851,562,Valid,2021/03/14,17:13:53,32.11398,34.809844,16.0,45.86,243.06,1.8,1.6,0.9,7,12,37.6,2021-03-14 17:13:53
1852,563,Valid,2021/03/14,17:14:23,32.113764,34.80939,15.3,0.0,0.0,2.6,1.7,2.0,8,12,36.4,2021-03-14 17:14:23
1853,564,Valid,2021/03/14,17:14:53,32.113718,34.809503,16.6,0.0,0.0,2.1,1.2,1.7,8,12,36.7,2021-03-14 17:14:53
1854,566,Valid,2021/03/14,17:15:54,32.113599,34.809354,20.5,0.0,0.0,1.7,1.1,1.3,10,12,34.9,2021-03-14 17:15:54
1855,567,Valid,2021/03/14,17:16:24,32.113873999999996,34.809511,24.1,0.0,0.0,1.4,0.9,1.1,10,12,35.2,2021-03-14 17:16:24
1856,568,Valid,2021/03/14,17:16:54,32.11395,34.809607,24.2,0.0,0.0,2.2,1.6,1.5,9,12,35.2,2021-03-14 17:16:54
1857,569,Valid,2021/03/14,17:17:25,32.113591,34.809373,26.6,0.0,0.0,2.2,1.6,1.5,9,12,36.2,2021-03-14 17:17:25
1858,570,Valid,2021/03/14,17:17:55,32.113946,34.809495,27.5,0.0,0.0,1.6,1.0,1.3,9,12,34.9,2021-03-14 17:17:55
1859,571,Valid,2021/03/14,17:18:25,32.113698,34.809411,27.2,0.0,0.0,1.7,1.1,1.3,10,12,35.3,2021-03-14 17:18:25
1860,572,Valid,2021/03/14,17:18:55,32.113839,34.809408000000005,28.3,0.0,0.0,2.2,1.5,1.6,8,12,36.0,2021-03-14 17:18:55
1861,573,Valid,2021/03/14,17:19:26,32.113836,34.809243,30.4,0.0,0.0,1.8,1.1,1.4,9,12,36.4,2021-03-14 17:19:26
1862,574,Valid,2021/03/14,17:19:56,32.113647,34.809111,31.5,0.0,0.0,1.4,1.1,0.9,7,12,33.6,2021-03-14 17:19:56
1863,575,Valid,2021/03/14,17:20:26,32.113791,34.80932,32.1,0.0,0.0,2.0,1.7,0.9,6,12,36.9,2021-03-14 17:20:26
1864,576,Valid,2021/03/14,17:20:57,32.113579,34.809427,33.8,0.0,0.0,1.8,1.1,1.4,9,12,35.0,2021-03-14 17:20:57
1865,577,Valid,2021/03/14,17:21:27,32.113785,34.809357,33.0,0.0,0.0,1.4,0.9,1.1,10,12,35.8,2021-03-14 17:21:27
1866,578,Valid,2021/03/14,17:21:57,32.113657,34.809090999999995,35.3,0.0,0.0,1.7,1.1,1.3,8,12,36.6,2021-03-14 17:21:57
1867,579,Valid,2021/03/14,17:22:27,32.113701,34.809483,35.5,0.0,0.0,2.0,1.8,0.9,7,12,38.7,2021-03-14 17:22:27
1868,580,Valid,2021/03/14,17:22:58,32.11407,34.809864000000005,36.3,53.59,243.48,2.1,1.8,0.9,6,12,35.0,2021-03-14 17:22:58
1869,581,Valid,2021/03/14,17:23:28,32.113792,34.809359,36.5,0.0,0.0,1.7,1.0,1.3,10,12,36.1,2021-03-14 17:23:28
1870,582,Valid,2021/03/14,17:23:58,32.113793,34.809598,36.7,0.0,0.0,2.2,1.3,1.8,8,12,34.3,2021-03-14 17:23:58
1871,583,Valid,2021/03/14,17:24:29,32.113755,34.809451,38.8,0.0,0.0,2.2,1.2,1.8,8,12,33.5,2021-03-14 17:24:29
1872,585,Valid,2021/03/14,17:25:29,32.113834999999995,34.809511,37.8,0.0,0.0,1.7,1.1,1.3,9,12,34.0,2021-03-14 17:25:29
1873,586,Valid,2021/03/14,17:26:00,32.113993,34.809694,37.1,0.0,0.0,1.8,1.1,1.3,8,12,34.6,2021-03-14 17:26:00
1874,587,Valid,2021/03/14,17:26:30,32.113759,34.809925,37.2,0.0,0.0,1.7,1.1,1.3,9,12,34.2,2021-03-14 17:26:30
1875,588,Valid,2021/03/14,17:27:00,32.113808,34.809752,38.8,12.64,37.08,1.9,1.2,1.6,8,12,34.4,2021-03-14 17:27:00
1876,589,Valid,2021/03/14,17:27:30,32.113886,34.80962,39.1,0.0,0.0,1.9,1.1,1.5,9,12,36.4,2021-03-14 17:27:30
1877,590,Valid,2021/03/14,17:28:01,32.114114,34.809663,35.7,0.0,0.0,1.9,1.0,1.6,9,12,36.2,2021-03-14 17:28:01
1878,591,Valid,2021/03/14,17:28:31,32.113953,34.80973,36.2,0.0,0.0,1.6,0.9,1.2,9,12,35.8,2021-03-14 17:28:31
1879,592,Valid,2021/03/14,17:29:01,32.113806,34.809769,35.7,15.7,117.97,2.2,1.2,1.9,8,12,35.1,2021-03-14 17:29:01
1880,593,Valid,2021/03/14,17:29:32,32.113859000000005,34.810016,36.1,0.0,0.0,1.4,1.1,0.8,7,12,35.5,2021-03-14 17:29:32
1881,594,Valid,2021/03/14,17:30:02,32.114055,34.809473,35.1,0.0,0.0,1.5,1.2,0.9,6,11,34.5,2021-03-14 17:30:02
1882,595,Valid,2021/03/14,17:30:32,32.113889,34.809688,34.5,17.82,27.52,1.9,1.1,1.5,8,11,35.8,2021-03-14 17:30:32
1883,596,Valid,2021/03/14,17:31:02,32.113984,34.809684000000004,33.2,13.42,35.44,1.4,1.1,0.9,7,11,35.7,2021-03-14 17:31:02
1884,597,Valid,2021/03/14,17:31:33,32.113944000000004,34.809808000000004,34.0,12.52,42.0,1.9,1.1,1.5,9,11,35.3,2021-03-14 17:31:33
1885,598,Valid,2021/03/14,17:32:03,32.113997999999995,34.809764,33.2,0.0,0.0,1.8,1.5,0.9,6,11,36.3,2021-03-14 17:32:03
1886,602,Valid,2021/03/14,17:34:04,32.114108,34.809624,34.5,0.0,0.0,1.8,1.1,1.4,9,11,35.2,2021-03-14 17:34:04
1887,603,Valid,2021/03/14,17:34:34,32.113756,34.809676,35.6,0.0,0.0,1.9,1.2,1.4,8,11,36.8,2021-03-14 17:34:34
1888,604,Valid,2021/03/14,17:35:05,32.113690000000005,34.809603,34.7,0.0,0.0,2.3,1.2,2.0,8,11,36.2,2021-03-14 17:35:05
1889,605,Valid,2021/03/14,17:35:35,32.11388,34.809844,33.0,6.09,314.21,2.1,1.8,0.9,6,11,37.0,2021-03-14 17:35:35
1890,606,Valid,2021/03/14,17:36:05,32.113843,34.809466,34.6,3.37,163.67,1.7,1.1,1.3,9,11,38.3,2021-03-14 17:36:05
1891,607,Valid,2021/03/14,17:36:36,32.113949,34.809422999999995,33.7,0.0,0.0,2.2,1.3,1.8,8,11,37.3,2021-03-14 17:36:36
1892,610,Valid,2021/03/14,17:38:06,32.115111,34.809801,33.4,0.0,0.0,2.4,1.2,2.0,8,11,35.8,2021-03-14 17:38:06
1893,611,Valid,2021/03/14,17:38:37,32.112643,34.808223999999996,33.5,0.0,0.0,1.6,1.3,0.9,7,11,36.2,2021-03-14 17:38:37
1894,858,Valid,2021/03/14,19:43:19,32.111274,34.808036,34.1,0.0,0.0,1.6,1.3,0.9,6,11,33.8,2021-03-14 19:43:19
1895,859,Valid,2021/03/14,19:43:49,32.110869,34.808106,34.0,0.0,0.0,1.8,1.5,1.0,6,11,37.4,2021-03-14 19:43:49
1896,860,Valid,2021/03/14,19:44:20,32.11116,34.80831,33.1,0.0,0.0,1.8,1.5,1.0,6,11,34.5,2021-03-14 19:44:20
1897,864,Valid,2021/03/14,19:46:21,32.110834999999994,34.808392,32.7,0.0,0.0,1.7,1.5,0.9,6,11,32.0,2021-03-14 19:46:21
1898,869,Valid,2021/03/14,19:48:52,32.111442,34.808184000000004,32.8,12.88,100.88,1.4,1.2,0.8,6,11,32.8,2021-03-14 19:48:52
1899,870,Valid,2021/03/14,19:49:23,32.11119,34.808336,32.6,0.0,0.0,1.6,1.3,0.9,6,11,32.2,2021-03-14 19:49:23
1900,873,Valid,2021/03/14,19:50:54,32.111337,34.80823,32.6,0.0,0.0,1.4,1.1,0.9,7,11,35.1,2021-03-14 19:50:54
1901,876,Valid,2021/03/14,19:52:24,32.111414,34.80829,32.2,0.0,0.0,1.6,1.3,0.9,7,11,35.1,2021-03-14 19:52:24
1902,877,Valid,2021/03/14,19:52:55,32.111406,34.808254,32.7,0.0,0.0,1.6,1.3,0.9,7,11,37.8,2021-03-14 19:52:55
1903,879,Valid,2021/03/14,19:53:55,32.111292,34.808116999999996,31.8,13.17,128.45,1.4,1.0,1.0,6,12,32.9,2021-03-14 19:53:55
1904,883,Valid,2021/03/14,19:55:56,32.111153,34.807748,31.3,16.39,238.66,1.6,1.3,0.9,6,11,36.1,2021-03-14 19:55:56
1905,884,Valid,2021/03/14,19:56:27,32.111188,34.808289,31.9,0.0,0.0,1.3,1.0,0.9,7,11,34.1,2021-03-14 19:56:27
1906,887,Valid,2021/03/14,19:57:58,32.111216,34.808315,31.7,6.67,298.61,1.4,1.1,0.9,6,11,32.9,2021-03-14 19:57:58
1907,890,Valid,2021/03/14,19:59:29,32.111449,34.808393,32.0,0.0,0.0,1.4,1.1,0.9,7,11,36.5,2021-03-14 19:59:29
1908,891,Valid,2021/03/14,19:59:59,32.111131,34.808324,31.9,23.62,123.91,1.6,1.3,0.9,7,11,37.6,2021-03-14 19:59:59
1909,892,Valid,2021/03/14,20:00:29,32.111381,34.808325,31.3,6.35,1.18,1.6,1.3,0.9,7,11,39.0,2021-03-14 20:00:29
1910,893,Valid,2021/03/14,20:01:00,32.111487,34.808147999999996,31.3,0.0,0.0,1.6,1.3,0.9,7,11,33.1,2021-03-14 20:01:00
1911,897,Valid,2021/03/14,20:03:01,32.111157,34.808111,33.2,0.0,0.0,1.4,1.1,0.9,7,11,36.2,2021-03-14 20:03:01
1912,898,Valid,2021/03/14,20:03:31,32.111325,34.808231,35.1,0.0,0.0,1.4,1.1,0.9,7,11,36.4,2021-03-14 20:03:31
1913,899,Valid,2021/03/14,20:04:01,32.111286,34.808107,34.0,0.0,0.0,1.4,1.1,0.9,7,11,34.3,2021-03-14 20:04:01
1914,902,Valid,2021/03/14,20:05:32,32.111213,34.80819,33.8,0.0,0.0,2.0,1.0,1.7,8,11,33.2,2021-03-14 20:05:32
1915,903,Valid,2021/03/14,20:06:02,32.111075,34.808238,33.3,0.0,0.0,1.5,1.1,0.9,6,11,35.6,2021-03-14 20:06:02
1916,904,Valid,2021/03/14,20:06:33,32.111143,34.807916,33.5,0.0,0.0,1.5,1.1,0.9,6,11,33.7,2021-03-14 20:06:33
1917,908,Valid,2021/03/14,20:08:34,32.110764,34.80794,33.0,0.0,0.0,1.9,1.6,1.0,6,11,36.8,2021-03-14 20:08:34
1918,910,Valid,2021/03/14,20:09:34,32.108878000000004,34.806265,30.2,0.0,0.0,1.5,1.2,0.9,6,11,33.8,2021-03-14 20:09:34
1919,911,Valid,2021/03/14,20:10:05,32.111238,34.808597,31.2,6.0,163.31,1.7,1.0,1.4,9,11,34.5,2021-03-14 20:10:05
1920,912,Valid,2021/03/14,20:10:35,32.111474,34.808,34.1,0.0,0.0,1.8,1.1,1.3,8,11,33.6,2021-03-14 20:10:35
1921,913,Valid,2021/03/14,20:11:05,32.111311,34.808446,33.8,0.0,0.0,1.6,1.3,0.9,6,11,34.0,2021-03-14 20:11:05
1922,914,Valid,2021/03/14,20:11:36,32.111177000000005,34.808463,37.3,10.46,116.56,1.8,1.1,1.5,8,11,34.5,2021-03-14 20:11:36
1923,915,Valid,2021/03/14,20:12:06,32.111391999999995,34.808279,37.4,0.0,0.0,1.6,1.2,0.9,7,11,35.6,2021-03-14 20:12:06
1924,916,Valid,2021/03/14,20:12:36,32.11138,34.808232000000004,37.8,8.06,233.81,1.7,1.0,1.4,8,11,35.0,2021-03-14 20:12:36
1925,917,Valid,2021/03/14,20:13:07,32.111228000000004,34.808219,36.9,0.0,0.0,1.6,1.4,0.9,6,11,36.9,2021-03-14 20:13:07
1926,918,Valid,2021/03/14,20:13:37,32.111471,34.808377,36.5,14.05,239.47,1.6,1.0,1.3,8,11,35.9,2021-03-14 20:13:37
1927,919,Valid,2021/03/14,20:14:07,32.111065999999994,34.808285,36.4,5.77,237.08,1.7,1.0,1.3,8,11,35.3,2021-03-14 20:14:07
1928,920,Valid,2021/03/14,20:14:38,32.11112,34.807947,36.9,12.38,86.55,1.3,1.0,0.9,7,11,34.1,2021-03-14 20:14:38
1929,921,Valid,2021/03/14,20:15:08,32.111431,34.808399,38.3,0.0,0.0,1.4,1.1,0.8,6,11,32.8,2021-03-14 20:15:08
1930,924,Valid,2021/03/14,20:16:39,32.111364,34.808284,39.0,0.0,0.0,1.4,1.1,0.9,6,11,36.2,2021-03-14 20:16:39
1931,926,Valid,2021/03/14,20:17:39,32.111096,34.808168,43.8,0.0,0.0,1.8,1.2,1.3,8,11,32.7,2021-03-14 20:17:39
1932,927,Valid,2021/03/14,20:18:10,32.111352000000004,34.808366,42.5,0.0,0.0,1.8,1.1,1.4,8,11,34.1,2021-03-14 20:18:10
1933,928,Valid,2021/03/14,20:18:40,32.111142,34.808245,42.0,14.99,32.33,1.4,1.1,0.8,7,11,34.9,2021-03-14 20:18:40
1934,929,Valid,2021/03/14,20:19:10,32.111284000000005,34.808209000000005,42.8,0.0,0.0,1.7,0.9,1.4,8,11,33.9,2021-03-14 20:19:10
1935,930,Valid,2021/03/14,20:19:41,32.111391999999995,34.808211,45.2,0.0,0.0,1.7,1.0,1.3,8,11,33.7,2021-03-14 20:19:41
1936,931,Valid,2021/03/14,20:20:11,32.111558,34.808549,46.4,23.42,142.26,1.4,1.1,0.8,7,11,35.3,2021-03-14 20:20:11
1937,933,Valid,2021/03/14,20:21:11,32.111284999999995,34.808018,45.9,0.0,0.0,1.5,1.3,0.9,6,11,32.9,2021-03-14 20:21:11
1938,936,Valid,2021/03/14,20:22:42,32.111267,34.808243,45.6,0.0,0.0,1.3,1.1,0.8,7,11,33.6,2021-03-14 20:22:42
1939,937,Valid,2021/03/14,20:23:13,32.111092,34.808236,47.8,0.0,0.0,1.4,1.1,0.8,7,11,34.4,2021-03-14 20:23:13
1940,938,Valid,2021/03/14,20:23:43,32.111339,34.807864,46.3,27.56,137.4,1.6,1.4,0.9,6,11,31.9,2021-03-14 20:23:43
1941,939,Valid,2021/03/14,20:24:13,32.111216999999996,34.808413,47.5,0.0,0.0,2.0,1.0,1.8,8,11,32.1,2021-03-14 20:24:13
1942,940,Valid,2021/03/14,20:24:44,32.111191,34.808279999999996,47.5,0.0,0.0,1.6,1.3,0.9,7,11,35.1,2021-03-14 20:24:44
1943,942,Valid,2021/03/14,20:25:44,32.111226,34.808187,47.2,0.0,0.0,1.6,1.2,1.0,6,11,35.0,2021-03-14 20:25:44
1944,943,Valid,2021/03/14,20:26:14,32.111333,34.80791,48.8,0.0,0.0,1.4,1.1,0.8,7,11,33.4,2021-03-14 20:26:14
1945,944,Valid,2021/03/14,20:26:45,32.111252,34.808203999999996,47.2,0.0,0.0,1.6,1.3,0.9,6,11,34.2,2021-03-14 20:26:45
1946,945,Valid,2021/03/14,20:27:15,32.111342,34.807934,48.9,15.24,173.38,1.6,1.3,0.8,6,11,32.5,2021-03-14 20:27:15
1947,946,Valid,2021/03/14,20:27:45,32.111171999999996,34.808301,52.8,1.71,221.93,1.8,1.1,1.4,8,11,31.6,2021-03-14 20:27:45
1948,947,Valid,2021/03/14,20:28:16,32.111234,34.808413,52.9,0.0,0.0,1.6,1.3,0.9,6,11,34.1,2021-03-14 20:28:16
