,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
6598,5,Valid,2021/04/22,11:32:48,32.111543,34.808127,1.5,0.0,0.0,1.5,1.2,0.9,6,8,39.7,2021-04-22 11:32:48
6599,6,Valid,2021/04/22,11:33:18,32.111212,34.808017,4.1,2.98,163.34,1.5,1.2,0.9,6,8,37.1,2021-04-22 11:33:18
6600,401,Valid,2021/04/22,14:52:36,32.110806,34.806982,6.3,0.0,0.0,1.5,1.3,0.9,6,12,32.0,2021-04-22 14:52:36
6601,417,Valid,2021/04/22,15:00:41,32.11124,34.80802,8.2,0.0,0.0,1.5,1.1,0.9,7,11,30.4,2021-04-22 15:00:41
6602,443,Valid,2021/04/22,15:13:48,32.110996,34.807159999999996,8.1,0.0,0.0,1.5,1.1,0.9,7,11,32.4,2021-04-22 15:13:48
6603,445,Valid,2021/04/22,15:14:49,32.111178,34.807655,8.3,0.0,0.0,1.6,1.3,1.0,6,11,32.4,2021-04-22 15:14:49
6604,446,Valid,2021/04/22,15:15:19,32.111111,34.807485,9.1,0.0,0.0,1.6,1.3,0.9,6,11,32.8,2021-04-22 15:15:19
6605,461,Valid,2021/04/22,15:22:53,32.111063,34.807541,9.3,0.0,0.0,1.6,1.2,0.9,6,10,30.9,2021-04-22 15:22:53
6606,594,Valid,2021/04/22,16:30:01,32.111126,34.807545000000005,10.0,0.0,0.0,1.5,1.2,0.9,6,11,33.9,2021-04-22 16:30:01
6607,603,Valid,2021/04/22,16:34:34,32.111178,34.807744,10.9,0.0,0.0,1.5,1.2,0.9,6,11,31.7,2021-04-22 16:34:34
6608,629,Valid,2021/04/22,16:47:41,32.111519,34.807394,12.2,0.0,0.0,1.3,1.0,0.9,7,12,36.2,2021-04-22 16:47:41
6609,631,Valid,2021/04/22,16:48:42,32.111752,34.808289,12.4,0.0,0.0,1.7,1.4,0.9,6,12,33.3,2021-04-22 16:48:42
6610,632,Valid,2021/04/22,16:49:12,32.111678999999995,34.808727000000005,12.9,14.57,102.29,1.4,1.0,1.0,6,12,33.6,2021-04-22 16:49:12
6611,633,Valid,2021/04/22,16:49:42,32.111728,34.808572999999996,13.8,0.0,0.0,1.5,1.2,0.9,7,12,33.7,2021-04-22 16:49:42
6612,634,Valid,2021/04/22,16:50:13,32.111983,34.808339000000004,13.4,0.0,0.0,1.5,1.2,1.0,6,12,35.5,2021-04-22 16:50:13
6613,636,Valid,2021/04/22,16:51:13,32.111958,34.808386,13.3,0.0,90.0,1.7,1.3,1.0,6,12,35.2,2021-04-22 16:51:13
6614,639,Valid,2021/04/22,16:52:44,32.111928999999996,34.808468,14.3,0.0,0.0,1.5,1.2,0.9,6,12,32.5,2021-04-22 16:52:44
6615,640,Valid,2021/04/22,16:53:14,32.111902,34.808709,14.7,0.0,0.0,1.4,1.1,0.9,6,12,34.3,2021-04-22 16:53:14
6616,642,Valid,2021/04/22,16:54:15,32.111738,34.808634000000005,16.6,0.0,0.0,1.7,0.9,1.4,9,12,36.6,2021-04-22 16:54:15
6617,643,Valid,2021/04/22,16:54:45,32.112010999999995,34.808966,17.7,0.0,0.0,2.1,1.0,1.8,8,12,35.7,2021-04-22 16:54:45
6618,644,Valid,2021/04/22,16:55:16,32.112161,34.808206,17.0,6.55,353.54,1.5,1.2,0.9,7,12,35.8,2021-04-22 16:55:16
6619,645,Valid,2021/04/22,16:55:46,32.111581,34.808761,20.3,0.0,0.0,1.7,0.9,1.4,9,12,34.6,2021-04-22 16:55:46
6620,647,Valid,2021/04/22,16:56:46,32.111308,34.809117,21.2,0.0,0.0,1.6,1.4,0.8,6,12,33.7,2021-04-22 16:56:46
6621,648,Valid,2021/04/22,16:57:17,32.111658,34.808653,22.1,0.0,0.0,1.3,1.0,0.9,7,12,32.1,2021-04-22 16:57:17
6622,650,Valid,2021/04/22,16:58:17,32.11162,34.808849,23.4,0.0,0.0,1.7,1.4,0.9,6,11,31.8,2021-04-22 16:58:17
6623,651,Valid,2021/04/22,16:58:48,32.111715000000004,34.808524,22.7,0.0,0.0,1.4,1.0,1.0,6,11,31.9,2021-04-22 16:58:48
6624,657,Valid,2021/04/22,17:01:49,32.111773,34.808346,21.6,0.0,0.0,1.4,1.0,0.9,6,11,32.5,2021-04-22 17:01:49
6625,659,Valid,2021/04/22,17:02:50,32.111795,34.80874,21.1,3.68,124.46,1.7,1.5,0.9,6,11,33.2,2021-04-22 17:02:50
6626,663,Valid,2021/04/22,17:04:51,32.111911,34.808614,24.6,0.0,0.0,1.4,1.2,0.8,7,11,36.1,2021-04-22 17:04:51
6627,664,Valid,2021/04/22,17:05:21,32.111838,34.808578999999995,23.9,22.55,161.14,2.1,1.0,1.8,8,11,34.7,2021-04-22 17:05:21
6628,668,Valid,2021/04/22,17:07:23,32.111743,34.808727000000005,23.8,3.17,24.0,1.4,1.1,0.9,6,11,35.5,2021-04-22 17:07:23
6629,669,Valid,2021/04/22,17:07:53,32.111767,34.808516999999995,24.3,9.87,61.79,2.0,0.9,1.7,8,11,33.5,2021-04-22 17:07:53
6630,670,Valid,2021/04/22,17:08:23,32.112032,34.808519,26.4,0.0,0.0,1.8,1.0,1.4,8,11,34.9,2021-04-22 17:08:23
6631,671,Valid,2021/04/22,17:08:53,32.111769,34.808702000000004,29.1,0.0,0.0,2.0,0.9,1.7,8,12,34.6,2021-04-22 17:08:53
6632,672,Valid,2021/04/22,17:09:24,32.111815,34.808678,29.8,13.93,343.64,1.7,0.9,1.4,9,12,33.3,2021-04-22 17:09:24
6633,673,Valid,2021/04/22,17:09:54,32.111765999999996,34.808378000000005,30.5,0.0,0.0,1.4,1.1,0.9,7,12,37.6,2021-04-22 17:09:54
6634,674,Valid,2021/04/22,17:10:24,32.111898,34.808976,33.3,22.2,165.15,1.4,1.1,0.9,7,12,36.9,2021-04-22 17:10:24
6635,675,Valid,2021/04/22,17:10:54,32.112031,34.808996,32.9,6.05,152.51,1.7,1.4,0.9,6,11,34.2,2021-04-22 17:10:54
6636,676,Valid,2021/04/22,17:11:25,32.111889,34.808692,32.4,0.0,0.0,1.7,1.4,0.9,6,11,34.7,2021-04-22 17:11:25
6637,677,Valid,2021/04/22,17:11:55,32.111699,34.808459,34.4,0.0,0.0,1.7,0.9,1.4,9,11,33.6,2021-04-22 17:11:55
6638,679,Valid,2021/04/22,17:12:56,32.111487,34.808388,35.6,0.0,0.0,1.4,1.1,0.9,6,11,33.8,2021-04-22 17:12:56
6639,680,Valid,2021/04/22,17:13:26,32.111777000000004,34.808729,33.8,0.0,0.0,1.4,1.1,0.9,6,11,33.0,2021-04-22 17:13:26
6640,682,Valid,2021/04/22,17:14:27,32.112134000000005,34.808305,33.2,0.0,0.0,1.6,1.3,0.9,6,11,33.7,2021-04-22 17:14:27
6641,684,Valid,2021/04/22,17:15:27,32.111827000000005,34.808531,32.9,0.0,0.0,1.6,1.3,0.9,6,10,34.5,2021-04-22 17:15:27
6642,685,Valid,2021/04/22,17:15:57,32.11159,34.8088,32.2,0.0,0.0,1.6,1.3,0.9,6,10,35.1,2021-04-22 17:15:57
6643,690,Valid,2021/04/22,17:18:29,32.111955,34.808968,32.8,0.0,0.0,1.5,1.3,0.8,6,10,31.3,2021-04-22 17:18:29
6644,694,Valid,2021/04/22,17:20:30,32.111762,34.808409000000005,32.9,0.0,0.0,1.4,1.1,0.9,7,10,37.3,2021-04-22 17:20:30
6645,695,Valid,2021/04/22,17:21:00,32.112183,34.808555,31.8,0.0,0.0,1.7,1.4,0.9,6,10,38.9,2021-04-22 17:21:00
6646,696,Valid,2021/04/22,17:21:31,32.111877,34.80862,33.5,0.0,0.0,1.6,0.9,1.4,9,10,37.8,2021-04-22 17:21:31
6647,699,Valid,2021/04/22,17:23:02,32.111748999999996,34.808448,33.3,0.0,0.0,1.4,1.1,0.9,7,10,36.1,2021-04-22 17:23:02
6648,700,Valid,2021/04/22,17:23:32,32.111635,34.808667,31.3,6.92,68.24,1.3,1.0,0.8,7,10,31.9,2021-04-22 17:23:32
6649,701,Valid,2021/04/22,17:24:02,32.11165,34.808564000000004,33.7,0.0,0.0,1.4,1.1,0.9,6,10,36.1,2021-04-22 17:24:02
6650,702,Valid,2021/04/22,17:24:32,32.111813,34.808532,33.1,0.0,0.0,2.0,1.0,1.7,8,10,34.3,2021-04-22 17:24:32
6651,704,Valid,2021/04/22,17:25:33,32.111745,34.808446999999994,37.3,19.07,206.82,1.8,1.0,1.5,8,10,36.3,2021-04-22 17:25:33
