,time,Latitude,Longitude,N,geoid,E,satellites,ellipsoid,PDOP,HDOP,VDOP,x,y,alt,MSL,surfaceAlt,speed,distance,UTC,All_time
16826,737045.562719792,32.111729985149005,34.808111560459,1,18.967,1,7,0.2,1.5,1.2,,670590.780613815,3554251.34390223,1.0,-18.767,39,0.0,0.0,13:30:18,2017-12-16 13:30:18
16827,737045.562893403,32.1115292786402,34.8079600566307,1,18.964000000000002,1,6,6.8,1.5,1.2,,670576.8579023139,3554228.85196584,1.0,-12.164000000000001,43,1.7634928699578203,26.4523930493673,13:30:33,2017-12-16 13:30:33
16828,737045.5630670141,32.1114365293812,34.8077756324475,1,18.963,1,9,20.7,1.5,0.9,,670559.627898482,3554218.27700134,1.0,1.7369999999999999,41,1.34776012745771,20.216401911865603,13:30:48,2017-12-16 13:30:48
16829,737045.7503877309,32.111448817167,34.8075625589574,1,18.964000000000002,1,6,19.2,1.5,1.2,,670539.499110039,3554219.30202475,1.0,0.23600000000000101,41,0.00625052188067825,20.154870309465803,18:00:33,2017-12-16 18:00:33
16830,737045.750909028,32.1116042806261,34.807312651264894,1,18.963,1,6,23.4,1.5,1.2,,670515.628346076,3554236.142471201,1.0,4.437,41,0.648606806658513,29.2132505718994,18:01:18,2017-12-16 18:01:18
16831,737045.787365046,32.111639515103604,34.8069796454394,1,18.956,1,6,26.5,1.6,1.3,,670484.139966629,3554239.52185362,1.0,7.544,45,0.0100543528432437,31.669200585648998,18:53:48,2017-12-16 18:53:48
16832,737045.787712963,32.1114423776623,34.8070753914354,1,18.959,1,6,30.4,1.6,1.3,,670493.541234071,3554217.81702501,1.0,11.440999999999999,45,0.786872979140168,23.6534017529535,18:54:18,2017-12-16 18:54:18
16833,737045.8314631941,32.1110686405684,34.807554654086196,1,18.964000000000002,1,6,29.4,1.6,1.2,,670539.460268329,3554177.1398732,1.0,10.436,43,0.113597333031551,61.344831783698204,19:57:18,2017-12-16 19:57:18
16834,737045.83163669,32.1108441507047,34.807905687365,1,18.965,1,6,29.3,1.6,1.2,,670573.002025972,3554152.80671892,1.0,10.335,32,2.7644117159343904,41.4385316218565,19:57:33,2017-12-16 19:57:33
16835,737045.831983681,32.1108890332634,34.8078880181486,1,18.963,1,7,31.3,1.4,1.0,,670571.2512317,3554157.75480996,1.0,12.337,43,0.17507348990329902,5.24870322730092,19:58:03,2017-12-16 19:58:03
