,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
0,698,Valid,2020/06/02,17:22:37,32.110211,34.808776,-0.5,0.0,0.0,2.5,1.2,2.2,8,11,37.1,2020-06-02 17:22:37
1,699,Valid,2020/06/02,17:23:08,32.111517,34.80835,2.6,2.53,170.22,1.8,1.0,1.5,8,11,34.8,2020-06-02 17:23:08
2,700,Valid,2020/06/02,17:23:38,32.111618,34.808263000000004,4.5,0.0,0.0,1.9,1.0,1.6,8,11,34.1,2020-06-02 17:23:38
3,702,Valid,2020/06/02,17:24:38,32.112066,34.808774,9.5,0.0,0.0,1.7,1.0,1.4,9,11,38.8,2020-06-02 17:24:38
4,703,Valid,2020/06/02,17:25:09,32.111913,34.808567,9.8,0.0,0.0,2.0,1.2,1.7,8,11,36.1,2020-06-02 17:25:09
5,705,Valid,2020/06/02,17:26:09,32.111729,34.808946999999996,12.7,0.0,0.0,2.0,1.1,1.7,9,11,38.4,2020-06-02 17:26:09
6,706,Valid,2020/06/02,17:26:40,32.112021999999996,34.809093,11.7,0.0,0.0,1.6,1.3,0.9,7,11,34.7,2020-06-02 17:26:40
7,707,Valid,2020/06/02,17:27:10,32.112033000000004,34.8085,12.0,0.0,0.0,1.8,1.5,0.9,6,11,36.1,2020-06-02 17:27:10
8,708,Valid,2020/06/02,17:27:40,32.111979,34.808704,14.2,0.0,0.0,2.2,1.1,1.9,8,11,34.2,2020-06-02 17:27:40
9,710,Valid,2020/06/02,17:28:41,32.111769,34.808640999999994,16.1,0.0,0.0,1.5,0.9,1.2,11,11,37.1,2020-06-02 17:28:41
10,711,Valid,2020/06/02,17:29:11,32.112854999999996,34.809034999999994,17.6,0.0,0.0,1.9,0.9,1.6,9,11,34.2,2020-06-02 17:29:11
11,712,Valid,2020/06/02,17:29:41,32.11404,34.809094,20.8,0.0,0.0,1.8,1.2,1.4,8,11,34.3,2020-06-02 17:29:41
12,713,Valid,2020/06/02,17:30:12,32.114043,34.809435,20.0,6.42,250.73,2.0,1.0,1.7,8,11,36.0,2020-06-02 17:30:12
