,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
0,928,Valid,2020/04/01,19:18:42,32.111498,34.808704,2.1,0.0,0.0,1.8,1.0,1.5,8,11,33.0,2020-04-01 19:18:42
1,929,Valid,2020/04/01,19:19:12,32.111121000000004,34.807719,3.6,5.79,232.31,1.9,1.7,0.9,6,11,36.1,2020-04-01 19:19:12
2,931,Valid,2020/04/01,19:20:13,32.110718,34.807033000000004,3.7,0.0,0.0,1.6,1.3,0.9,6,11,37.3,2020-04-01 19:20:13
3,934,Valid,2020/04/01,19:21:44,32.110935999999995,34.807758,8.4,0.0,0.0,1.6,1.3,0.9,6,11,39.8,2020-04-01 19:21:44
4,937,Valid,2020/04/01,19:23:15,32.110184999999994,34.808234000000006,10.7,119.15,350.58,3.2,3.1,0.9,6,11,36.4,2020-04-01 19:23:15
5,939,Valid,2020/04/01,19:24:15,32.110991999999996,34.807974,13.8,19.48,339.55,1.5,1.3,0.8,7,11,38.3,2020-04-01 19:24:15
6,940,Valid,2020/04/01,19:24:46,32.11073,34.807646000000005,13.0,0.0,0.0,2.4,2.2,0.9,6,11,37.4,2020-04-01 19:24:46
7,942,Valid,2020/04/01,19:25:46,32.111043,34.807882,16.4,0.0,0.0,1.7,1.4,0.9,6,11,37.5,2020-04-01 19:25:46
8,944,Valid,2020/04/01,19:26:47,32.110510999999995,34.807516,18.5,52.1,333.16,3.2,3.1,0.9,6,10,37.4,2020-04-01 19:26:47
9,947,Valid,2020/04/01,19:28:18,32.111069,34.807918,21.7,78.74,4.98,3.2,3.1,0.9,6,10,38.9,2020-04-01 19:28:18
10,948,Valid,2020/04/01,19:28:48,32.110925,34.807973,22.8,0.0,0.0,2.2,1.0,1.9,9,10,35.3,2020-04-01 19:28:48
11,950,Valid,2020/04/01,19:29:49,32.110239,34.807411,23.8,42.41,358.42,3.1,3.0,0.9,6,10,37.5,2020-04-01 19:29:49
12,951,Valid,2020/04/01,19:30:19,32.110732,34.808444,23.3,23.79,322.89,3.1,3.0,0.9,6,10,39.2,2020-04-01 19:30:19
13,953,Valid,2020/04/01,19:31:20,32.110875,34.808236,22.7,32.6,71.6,1.5,1.2,0.9,7,10,36.0,2020-04-01 19:31:20
14,966,Valid,2020/04/01,19:37:54,32.111096,34.807649,24.1,0.0,0.0,2.9,2.8,0.9,6,11,36.0,2020-04-01 19:37:54
15,967,Valid,2020/04/01,19:38:24,32.110291,34.80751,24.5,0.0,0.0,2.9,2.8,0.9,6,11,37.8,2020-04-01 19:38:24
16,968,Valid,2020/04/01,19:38:54,32.110727000000004,34.807602,25.4,24.88,264.29,2.4,1.0,2.1,8,11,33.4,2020-04-01 19:38:54
17,969,Valid,2020/04/01,19:39:24,32.111056,34.807652000000004,26.4,9.35,37.79,1.7,1.4,0.9,6,11,36.0,2020-04-01 19:39:24
18,970,Valid,2020/04/01,19:39:55,32.110865000000004,34.808228,28.1,0.0,0.0,1.5,1.2,0.9,6,11,35.5,2020-04-01 19:39:55
19,974,Valid,2020/04/01,19:41:56,32.111188,34.808151,30.0,30.76,3.13,1.6,1.3,0.9,6,11,35.7,2020-04-01 19:41:56
