,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
465,19,Valid,2021/01/17,12:39:53,32.111595,34.808382,-0.8,0.0,0.0,2.4,1.2,2.0,8,13,37.9,2021-01-17 12:39:53
466,20,Valid,2021/01/17,12:40:24,32.111297,34.807813,1.4,0.0,0.0,1.5,1.1,0.9,7,13,37.3,2021-01-17 12:40:24
467,533,Valid,2021/01/17,16:59:15,32.111437,34.808414,0.9,5.14,293.36,1.5,1.2,0.9,6,9,31.9,2021-01-17 16:59:15
468,539,Valid,2021/01/17,17:02:17,32.111319,34.808205,2.2,0.0,0.0,1.4,1.1,0.8,6,9,32.5,2021-01-17 17:02:17
469,541,Valid,2021/01/17,17:03:17,32.111340999999996,34.808554,2.5,68.3,9.08,1.4,1.1,0.9,7,9,36.9,2021-01-17 17:03:17
470,544,Valid,2021/01/17,17:04:48,32.11138,34.80814,3.9,0.0,0.0,1.4,1.0,0.9,7,9,35.4,2021-01-17 17:04:48
471,649,Valid,2021/01/17,17:57:48,32.111593,34.808306,4.7,0.0,0.0,1.4,1.1,0.9,7,8,36.1,2021-01-17 17:57:48
472,653,Valid,2021/01/17,17:59:49,32.111356,34.808062,7.1,0.0,0.0,2.0,1.0,1.8,8,8,38.5,2021-01-17 17:59:49
473,654,Valid,2021/01/17,18:00:20,32.111163,34.807997,7.1,0.0,0.0,2.0,1.8,0.9,6,8,36.6,2021-01-17 18:00:20
474,656,Valid,2021/01/17,18:01:20,32.111146999999995,34.807988,9.5,0.0,0.0,1.4,1.0,0.9,7,8,33.1,2021-01-17 18:01:20
475,658,Valid,2021/01/17,18:02:21,32.110937,34.808285999999995,12.0,0.0,0.0,1.4,1.1,0.9,7,8,36.1,2021-01-17 18:02:21
476,664,Valid,2021/01/17,18:05:23,32.111601,34.80853,13.2,0.0,0.0,2.0,1.0,1.8,8,8,34.7,2021-01-17 18:05:23
477,666,Valid,2021/01/17,18:06:23,32.111315000000005,34.808254,13.6,0.0,0.0,2.0,1.8,0.9,6,8,35.6,2021-01-17 18:06:23
478,667,Valid,2021/01/17,18:06:53,32.111525,34.808199,14.9,15.27,139.16,1.5,1.2,0.9,6,8,39.4,2021-01-17 18:06:53
479,670,Valid,2021/01/17,18:08:24,32.111491,34.808259,15.1,0.0,0.0,2.0,1.0,1.7,8,8,36.3,2021-01-17 18:08:24
480,673,Valid,2021/01/17,18:09:55,32.111202,34.808183,15.3,25.67,240.72,2.0,1.8,0.9,6,8,36.0,2021-01-17 18:09:55
481,674,Valid,2021/01/17,18:10:25,32.111416999999996,34.808448,19.4,37.13,34.51,2.0,1.0,1.7,8,8,37.6,2021-01-17 18:10:25
482,675,Valid,2021/01/17,18:10:56,32.111418,34.808366,21.2,0.0,0.0,1.5,1.2,0.9,6,8,39.0,2021-01-17 18:10:56
483,678,Valid,2021/01/17,18:12:27,32.111532000000004,34.808494,21.2,0.0,0.0,2.0,1.0,1.7,8,8,37.3,2021-01-17 18:12:27
484,680,Valid,2021/01/17,18:13:27,32.111504,34.808433,24.7,0.0,0.0,2.0,1.0,1.7,8,8,37.6,2021-01-17 18:13:27
485,681,Valid,2021/01/17,18:13:57,32.111184,34.808237,25.7,45.37,54.14,1.4,1.0,0.9,7,8,39.3,2021-01-17 18:13:57
486,683,Valid,2021/01/17,18:14:58,32.111425,34.808369,26.7,50.61,63.07,1.5,1.2,0.9,6,8,36.9,2021-01-17 18:14:58
487,685,Valid,2021/01/17,18:15:59,32.111290999999994,34.808242,27.7,24.21,248.88,1.4,1.1,0.9,7,8,38.8,2021-01-17 18:15:59
488,689,Valid,2021/01/17,18:18:00,32.111241,34.807932,28.7,14.76,323.76,1.4,1.1,0.9,7,8,34.9,2021-01-17 18:18:00
489,690,Valid,2021/01/17,18:18:30,32.111069,34.808313,29.5,14.46,196.33,1.5,1.2,0.9,6,8,40.1,2021-01-17 18:18:30
490,693,Valid,2021/01/17,18:20:01,32.111442,34.808172,28.6,0.0,0.0,1.4,1.1,0.9,7,8,34.7,2021-01-17 18:20:01
491,702,Valid,2021/01/17,18:24:34,32.111585999999996,34.808214,28.7,0.0,0.0,1.4,1.1,0.9,7,8,33.4,2021-01-17 18:24:34
492,878,Valid,2021/01/17,19:53:25,32.111270000000005,34.807947,27.3,27.61,199.02,1.7,1.4,0.9,6,12,38.1,2021-01-17 19:53:25
493,879,Valid,2021/01/17,19:53:56,32.111289,34.808274,28.5,0.0,0.0,1.9,0.9,1.6,9,12,37.1,2021-01-17 19:53:56
494,880,Valid,2021/01/17,19:54:26,32.111266,34.808299,29.5,0.0,0.0,2.1,1.1,1.8,8,12,37.8,2021-01-17 19:54:26
495,884,Valid,2021/01/17,19:56:27,32.111457,34.808383,27.8,18.95,183.26,1.7,1.5,0.9,6,12,36.3,2021-01-17 19:56:27
