,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
6955,15,Valid,2020/02/03,12:37:51,32.111318,34.808303,0.5,0.0,0.0,1.8,1.5,1.0,6,11,37.3,2020-02-03 12:37:51
6956,646,Valid,2020/02/03,17:56:19,32.111056,34.808187,2.0,24.21,4.13,1.4,1.0,0.9,7,9,36.9,2020-02-03 17:56:19
6957,647,Valid,2020/02/03,17:56:50,32.111497,34.808383,1.3,0.0,0.0,1.5,1.2,0.9,6,9,37.0,2020-02-03 17:56:50
6958,652,Valid,2020/02/03,17:59:21,32.110836,34.807781,1.0,0.0,0.0,2.1,1.9,0.9,6,9,34.7,2020-02-03 17:59:21
6959,655,Valid,2020/02/03,18:00:52,32.1111,34.80826,2.9,0.0,0.0,2.1,1.9,0.9,6,9,36.7,2020-02-03 18:00:52
6960,656,Valid,2020/02/03,18:01:22,32.111451,34.808268,1.8,6.44,103.12,1.4,1.1,0.9,6,9,34.8,2020-02-03 18:01:22
6961,658,Valid,2020/02/03,18:02:23,32.111428000000004,34.808285999999995,0.4,15.21,308.19,1.4,1.0,0.9,7,9,33.1,2020-02-03 18:02:23
6962,660,Valid,2020/02/03,18:03:23,32.111153,34.8082,3.6,0.0,0.0,1.4,1.1,0.9,7,8,34.6,2020-02-03 18:03:23
6963,661,Valid,2020/02/03,18:03:54,32.111282,34.808307,5.0,0.0,0.0,1.4,1.1,0.9,7,8,36.0,2020-02-03 18:03:54
6964,662,Valid,2020/02/03,18:04:24,32.111353,34.808402,7.0,0.0,0.0,1.4,1.1,0.9,7,8,36.5,2020-02-03 18:04:24
6965,665,Valid,2020/02/03,18:05:55,32.111134,34.808209000000005,5.6,0.0,0.0,2.1,1.9,0.9,6,8,36.1,2020-02-03 18:05:55
6966,666,Valid,2020/02/03,18:06:25,32.111108,34.808483,7.1,0.0,0.0,1.5,1.2,0.9,6,8,36.9,2020-02-03 18:06:25
6967,673,Valid,2020/02/03,18:09:57,32.110951,34.807937,8.2,0.0,0.0,2.1,1.8,0.9,6,8,35.7,2020-02-03 18:09:57
6968,676,Valid,2020/02/03,18:11:28,32.111183000000004,34.808279999999996,7.2,0.0,0.0,2.0,1.8,0.9,6,8,34.3,2020-02-03 18:11:28
6969,677,Valid,2020/02/03,18:11:58,32.111968,34.808393,9.7,29.36,291.82,1.4,1.1,0.9,7,8,36.3,2020-02-03 18:11:58
6970,678,Valid,2020/02/03,18:12:29,32.113362,34.808141,9.5,0.0,0.0,1.6,1.3,1.0,6,8,35.3,2020-02-03 18:12:29
6971,679,Valid,2020/02/03,18:12:59,32.113812,34.809656,10.3,0.0,0.0,1.8,0.9,1.6,8,8,36.4,2020-02-03 18:12:59
6972,680,Valid,2020/02/03,18:13:29,32.114136,34.809712,11.3,0.0,0.0,2.0,1.8,0.9,6,8,34.0,2020-02-03 18:13:29
6973,681,Valid,2020/02/03,18:14:00,32.113824,34.809552000000004,10.2,0.0,0.0,1.8,0.9,1.6,8,8,36.3,2020-02-03 18:14:00
6974,682,Valid,2020/02/03,18:14:30,32.11415,34.809753,12.4,25.24,251.08,1.4,1.1,0.9,7,8,34.4,2020-02-03 18:14:30
6975,684,Valid,2020/02/03,18:15:30,32.114138,34.809496,13.3,46.41,43.94,1.6,1.3,0.9,6,8,36.7,2020-02-03 18:15:30
6976,685,Valid,2020/02/03,18:16:01,32.113504,34.809274,14.9,0.0,0.0,1.4,1.1,0.9,7,8,34.8,2020-02-03 18:16:01
6977,686,Valid,2020/02/03,18:16:31,32.11374,34.809321000000004,12.9,0.0,0.0,1.4,1.1,0.9,7,8,39.3,2020-02-03 18:16:31
6978,687,Valid,2020/02/03,18:17:01,32.113726,34.809509999999996,12.7,54.74,25.63,2.0,1.8,0.9,6,8,35.9,2020-02-03 18:17:01
6979,688,Valid,2020/02/03,18:17:32,32.113881,34.809595,15.3,33.74,19.73,1.8,0.9,1.5,8,8,35.3,2020-02-03 18:17:32
6980,689,Valid,2020/02/03,18:18:02,32.114008,34.809746999999994,17.2,0.0,0.0,1.8,0.9,1.5,8,8,36.7,2020-02-03 18:18:02
6981,690,Valid,2020/02/03,18:18:32,32.113934,34.809689,18.0,0.0,0.0,1.8,0.9,1.5,8,8,36.9,2020-02-03 18:18:32
6982,691,Valid,2020/02/03,18:19:03,32.113862,34.809673,20.6,0.0,0.0,1.4,1.1,0.9,7,8,37.9,2020-02-03 18:19:03
6983,692,Valid,2020/02/03,18:19:33,32.113358000000005,34.809391999999995,22.4,0.0,0.0,1.4,1.1,0.9,7,8,35.1,2020-02-03 18:19:33
6984,693,Valid,2020/02/03,18:20:03,32.113785,34.809743,24.0,25.68,141.09,1.5,1.2,0.9,6,8,35.9,2020-02-03 18:20:03
6985,694,Valid,2020/02/03,18:20:33,32.113572999999995,34.809281,24.6,34.72,72.33,1.4,1.1,0.9,7,8,36.4,2020-02-03 18:20:33
6986,695,Valid,2020/02/03,18:21:04,32.113887,34.809616,24.7,0.0,0.0,1.6,1.3,0.9,6,8,33.7,2020-02-03 18:21:04
6987,696,Valid,2020/02/03,18:21:34,32.114055,34.809589,24.5,0.0,0.0,1.6,1.3,0.9,6,8,35.0,2020-02-03 18:21:34
6988,697,Valid,2020/02/03,18:22:04,32.114082,34.809591999999995,24.4,0.0,0.0,1.6,1.3,0.9,6,8,36.7,2020-02-03 18:22:04
6989,699,Valid,2020/02/03,18:23:05,32.113818,34.809404,25.5,0.0,0.0,1.6,1.3,0.9,6,8,34.8,2020-02-03 18:23:05
6990,700,Valid,2020/02/03,18:23:35,32.113747,34.809543,25.3,0.0,0.0,1.4,1.1,0.9,7,8,37.5,2020-02-03 18:23:35
6991,701,Valid,2020/02/03,18:24:05,32.113795,34.809606,25.4,0.0,0.0,1.4,1.1,0.9,7,8,37.7,2020-02-03 18:24:05
6992,702,Valid,2020/02/03,18:24:36,32.114406,34.809838,27.3,18.74,180.34,1.9,1.7,0.9,6,8,36.6,2020-02-03 18:24:36
6993,703,Valid,2020/02/03,18:25:06,32.113634000000005,34.809273,26.3,0.0,0.0,1.4,1.1,0.9,7,8,35.4,2020-02-03 18:25:06
6994,706,Valid,2020/02/03,18:26:37,32.113821,34.809371,27.1,0.0,0.0,1.4,1.1,0.9,7,8,37.1,2020-02-03 18:26:37
6995,708,Valid,2020/02/03,18:27:37,32.114065000000004,34.809340999999996,28.4,5.28,125.8,1.4,1.1,0.9,7,8,38.6,2020-02-03 18:27:37
6996,709,Valid,2020/02/03,18:28:08,32.113867,34.80959,28.3,12.53,140.6,1.7,0.9,1.4,8,8,34.0,2020-02-03 18:28:08
6997,710,Valid,2020/02/03,18:28:38,32.113893,34.809585999999996,30.0,0.0,0.0,1.4,1.1,0.9,7,8,38.2,2020-02-03 18:28:38
6998,711,Valid,2020/02/03,18:29:08,32.114027,34.809599,30.1,10.25,178.73,1.4,1.1,0.9,7,8,34.9,2020-02-03 18:29:08
6999,712,Valid,2020/02/03,18:29:39,32.113632,34.809477,31.7,0.0,0.0,1.8,1.6,0.9,6,8,40.2,2020-02-03 18:29:39
7000,713,Valid,2020/02/03,18:30:09,32.113935,34.809733,28.2,0.0,0.0,1.4,1.1,0.9,7,8,35.8,2020-02-03 18:30:09
7001,714,Valid,2020/02/03,18:30:39,32.113843,34.809711,29.6,0.0,0.0,1.3,1.0,0.8,7,8,34.9,2020-02-03 18:30:39
7002,715,Valid,2020/02/03,18:31:10,32.113960999999996,34.809599,31.5,0.0,0.0,1.4,1.1,0.9,7,9,37.7,2020-02-03 18:31:10
7003,716,Valid,2020/02/03,18:31:40,32.113688,34.809643,33.0,0.0,0.0,1.4,1.1,0.9,7,9,37.9,2020-02-03 18:31:40
7004,717,Valid,2020/02/03,18:32:10,32.113844,34.809557,34.0,0.0,0.0,1.5,1.2,0.9,6,9,39.0,2020-02-03 18:32:10
7005,719,Valid,2020/02/03,18:33:11,32.113828999999996,34.809363,33.7,26.34,169.41,1.4,1.1,0.9,7,9,37.5,2020-02-03 18:33:11
