,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
0,15,Valid,2021/02/25,12:38:47,32.111312,34.807901,-0.3,22.33,215.03,1.8,1.5,0.9,6,12,36.4,2021-02-25 12:38:47
1,454,Valid,2021/02/25,16:22:19,32.11079,34.80826,4.9,0.0,0.0,1.5,1.2,0.8,7,10,33.6,2021-02-25 16:22:19
2,455,Valid,2021/02/25,16:22:50,32.111746999999994,34.808485,8.0,0.0,0.0,1.7,0.9,1.4,8,10,36.5,2021-02-25 16:22:50
3,456,Valid,2021/02/25,16:23:20,32.112555,34.808923,11.2,0.0,0.0,1.4,1.1,0.9,7,10,39.3,2021-02-25 16:23:20
4,458,Valid,2021/02/25,16:24:21,32.112811,34.808995,15.0,0.0,0.0,1.4,1.2,0.8,6,10,32.2,2021-02-25 16:24:21
5,459,Valid,2021/02/25,16:24:51,32.113108000000004,34.808521,16.4,0.0,0.0,1.6,1.3,0.9,6,10,36.7,2021-02-25 16:24:51
6,460,Valid,2021/02/25,16:25:21,32.112891999999995,34.808515,18.7,0.0,0.0,1.6,1.3,0.9,6,10,38.6,2021-02-25 16:25:21
7,463,Valid,2021/02/25,16:26:52,32.112953999999995,34.808637,19.1,0.0,0.0,1.5,1.2,0.9,6,10,33.5,2021-02-25 16:26:52
8,466,Valid,2021/02/25,16:28:23,32.113277000000004,34.808501,19.9,0.0,0.0,1.5,1.3,0.9,6,10,35.9,2021-02-25 16:28:23
9,469,Valid,2021/02/25,16:29:54,32.113440999999995,34.808386999999996,23.3,0.0,0.0,1.4,1.1,0.9,7,10,35.0,2021-02-25 16:29:54
10,470,Valid,2021/02/25,16:30:24,32.112788,34.808634000000005,22.9,0.0,0.0,1.4,1.1,0.9,7,10,35.7,2021-02-25 16:30:24
11,471,Valid,2021/02/25,16:30:54,32.112849,34.808581,25.2,0.0,0.0,1.6,1.3,0.9,6,10,39.3,2021-02-25 16:30:54
12,472,Valid,2021/02/25,16:31:25,32.112913,34.808389,27.8,2.85,23.67,1.3,0.8,1.1,10,10,35.2,2021-02-25 16:31:25
13,473,Valid,2021/02/25,16:31:55,32.112959000000004,34.808698,29.1,23.92,73.72,1.6,1.3,0.9,6,10,39.5,2021-02-25 16:31:55
14,474,Valid,2021/02/25,16:32:25,32.112815000000005,34.808687,29.8,0.0,0.0,1.3,1.0,0.8,7,10,35.9,2021-02-25 16:32:25
15,476,Valid,2021/02/25,16:33:26,32.112764,34.808451,33.3,0.0,0.0,1.4,0.8,1.1,10,10,38.9,2021-02-25 16:33:26
16,477,Valid,2021/02/25,16:33:56,32.112843,34.808754,34.0,0.0,0.0,1.7,1.0,1.4,8,10,33.6,2021-02-25 16:33:56
17,483,Valid,2021/02/25,16:36:58,32.112573,34.808465999999996,35.8,0.0,0.0,1.5,1.2,0.9,6,10,33.1,2021-02-25 16:36:58
18,484,Valid,2021/02/25,16:37:28,32.112936,34.808627,37.0,0.0,0.0,1.4,1.1,0.9,7,10,35.7,2021-02-25 16:37:28
19,487,Valid,2021/02/25,16:38:59,32.112846000000005,34.808481,38.4,0.0,0.0,1.8,1.0,1.5,8,10,33.7,2021-02-25 16:38:59
20,488,Valid,2021/02/25,16:39:29,32.112728999999995,34.808574,40.2,0.0,0.0,1.8,1.0,1.5,8,10,32.9,2021-02-25 16:39:29
21,490,Valid,2021/02/25,16:40:30,32.112919,34.808541999999996,42.8,9.46,235.37,1.7,1.0,1.4,8,10,36.6,2021-02-25 16:40:30
22,491,Valid,2021/02/25,16:41:00,32.113153000000004,34.808567,40.3,46.6,154.92,1.4,1.1,0.9,7,10,35.2,2021-02-25 16:41:00
23,493,Valid,2021/02/25,16:42:01,32.112751,34.80851,44.7,0.0,0.0,1.7,1.0,1.4,8,10,37.7,2021-02-25 16:42:01
24,494,Valid,2021/02/25,16:42:31,32.112807000000004,34.80849,48.9,0.0,0.0,1.7,0.9,1.4,9,10,38.2,2021-02-25 16:42:31
25,495,Valid,2021/02/25,16:43:01,32.112970000000004,34.808669,50.9,0.0,0.0,1.7,0.9,1.4,9,10,36.2,2021-02-25 16:43:01
26,496,Valid,2021/02/25,16:43:31,32.112914,34.808112,50.8,12.22,250.11,1.6,1.3,0.9,6,10,33.3,2021-02-25 16:43:31
27,497,Valid,2021/02/25,16:44:02,32.112812,34.808431,51.1,0.0,0.0,1.5,1.2,0.9,6,10,36.0,2021-02-25 16:44:02
28,500,Valid,2021/02/25,16:45:33,32.112648,34.808640000000004,51.4,0.0,0.0,1.3,1.0,0.8,7,10,32.9,2021-02-25 16:45:33
