,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
14364,17,Valid,2021/02/04,12:40:19,32.111346999999995,34.807988,3.2,0.0,0.0,2.0,1.0,1.7,9,11,35.8,2021-02-04 12:40:19
14365,19,Valid,2021/02/04,12:41:19,32.111314,34.807784999999996,2.4,0.0,0.0,1.7,1.3,1.0,6,11,35.6,2021-02-04 12:41:19
14366,388,Valid,2021/02/04,15:47:30,32.111476,34.808265999999996,3.2,0.0,0.0,1.3,1.0,0.9,7,9,36.7,2021-02-04 15:47:30
14367,391,Valid,2021/02/04,15:49:01,32.11286,34.808944,2.8,0.0,0.0,1.6,1.3,0.9,6,9,36.9,2021-02-04 15:49:01
14368,393,Valid,2021/02/04,15:50:02,32.112768,34.80849,2.3,0.0,0.0,1.5,1.2,0.9,6,9,34.4,2021-02-04 15:50:02
14369,394,Valid,2021/02/04,15:50:32,32.111788,34.80895,1.1,0.0,0.0,1.3,1.0,0.9,7,9,34.6,2021-02-04 15:50:32
14370,398,Valid,2021/02/04,15:52:33,32.112442,34.809106,1.0,17.07,292.04,1.6,1.2,0.9,6,9,36.0,2021-02-04 15:52:33
14371,399,Valid,2021/02/04,15:53:03,32.113058,34.808696999999995,2.6,0.0,0.0,1.5,1.2,0.9,6,9,32.0,2021-02-04 15:53:03
14372,400,Valid,2021/02/04,15:53:34,32.112394,34.808827,2.0,0.0,0.0,1.6,1.2,0.9,6,9,36.2,2021-02-04 15:53:34
14373,408,Valid,2021/02/04,15:57:36,32.112147,34.809092,2.1,0.0,0.0,1.4,1.1,0.8,7,10,35.9,2021-02-04 15:57:36
14374,413,Valid,2021/02/04,16:00:07,32.111425,34.808322,2.3,0.0,0.0,1.5,1.2,1.0,6,10,35.9,2021-02-04 16:00:07
14375,537,Valid,2021/02/04,17:02:42,32.111199,34.808136,1.7,0.0,0.0,1.5,1.1,0.9,6,8,35.7,2021-02-04 17:02:42
14376,545,Valid,2021/02/04,17:06:45,32.111041,34.807452000000005,4.7,0.0,0.0,1.4,1.1,0.9,7,8,36.3,2021-02-04 17:06:45
14377,551,Valid,2021/02/04,17:09:46,32.111084000000005,34.807460999999996,3.6,0.0,0.0,1.9,1.7,0.9,6,8,33.3,2021-02-04 17:09:46
14378,552,Valid,2021/02/04,17:10:17,32.111298,34.808163,6.3,0.0,0.0,1.5,1.1,0.9,6,8,30.5,2021-02-04 17:10:17
14379,561,Valid,2021/02/04,17:14:49,32.111337,34.807896,8.1,44.55,5.02,1.4,1.1,0.9,7,8,36.3,2021-02-04 17:14:49
14380,565,Valid,2021/02/04,17:16:50,32.111783,34.80825,10.1,11.36,87.61,1.5,1.2,0.9,6,8,32.4,2021-02-04 17:16:50
14381,616,Valid,2021/02/04,17:42:35,32.111201,34.807764,11.1,0.0,0.0,1.6,1.3,0.9,6,10,34.3,2021-02-04 17:42:35
14382,666,Valid,2021/02/04,18:07:50,32.111233,34.808035,11.5,0.0,0.0,1.4,1.1,0.9,6,10,31.7,2021-02-04 18:07:50
14383,669,Valid,2021/02/04,18:09:20,32.112573,34.808524,11.5,0.0,0.0,1.6,1.3,0.9,6,10,37.8,2021-02-04 18:09:20
14384,672,Valid,2021/02/04,18:10:51,32.112699,34.808434999999996,12.7,0.0,0.0,1.5,1.1,0.9,6,10,35.4,2021-02-04 18:10:51
14385,676,Valid,2021/02/04,18:12:52,32.112403,34.80833,11.5,0.0,0.0,1.4,1.1,0.9,7,10,34.0,2021-02-04 18:12:52
14386,677,Valid,2021/02/04,18:13:23,32.112806,34.808544,14.2,0.0,0.0,2.2,1.1,1.9,8,10,37.3,2021-02-04 18:13:23
14387,679,Valid,2021/02/04,18:14:23,32.113262,34.808893,14.1,0.0,0.0,2.0,1.8,0.9,6,10,34.6,2021-02-04 18:14:23
14388,680,Valid,2021/02/04,18:14:54,32.112513,34.808704,15.7,0.0,0.0,1.5,1.2,0.9,6,10,32.6,2021-02-04 18:14:54
14389,685,Valid,2021/02/04,18:17:25,32.112693,34.809047,16.3,0.0,0.0,1.5,1.2,0.9,6,10,34.6,2021-02-04 18:17:25
14390,693,Valid,2021/02/04,18:21:27,32.112624,34.808728,17.8,11.46,51.04,1.5,1.2,0.9,6,9,32.8,2021-02-04 18:21:27
14391,702,Valid,2021/02/04,18:26:00,32.112689,34.808532,19.9,0.0,0.0,2.0,1.2,1.7,8,9,37.6,2021-02-04 18:26:00
14392,705,Valid,2021/02/04,18:27:31,32.112565000000004,34.807999,19.3,0.0,0.0,1.8,1.6,0.9,6,9,34.4,2021-02-04 18:27:31
14393,706,Valid,2021/02/04,18:28:01,32.112744,34.808646,20.1,0.0,90.0,2.0,1.0,1.7,8,9,37.4,2021-02-04 18:28:01
14394,713,Valid,2021/02/04,18:31:33,32.112943,34.808811,21.2,0.0,0.0,1.4,1.1,0.9,7,10,34.6,2021-02-04 18:31:33
14395,714,Valid,2021/02/04,18:32:03,32.112581,34.808621,22.4,0.0,0.0,2.1,1.1,1.8,8,10,37.9,2021-02-04 18:32:03
14396,720,Valid,2021/02/04,18:35:05,32.112716,34.807898,21.3,0.0,0.0,2.0,1.8,0.9,6,11,33.2,2021-02-04 18:35:05
14397,722,Valid,2021/02/04,18:36:06,32.11295,34.808454,23.6,6.55,322.13,1.4,1.1,0.9,6,11,35.6,2021-02-04 18:36:06
14398,725,Valid,2021/02/04,18:37:37,32.112463,34.808374,23.6,0.0,0.0,1.5,1.2,0.9,6,12,34.6,2021-02-04 18:37:37
14399,737,Valid,2021/02/04,18:43:40,32.112792999999996,34.808696000000005,24.0,0.0,0.0,1.5,1.2,0.9,6,12,33.0,2021-02-04 18:43:40
14400,747,Valid,2021/02/04,18:48:43,32.112805,34.80791,24.8,0.0,0.0,1.4,1.1,0.9,7,12,35.9,2021-02-04 18:48:43
14401,751,Valid,2021/02/04,18:50:44,32.112854999999996,34.808989000000004,24.8,15.98,258.92,1.8,0.9,1.6,9,12,35.7,2021-02-04 18:50:44
14402,753,Valid,2021/02/04,18:51:45,32.113037,34.808914,24.8,5.33,94.69,1.3,1.0,0.9,7,12,36.6,2021-02-04 18:51:45
14403,755,Valid,2021/02/04,18:52:45,32.112505999999996,34.808594,24.9,0.0,0.0,1.5,1.2,0.9,6,12,33.6,2021-02-04 18:52:45
14404,756,Valid,2021/02/04,18:53:16,32.112577,34.808667,24.3,0.0,0.0,1.4,1.1,0.9,6,12,33.2,2021-02-04 18:53:16
14405,757,Valid,2021/02/04,18:53:46,32.112606,34.8087,23.6,0.0,0.0,1.4,1.1,0.9,6,12,34.6,2021-02-04 18:53:46
14406,761,Valid,2021/02/04,18:55:47,32.112765,34.808544,24.1,0.0,0.0,2.2,1.0,2.0,8,12,35.8,2021-02-04 18:55:47
14407,762,Valid,2021/02/04,18:56:18,32.111977,34.807843,24.6,0.0,0.0,2.0,1.7,1.0,6,12,36.3,2021-02-04 18:56:18
14408,763,Valid,2021/02/04,18:56:48,32.111185,34.807769,24.5,0.0,0.0,1.5,1.2,1.0,7,12,35.6,2021-02-04 18:56:48
14409,813,Valid,2021/02/04,19:22:03,32.1112,34.80835,26.6,0.0,0.0,1.8,1.6,0.9,7,11,36.2,2021-02-04 19:22:03
14410,814,Valid,2021/02/04,19:22:33,32.11115,34.807908000000005,28.4,0.0,0.0,1.9,1.0,1.6,8,11,34.6,2021-02-04 19:22:33
14411,815,Valid,2021/02/04,19:23:03,32.111228000000004,34.807388,30.2,0.0,0.0,1.5,1.3,0.9,7,11,33.8,2021-02-04 19:23:03
14412,816,Valid,2021/02/04,19:23:33,32.110682000000004,34.807842,28.9,0.0,0.0,1.6,1.3,0.9,6,11,37.7,2021-02-04 19:23:33
14413,817,Valid,2021/02/04,19:24:04,32.110642999999996,34.806814,28.0,33.44,261.92,1.7,1.4,0.9,6,11,36.7,2021-02-04 19:24:04
14414,852,Valid,2021/02/04,19:41:44,32.111492,34.808114,28.1,0.0,0.0,1.6,1.3,0.9,6,13,34.3,2021-02-04 19:41:44
14415,853,Valid,2021/02/04,19:42:14,32.111136,34.808141,27.5,0.0,0.0,1.6,1.3,0.9,6,13,33.7,2021-02-04 19:42:14
14416,854,Valid,2021/02/04,19:42:45,32.110912,34.808137,26.9,0.0,0.0,1.4,1.1,0.9,6,13,32.5,2021-02-04 19:42:45
14417,855,Valid,2021/02/04,19:43:15,32.111226,34.808015999999995,27.7,0.0,0.0,1.4,1.0,0.9,7,13,31.8,2021-02-04 19:43:15
14418,857,Valid,2021/02/04,19:44:16,32.111345,34.808069,27.1,0.0,0.0,1.5,1.2,0.9,6,13,34.0,2021-02-04 19:44:16
14419,858,Valid,2021/02/04,19:44:46,32.110966999999995,34.80813,28.2,0.0,0.0,1.5,1.2,0.9,6,13,33.8,2021-02-04 19:44:46
14420,859,Valid,2021/02/04,19:45:16,32.111018,34.808514,30.2,0.0,0.0,1.5,1.2,0.9,6,13,34.4,2021-02-04 19:45:16
14421,860,Valid,2021/02/04,19:45:47,32.111290000000004,34.808184999999995,33.9,0.0,0.0,1.5,1.3,0.8,7,13,32.6,2021-02-04 19:45:47
14422,861,Valid,2021/02/04,19:46:17,32.111042,34.808115,35.8,5.32,200.05,1.3,1.0,0.8,7,13,33.5,2021-02-04 19:46:17
14423,862,Valid,2021/02/04,19:46:47,32.111304,34.808126,36.1,0.0,0.0,1.6,1.3,0.9,6,13,33.1,2021-02-04 19:46:47
14424,863,Valid,2021/02/04,19:47:17,32.111509999999996,34.808476,36.4,9.06,171.43,1.5,1.2,0.8,6,13,32.5,2021-02-04 19:47:17
14425,864,Valid,2021/02/04,19:47:48,32.111387,34.808304,35.7,0.0,0.0,1.4,1.2,0.8,6,13,33.7,2021-02-04 19:47:48
14426,870,Valid,2021/02/04,19:50:50,32.111233,34.808268,34.7,17.88,322.48,1.7,1.4,0.9,7,13,34.6,2021-02-04 19:50:50
14427,871,Valid,2021/02/04,19:51:20,32.111315999999995,34.808588,37.5,0.0,0.0,1.4,1.1,0.8,7,13,34.8,2021-02-04 19:51:20
14428,872,Valid,2021/02/04,19:51:50,32.111369,34.808448999999996,40.8,0.0,0.0,1.5,1.0,1.2,9,13,33.9,2021-02-04 19:51:50
14429,877,Valid,2021/02/04,19:54:22,32.111431,34.808227,40.8,0.0,0.0,1.5,1.3,0.8,6,13,32.1,2021-02-04 19:54:22
14430,879,Valid,2021/02/04,19:55:22,32.111343,34.808327,43.1,0.0,0.0,1.9,1.0,1.6,9,13,35.0,2021-02-04 19:55:22
14431,881,Valid,2021/02/04,19:56:23,32.111381,34.808498,43.0,0.0,0.0,1.5,1.2,0.9,7,13,32.3,2021-02-04 19:56:23
14432,882,Valid,2021/02/04,19:56:53,32.1124,34.80872,41.4,0.0,0.0,1.9,1.6,0.9,6,13,35.5,2021-02-04 19:56:53
14433,884,Valid,2021/02/04,19:57:54,32.112769,34.808446999999994,42.8,9.59,318.37,2.2,1.1,1.8,8,13,37.8,2021-02-04 19:57:54
14434,885,Valid,2021/02/04,19:58:24,32.112549,34.808287,41.3,0.0,0.0,1.4,1.1,0.9,7,13,35.9,2021-02-04 19:58:24
14435,888,Valid,2021/02/04,19:59:55,32.112594,34.808726,41.7,6.63,194.04,1.8,1.0,1.5,8,12,36.9,2021-02-04 19:59:55
14436,889,Valid,2021/02/04,20:00:25,32.112984999999995,34.808464,42.1,24.6,167.08,1.5,1.3,0.9,7,12,35.0,2021-02-04 20:00:25
14437,891,Valid,2021/02/04,20:01:26,32.11275,34.80845,42.1,0.0,0.0,1.7,1.0,1.3,9,12,38.1,2021-02-04 20:01:26
14438,892,Valid,2021/02/04,20:01:56,32.112517,34.808567,42.7,0.0,0.0,1.5,1.2,0.9,7,12,34.3,2021-02-04 20:01:56
14439,893,Valid,2021/02/04,20:02:26,32.112674,34.808581,41.9,0.0,0.0,1.4,1.1,0.8,7,12,33.2,2021-02-04 20:02:26
14440,894,Valid,2021/02/04,20:02:57,32.11271,34.808727000000005,42.0,6.39,236.03,2.2,1.2,1.9,8,12,37.9,2021-02-04 20:02:57
14441,896,Valid,2021/02/04,20:03:57,32.112846999999995,34.808553,43.1,63.8,157.62,1.9,1.7,0.8,6,12,32.7,2021-02-04 20:03:57
14442,897,Valid,2021/02/04,20:04:28,32.112743,34.808890999999996,45.4,0.0,0.0,1.8,1.1,1.5,8,12,34.8,2021-02-04 20:04:28
14443,899,Valid,2021/02/04,20:05:28,32.112573,34.808758000000005,44.8,0.0,0.0,2.0,1.8,0.9,7,12,36.0,2021-02-04 20:05:28
14444,900,Valid,2021/02/04,20:05:59,32.112469,34.808776,44.7,0.0,0.0,1.8,1.1,1.4,8,12,33.0,2021-02-04 20:05:59
