,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
281,6,Valid,2020/05/05,11:33:19,32.112012,34.808215000000004,-0.3,0.0,0.0,1.5,1.2,1.0,7,11,36.0,2020-05-05 11:33:19
282,7,Valid,2020/05/05,11:33:49,32.111495,34.807713,2.8,0.0,0.0,1.9,0.9,1.6,8,11,33.2,2020-05-05 11:33:49
283,647,Valid,2020/05/05,16:56:47,32.110901,34.807875,6.0,0.0,0.0,2.2,1.0,1.9,8,12,36.5,2020-05-05 16:56:47
284,648,Valid,2020/05/05,16:57:17,32.111216999999996,34.808336,6.3,0.0,0.0,1.5,1.2,0.9,7,12,32.0,2020-05-05 16:57:17
285,654,Valid,2020/05/05,17:00:19,32.111067,34.807895,7.5,0.0,0.0,1.9,1.2,1.5,8,12,34.3,2020-05-05 17:00:19
286,664,Valid,2020/05/05,17:05:22,32.111051,34.807558,6.9,0.0,0.0,1.6,1.3,0.9,6,12,35.7,2020-05-05 17:05:22
287,672,Valid,2020/05/05,17:09:24,32.110993,34.808513,6.3,0.0,0.0,1.5,1.2,0.9,7,11,31.7,2020-05-05 17:09:24
288,673,Valid,2020/05/05,17:09:54,32.110212,34.807099,5.4,0.0,0.0,1.8,1.5,1.0,6,11,32.6,2020-05-05 17:09:54
289,677,Valid,2020/05/05,17:11:56,32.110997999999995,34.807742,4.5,0.0,0.0,2.2,1.1,1.9,8,12,32.1,2020-05-05 17:11:56
290,678,Valid,2020/05/05,17:12:26,32.111655,34.808265000000006,4.0,0.0,0.0,1.5,1.1,0.9,7,12,35.6,2020-05-05 17:12:26
291,679,Valid,2020/05/05,17:12:56,32.112146,34.807783,2.6,5.88,202.22,1.4,1.0,0.9,6,12,36.0,2020-05-05 17:12:56
292,680,Valid,2020/05/05,17:13:27,32.112140999999994,34.807995,2.9,0.0,0.0,1.3,1.0,0.9,7,12,35.9,2020-05-05 17:13:27
293,681,Valid,2020/05/05,17:13:57,32.112204999999996,34.807721,2.5,0.0,0.0,1.6,1.3,0.9,6,12,35.4,2020-05-05 17:13:57
294,682,Valid,2020/05/05,17:14:27,32.111943,34.807645,6.2,0.0,0.0,1.5,1.2,0.9,6,12,32.3,2020-05-05 17:14:27
295,684,Valid,2020/05/05,17:15:28,32.111453000000004,34.807531,10.6,0.0,0.0,1.8,1.2,1.4,8,12,37.3,2020-05-05 17:15:28
296,685,Valid,2020/05/05,17:15:58,32.112371,34.807971,9.5,27.41,155.71,1.4,1.1,0.9,7,12,34.4,2020-05-05 17:15:58
297,687,Valid,2020/05/05,17:16:59,32.112203,34.807961999999996,10.2,0.0,0.0,1.4,1.1,0.9,7,12,32.9,2020-05-05 17:16:59
298,688,Valid,2020/05/05,17:17:29,32.111601,34.807814,12.2,0.0,0.0,2.2,1.1,1.9,8,12,35.9,2020-05-05 17:17:29
299,689,Valid,2020/05/05,17:17:59,32.112278,34.808324,15.9,0.0,0.0,1.4,1.1,0.9,7,12,37.3,2020-05-05 17:17:59
300,690,Valid,2020/05/05,17:18:30,32.112061,34.808231,18.5,0.0,0.0,1.7,0.9,1.4,9,12,36.1,2020-05-05 17:18:30
301,691,Valid,2020/05/05,17:19:00,32.112062,34.808329,17.9,0.0,0.0,2.7,1.4,2.3,8,12,35.6,2020-05-05 17:19:00
302,694,Valid,2020/05/05,17:20:31,32.11217,34.808217,17.8,1.73,149.84,2.1,1.0,1.9,8,12,36.5,2020-05-05 17:20:31
303,695,Valid,2020/05/05,17:21:01,32.111926000000004,34.808486,18.5,0.0,0.0,1.5,1.2,0.9,6,12,30.9,2020-05-05 17:21:01
304,696,Valid,2020/05/05,17:21:31,32.112128999999996,34.808032,17.9,0.0,0.0,2.1,1.0,1.9,9,12,36.8,2020-05-05 17:21:31
305,697,Valid,2020/05/05,17:22:02,32.112415000000006,34.808015000000005,16.9,0.0,0.0,1.8,1.5,0.9,6,12,36.5,2020-05-05 17:22:02
306,698,Valid,2020/05/05,17:22:32,32.112165999999995,34.808225,16.1,19.71,309.42,1.6,1.3,0.9,7,12,35.5,2020-05-05 17:22:32
307,699,Valid,2020/05/05,17:23:02,32.111989,34.808258,19.2,0.0,0.0,1.7,0.9,1.4,9,12,36.9,2020-05-05 17:23:02
308,700,Valid,2020/05/05,17:23:33,32.111992,34.808434000000005,21.6,0.0,0.0,1.5,0.9,1.3,9,12,33.3,2020-05-05 17:23:33
309,701,Valid,2020/05/05,17:24:03,32.111893,34.808596,21.9,0.0,0.0,1.4,1.2,0.9,7,12,35.8,2020-05-05 17:24:03
310,702,Valid,2020/05/05,17:24:33,32.112339,34.807977,22.0,0.0,0.0,1.3,0.9,0.9,7,12,33.8,2020-05-05 17:24:33
311,703,Valid,2020/05/05,17:25:03,32.111843,34.808302000000005,23.4,0.0,0.0,1.7,1.0,1.4,8,12,35.5,2020-05-05 17:25:03
312,704,Valid,2020/05/05,17:25:34,32.112167,34.808135,22.9,11.78,121.41,1.4,1.1,0.9,7,12,35.7,2020-05-05 17:25:34
313,705,Valid,2020/05/05,17:26:04,32.112153,34.808062,21.9,0.0,0.0,1.5,1.3,0.8,7,12,35.8,2020-05-05 17:26:04
