,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
6741,833,Valid,2020/01/20,19:30:43,32.111275,34.808821,0.7,0.0,0.0,1.8,1.5,0.9,6,9,36.0,2020-01-20 19:30:43
6742,834,Valid,2020/01/20,19:31:13,32.111401,34.808541,4.5,0.0,0.0,1.4,1.1,0.9,7,9,33.9,2020-01-20 19:31:13
6743,836,Valid,2020/01/20,19:32:14,32.111567,34.809005,8.0,0.0,90.0,1.4,1.1,0.9,7,9,33.6,2020-01-20 19:32:14
6744,837,Valid,2020/01/20,19:32:44,32.111958,34.808578999999995,11.8,0.0,0.0,1.4,1.1,0.9,7,9,37.8,2020-01-20 19:32:44
6745,839,Valid,2020/01/20,19:33:44,32.11116,34.80832,11.8,24.92,184.11,1.7,1.5,0.9,6,9,35.5,2020-01-20 19:33:44
6746,841,Valid,2020/01/20,19:34:45,32.111255,34.808264,15.3,0.0,0.0,1.7,1.5,0.9,6,10,38.7,2020-01-20 19:34:45
6747,842,Valid,2020/01/20,19:35:15,32.111677,34.808503,16.7,0.0,0.0,1.6,1.3,0.9,6,10,33.5,2020-01-20 19:35:15
6748,843,Valid,2020/01/20,19:35:46,32.111004,34.808159,20.9,0.0,0.0,1.7,1.5,0.9,6,10,39.3,2020-01-20 19:35:46
6749,844,Valid,2020/01/20,19:36:16,32.111518,34.808576,24.6,0.0,0.0,1.4,1.1,0.9,7,10,40.2,2020-01-20 19:36:16
6750,845,Valid,2020/01/20,19:36:46,32.111831,34.807966,29.2,0.0,0.0,1.4,1.1,0.9,7,10,39.2,2020-01-20 19:36:46
6751,846,Valid,2020/01/20,19:37:17,32.112643,34.807784999999996,29.2,0.0,0.0,1.4,1.1,0.9,7,10,40.2,2020-01-20 19:37:17
