,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
14835,12,Valid,2020/01/30,12:36:19,32.111208000000005,34.80787,15.5,10.71,36.84,1.5,1.0,1.2,9,11,34.7,2020-01-30 12:36:19
14836,580,Valid,2020/01/30,17:22:58,32.110908,34.809034999999994,15.1,13.59,294.22,1.6,1.3,0.9,6,11,35.3,2020-01-30 17:22:58
14837,582,Valid,2020/01/30,17:23:58,32.1106,34.807946,14.7,22.44,86.18,1.6,1.3,0.9,6,11,36.6,2020-01-30 17:23:58
14838,583,Valid,2020/01/30,17:24:28,32.111292999999996,34.808002,16.7,0.0,0.0,1.4,1.1,0.9,7,11,37.8,2020-01-30 17:24:28
14839,584,Valid,2020/01/30,17:24:59,32.111523999999996,34.807772,15.9,18.41,290.85,1.6,1.3,0.9,6,11,32.5,2020-01-30 17:24:59
14840,585,Valid,2020/01/30,17:25:29,32.111242,34.808386999999996,26.7,0.0,0.0,1.4,0.9,1.2,9,11,35.4,2020-01-30 17:25:29
14841,588,Valid,2020/01/30,17:27:00,32.111844,34.80843,26.3,26.62,221.67,1.5,1.2,1.0,6,11,36.3,2020-01-30 17:27:00
14842,589,Valid,2020/01/30,17:27:30,32.112801,34.808865000000004,24.9,0.0,0.0,1.4,1.1,0.9,7,11,38.4,2020-01-30 17:27:30
14843,590,Valid,2020/01/30,17:28:00,32.112894,34.808807,24.4,0.0,0.0,1.5,1.2,1.0,6,11,33.7,2020-01-30 17:28:00
14844,591,Valid,2020/01/30,17:28:31,32.113136,34.808739,23.6,35.46,284.86,1.6,1.3,0.9,6,11,35.5,2020-01-30 17:28:31
14845,592,Valid,2020/01/30,17:29:01,32.112919,34.808948,23.7,0.0,0.0,1.5,1.2,1.0,6,11,39.2,2020-01-30 17:29:01
14846,594,Valid,2020/01/30,17:30:02,32.112322999999996,34.809083,23.5,0.0,0.0,1.6,1.3,0.9,6,11,36.9,2020-01-30 17:30:02
14847,595,Valid,2020/01/30,17:30:32,32.112097999999996,34.807968,24.1,0.0,0.0,1.4,1.1,0.9,7,11,35.6,2020-01-30 17:30:32
14848,597,Valid,2020/01/30,17:31:32,32.113004,34.808033,23.7,0.0,0.0,1.5,1.2,1.0,6,11,34.8,2020-01-30 17:31:32
14849,606,Valid,2020/01/30,17:36:05,32.113071999999995,34.808437,24.5,0.0,0.0,1.5,1.2,1.0,6,11,37.2,2020-01-30 17:36:05
14850,626,Valid,2020/01/30,17:46:11,32.113082,34.808101,25.7,0.0,0.0,1.6,1.3,0.9,6,11,35.5,2020-01-30 17:46:11
14851,627,Valid,2020/01/30,17:46:41,32.112845,34.808584,26.4,0.0,0.0,1.4,1.1,0.9,7,11,38.3,2020-01-30 17:46:41
14852,628,Valid,2020/01/30,17:47:11,32.113136,34.808673,26.2,0.0,0.0,1.6,1.3,0.9,6,11,32.8,2020-01-30 17:47:11
14853,636,Valid,2020/01/30,17:51:14,32.113115,34.808473,26.3,0.0,0.0,1.6,1.2,1.0,6,11,37.4,2020-01-30 17:51:14
14854,637,Valid,2020/01/30,17:51:44,32.113023,34.808558000000005,25.9,0.0,0.0,1.6,1.2,1.0,6,11,37.0,2020-01-30 17:51:44
14855,638,Valid,2020/01/30,17:52:14,32.112947999999996,34.808725,25.3,0.0,0.0,1.6,1.2,1.0,6,11,37.3,2020-01-30 17:52:14
14856,639,Valid,2020/01/30,17:52:45,32.112759999999994,34.808803000000005,25.3,0.0,0.0,1.6,1.2,1.0,6,11,37.1,2020-01-30 17:52:45
