,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
315,18,Valid,2020/04/26,11:39:22,32.111988000000004,34.808206,-0.6,24.17,239.08,1.4,1.1,0.9,7,12,35.7,2020-04-26 11:39:22
316,19,Valid,2020/04/26,11:39:52,32.111495,34.80746,0.9,8.77,119.19,1.2,0.9,0.9,7,12,35.1,2020-04-26 11:39:52
317,844,Valid,2020/04/26,18:36:16,32.111943,34.808828999999996,1.7,0.0,0.0,2.7,1.4,2.3,8,13,38.2,2020-04-26 18:36:16
318,847,Valid,2020/04/26,18:37:47,32.112844,34.809131,3.8,143.27,16.33,1.6,1.4,0.8,6,13,37.0,2020-04-26 18:37:47
319,848,Valid,2020/04/26,18:38:18,32.114569,34.809107,6.5,30.0,300.01,1.4,1.1,0.9,7,13,33.5,2020-04-26 18:38:18
320,850,Valid,2020/04/26,18:39:18,32.114703999999996,34.809008,10.0,0.0,0.0,1.6,1.0,1.3,9,13,37.9,2020-04-26 18:39:18
321,851,Valid,2020/04/26,18:39:48,32.11374,34.809351,9.7,21.93,42.31,1.6,1.4,0.9,6,13,35.2,2020-04-26 18:39:48
322,855,Valid,2020/04/26,18:41:50,32.115475,34.809584,10.5,0.0,0.0,1.6,1.3,0.9,7,13,38.1,2020-04-26 18:41:50
323,861,Valid,2020/04/26,18:44:51,32.115707,34.809748,10.8,41.6,5.23,1.7,1.4,1.0,6,13,35.0,2020-04-26 18:44:51
324,862,Valid,2020/04/26,18:45:22,32.115621000000004,34.809828,9.6,0.0,0.0,1.5,1.2,0.9,7,13,34.7,2020-04-26 18:45:22
325,863,Valid,2020/04/26,18:45:52,32.115355,34.809412,9.7,8.58,132.12,1.6,1.3,0.9,7,12,35.4,2020-04-26 18:45:52
326,866,Valid,2020/04/26,18:47:23,32.115352,34.80969,9.6,0.0,0.0,1.5,1.2,0.9,7,11,33.0,2020-04-26 18:47:23
327,869,Valid,2020/04/26,18:48:54,32.115313,34.809513,10.9,0.0,0.0,1.7,1.5,0.9,6,11,34.7,2020-04-26 18:48:54
328,872,Valid,2020/04/26,18:50:25,32.115575,34.809740000000005,11.7,0.0,0.0,1.6,1.3,0.9,7,11,36.4,2020-04-26 18:50:25
329,878,Valid,2020/04/26,18:53:27,32.115186,34.809845,14.5,0.0,0.0,1.5,1.2,0.9,7,11,31.7,2020-04-26 18:53:27
330,880,Valid,2020/04/26,18:54:27,32.11502,34.809521999999994,13.9,0.0,0.0,1.8,1.5,1.0,6,11,32.4,2020-04-26 18:54:27
331,881,Valid,2020/04/26,18:54:57,32.115621000000004,34.809603,14.2,0.0,0.0,1.7,1.5,0.9,6,11,35.1,2020-04-26 18:54:57
332,883,Valid,2020/04/26,18:55:58,32.115502,34.809367,17.8,0.0,0.0,1.5,1.0,1.2,9,11,32.5,2020-04-26 18:55:58
333,885,Valid,2020/04/26,18:56:59,32.11523,34.809213,17.4,0.0,0.0,1.7,1.5,1.0,6,11,32.5,2020-04-26 18:56:59
334,886,Valid,2020/04/26,18:57:29,32.115316,34.809427,14.6,0.0,0.0,1.4,1.2,0.8,7,11,33.6,2020-04-26 18:57:29
335,888,Valid,2020/04/26,18:58:30,32.115258000000004,34.809706,15.3,0.0,0.0,1.5,1.3,0.9,7,11,31.1,2020-04-26 18:58:30
336,891,Valid,2020/04/26,19:00:01,32.114709999999995,34.810303000000005,16.6,46.42,132.37,1.7,1.5,0.8,6,12,32.1,2020-04-26 19:00:01
337,892,Valid,2020/04/26,19:00:31,32.115601,34.809455,16.6,0.0,0.0,2.0,1.7,1.0,6,12,37.2,2020-04-26 19:00:31
338,896,Valid,2020/04/26,19:02:32,32.115455,34.809346999999995,15.1,0.0,0.0,1.7,1.5,0.9,6,12,33.0,2020-04-26 19:02:32
339,898,Valid,2020/04/26,19:03:33,32.115404,34.809451,17.4,8.38,36.22,1.5,1.2,0.8,7,12,33.5,2020-04-26 19:03:33
340,899,Valid,2020/04/26,19:04:03,32.115685,34.809384,18.2,18.42,330.5,1.8,1.6,0.8,6,12,32.7,2020-04-26 19:04:03
341,900,Valid,2020/04/26,19:04:33,32.115415000000006,34.809712,17.3,0.0,0.0,1.6,1.2,0.9,7,12,36.3,2020-04-26 19:04:33
342,907,Valid,2020/04/26,19:08:05,32.115193,34.809473,17.2,0.0,0.0,1.7,1.5,0.9,6,13,34.3,2020-04-26 19:08:05
343,914,Valid,2020/04/26,19:11:37,32.115053,34.808473,22.7,0.0,0.0,1.5,1.2,0.8,7,13,34.9,2020-04-26 19:11:37
344,915,Valid,2020/04/26,19:12:08,32.114715999999994,34.808534,23.7,7.1,220.24,1.6,1.3,0.8,6,13,31.9,2020-04-26 19:12:08
345,917,Valid,2020/04/26,19:13:08,32.114670000000004,34.808982,23.7,0.0,0.0,1.6,1.3,0.9,7,13,36.2,2020-04-26 19:13:08
346,918,Valid,2020/04/26,19:13:39,32.114553,34.808536,23.0,38.11,176.73,1.6,1.3,0.9,7,13,35.2,2020-04-26 19:13:39
347,919,Valid,2020/04/26,19:14:09,32.114776,34.808999,23.3,0.0,0.0,1.5,1.0,1.2,10,13,35.2,2020-04-26 19:14:09
348,920,Valid,2020/04/26,19:14:39,32.114969,34.809278000000006,24.1,0.0,0.0,2.1,1.2,1.7,9,13,36.3,2020-04-26 19:14:39
349,922,Valid,2020/04/26,19:15:40,32.115476,34.809474,24.2,4.23,72.96,1.8,1.6,0.8,6,13,34.6,2020-04-26 19:15:40
350,924,Valid,2020/04/26,19:16:40,32.115427000000004,34.809488,23.7,14.34,142.71,1.7,1.5,0.8,6,13,30.1,2020-04-26 19:16:40
351,926,Valid,2020/04/26,19:17:41,32.115577,34.809647,24.0,0.0,0.0,2.2,1.3,1.8,8,13,33.5,2020-04-26 19:17:41
352,927,Valid,2020/04/26,19:18:11,32.114765999999996,34.80903,23.6,0.0,0.0,2.2,1.3,1.8,8,13,36.4,2020-04-26 19:18:11
353,928,Valid,2020/04/26,19:18:42,32.114670000000004,34.808728,22.7,0.0,0.0,1.7,1.4,1.0,6,13,34.7,2020-04-26 19:18:42
354,929,Valid,2020/04/26,19:19:12,32.114843,34.809127000000004,24.9,0.0,0.0,2.2,1.3,1.7,8,13,33.5,2020-04-26 19:19:12
355,930,Valid,2020/04/26,19:19:42,32.114894,34.808751,24.4,0.0,0.0,1.8,1.5,1.0,6,13,36.1,2020-04-26 19:19:42
356,931,Valid,2020/04/26,19:20:13,32.114644,34.808739,24.5,2.02,206.57,1.6,1.3,0.9,7,13,36.3,2020-04-26 19:20:13
357,932,Valid,2020/04/26,19:20:43,32.114365,34.808729,22.8,0.0,0.0,1.6,1.3,1.0,7,13,35.8,2020-04-26 19:20:43
358,933,Valid,2020/04/26,19:21:13,32.11469,34.80905,23.0,16.51,20.02,1.5,1.3,0.9,7,13,33.0,2020-04-26 19:21:13
359,934,Valid,2020/04/26,19:21:43,32.114785999999995,34.808933,24.8,29.81,21.8,1.8,1.5,1.0,6,13,31.2,2020-04-26 19:21:43
360,936,Valid,2020/04/26,19:22:44,32.114682,34.80888,23.1,0.0,0.0,1.6,1.3,1.0,7,13,35.2,2020-04-26 19:22:44
361,937,Valid,2020/04/26,19:23:14,32.114453000000005,34.809024,24.2,0.0,0.0,1.6,1.3,0.9,7,13,36.5,2020-04-26 19:23:14
362,938,Valid,2020/04/26,19:23:45,32.11482,34.808833,25.1,0.0,0.0,1.6,1.3,1.0,7,13,34.8,2020-04-26 19:23:45
363,939,Valid,2020/04/26,19:24:15,32.114613,34.808739,25.9,0.0,0.0,2.0,1.8,0.9,6,13,34.5,2020-04-26 19:24:15
364,941,Valid,2020/04/26,19:25:16,32.114697,34.808425,25.3,0.0,0.0,1.7,1.4,1.0,6,13,34.6,2020-04-26 19:25:16
365,942,Valid,2020/04/26,19:25:46,32.114665,34.808807,24.9,0.0,0.0,1.7,1.4,1.0,6,13,37.2,2020-04-26 19:25:46
366,943,Valid,2020/04/26,19:26:16,32.114655,34.808667,25.1,0.0,0.0,1.3,1.0,0.8,7,13,31.3,2020-04-26 19:26:16
367,944,Valid,2020/04/26,19:26:46,32.114697,34.808844,26.0,0.0,0.0,2.1,1.2,1.7,9,13,35.9,2020-04-26 19:26:46
368,945,Valid,2020/04/26,19:27:17,32.114746999999994,34.809024,26.2,0.0,0.0,1.5,1.2,0.9,6,13,36.5,2020-04-26 19:27:17
369,946,Valid,2020/04/26,19:27:47,32.114767,34.808952000000005,25.3,3.73,47.37,1.9,1.2,1.5,8,13,36.3,2020-04-26 19:27:47
