,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
5966,19,Valid,2021/01/17,12:39:52,32.111488,34.808458,0.8,0.0,0.0,1.8,1.0,1.6,9,13,35.2,2021-01-17 12:39:52
5967,20,Valid,2021/01/17,12:40:22,32.111517,34.807984000000005,5.6,0.0,0.0,1.7,1.5,0.9,6,13,38.8,2021-01-17 12:40:22
5968,419,Valid,2021/01/17,16:01:41,32.110966,34.808357,6.0,0.0,0.0,1.7,1.4,0.9,6,10,32.4,2021-01-17 16:01:41
5969,423,Valid,2021/01/17,16:03:42,32.111109,34.807757,6.5,75.22,168.17,1.7,1.4,0.9,6,10,34.4,2021-01-17 16:03:42
5970,430,Valid,2021/01/17,16:07:14,32.111194,34.808355,9.2,0.0,0.0,1.5,1.2,0.9,6,9,35.9,2021-01-17 16:07:14
5971,440,Valid,2021/01/17,16:12:17,32.111937,34.808424,12.3,0.0,0.0,1.5,1.2,0.9,6,9,38.6,2021-01-17 16:12:17
5972,441,Valid,2021/01/17,16:12:48,32.112548,34.808921000000005,18.4,0.0,0.0,2.0,1.2,1.6,8,9,37.4,2021-01-17 16:12:48
5973,442,Valid,2021/01/17,16:13:18,32.114557,34.809540000000005,18.5,0.0,0.0,1.5,1.2,0.9,7,9,35.3,2021-01-17 16:13:18
5974,445,Valid,2021/01/17,16:14:49,32.117611,34.809536,20.4,3.87,52.79,1.5,1.2,0.9,7,9,37.3,2021-01-17 16:14:49
5975,446,Valid,2021/01/17,16:15:19,32.117854,34.809646,20.8,0.0,0.0,1.5,1.2,0.9,7,9,37.0,2021-01-17 16:15:19
5976,447,Valid,2021/01/17,16:15:49,32.117958,34.809404,21.2,0.0,0.0,1.5,1.2,0.9,7,9,36.2,2021-01-17 16:15:49
5977,448,Valid,2021/01/17,16:16:20,32.117746999999994,34.809518,21.8,0.0,90.0,1.5,1.2,0.9,7,9,37.0,2021-01-17 16:16:20
5978,449,Valid,2021/01/17,16:16:50,32.11761,34.809631,23.4,0.0,0.0,1.5,1.2,0.9,7,9,37.4,2021-01-17 16:16:50
5979,450,Valid,2021/01/17,16:17:20,32.117921,34.809335,24.6,0.0,0.0,1.5,1.2,0.9,7,9,36.7,2021-01-17 16:17:20
5980,452,Valid,2021/01/17,16:18:21,32.117527,34.809632,21.2,0.0,0.0,1.6,1.3,0.9,6,9,37.0,2021-01-17 16:18:21
5981,454,Valid,2021/01/17,16:19:21,32.117733,34.809636,21.1,0.0,0.0,1.6,1.3,0.9,6,9,37.8,2021-01-17 16:19:21
5982,457,Valid,2021/01/17,16:20:52,32.117618,34.809277,20.0,10.72,216.13,1.5,1.2,0.9,7,10,37.7,2021-01-17 16:20:52
5983,458,Valid,2021/01/17,16:21:22,32.117754999999995,34.809326,20.7,0.0,0.0,1.5,1.2,0.9,7,10,37.0,2021-01-17 16:21:22
5984,459,Valid,2021/01/17,16:21:53,32.117626,34.809162,22.1,0.0,0.0,1.5,1.2,0.9,7,10,36.9,2021-01-17 16:21:53
