,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
3587,10,Valid,2021/01/24,12:35:21,32.111151,34.808071000000005,4.2,0.0,0.0,2.0,1.2,1.6,8,13,36.9,2021-01-24 12:35:21
3588,1658,Valid,2021/01/25,02:29:53,32.111407,34.807446,5.4,35.13,33.91,2.0,1.8,0.9,6,11,32.9,2021-01-25 02:29:53
3589,1659,Valid,2021/01/25,02:30:23,32.111006,34.8083,5.8,0.0,0.0,3.0,2.8,0.9,6,11,33.7,2021-01-25 02:30:23
3590,1660,Valid,2021/01/25,02:30:53,32.111265,34.808104,6.1,0.0,0.0,1.4,1.1,0.9,7,11,35.2,2021-01-25 02:30:53
3591,1662,Valid,2021/01/25,02:31:54,32.111573,34.808199,6.1,0.0,0.0,1.6,1.3,0.9,6,11,34.3,2021-01-25 02:31:54
3592,1667,Valid,2021/01/25,02:34:25,32.110883,34.807642,6.7,0.0,0.0,1.4,1.1,0.8,7,11,31.4,2021-01-25 02:34:25
3593,1668,Valid,2021/01/25,02:34:56,32.111275,34.808336,7.7,0.0,0.0,1.7,1.4,0.9,6,11,37.3,2021-01-25 02:34:56
3594,1669,Valid,2021/01/25,02:35:26,32.111686,34.808474,6.6,0.0,0.0,1.5,1.2,0.9,6,11,37.3,2021-01-25 02:35:26
3595,1671,Valid,2021/01/25,02:36:27,32.110775,34.80787,8.5,0.0,0.0,3.1,3.0,0.9,6,11,35.8,2021-01-25 02:36:27
3596,1673,Valid,2021/01/25,02:37:27,32.110259,34.807658,9.8,0.0,0.0,2.0,1.8,0.9,6,11,35.7,2021-01-25 02:37:27
3597,1675,Valid,2021/01/25,02:38:28,32.111146000000005,34.809359,9.1,0.0,0.0,2.7,2.6,0.9,6,11,34.3,2021-01-25 02:38:28
3598,1676,Valid,2021/01/25,02:38:58,32.11124,34.808304,9.6,0.0,0.0,2.1,1.1,1.8,8,11,32.3,2021-01-25 02:38:58
3599,1677,Valid,2021/01/25,02:39:29,32.111084000000005,34.808194,9.9,0.0,90.0,1.5,1.2,0.9,6,11,32.8,2021-01-25 02:39:29
3600,1680,Valid,2021/01/25,02:41:00,32.111148,34.808537,10.7,0.0,0.0,1.4,1.1,0.9,7,11,31.9,2021-01-25 02:41:00
3601,1682,Valid,2021/01/25,02:42:00,32.111251,34.808467,11.2,0.0,0.0,1.4,1.1,0.9,6,11,32.5,2021-01-25 02:42:00
3602,1683,Valid,2021/01/25,02:42:31,32.111337,34.808377,13.4,0.0,0.0,1.4,1.1,0.9,7,11,36.1,2021-01-25 02:42:31
3603,1684,Valid,2021/01/25,02:43:01,32.111128,34.808308000000004,15.6,0.0,0.0,1.8,0.9,1.5,8,11,33.1,2021-01-25 02:43:01
3604,1686,Valid,2021/01/25,02:44:02,32.111269,34.808078,16.7,12.58,85.73,1.6,1.4,0.9,7,11,37.1,2021-01-25 02:44:02
3605,2345,Valid,2021/01/25,16:47:43,32.111197,34.808226,17.8,0.0,0.0,1.3,0.9,0.8,7,10,32.0,2021-01-25 16:47:43
3606,2350,Valid,2021/01/25,16:50:15,32.111835,34.808537,19.5,0.0,0.0,1.6,1.4,0.8,6,10,35.8,2021-01-25 16:50:15
