,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
7764,1146,Valid,2020/02/02,22:08:47,32.11101,34.807891,2.9,0.0,0.0,1.4,1.1,0.9,7,10,35.7,2020-02-02 22:08:47
7765,1147,Valid,2020/02/02,22:09:18,32.110999,34.808267,4.4,0.0,0.0,2.2,1.2,1.8,8,10,33.9,2020-02-02 22:09:18
7766,1148,Valid,2020/02/02,22:09:48,32.112418,34.808634999999995,9.3,20.07,296.23,2.2,1.2,1.8,8,10,40.1,2020-02-02 22:09:48
7767,1149,Valid,2020/02/02,22:10:18,32.113188,34.809018,15.0,0.0,0.0,1.7,1.0,1.4,9,10,38.2,2020-02-02 22:10:18
7768,1150,Valid,2020/02/02,22:10:49,32.114008,34.809411,22.4,18.26,216.56,1.7,1.0,1.4,9,10,37.5,2020-02-02 22:10:49
7769,1151,Valid,2020/02/02,22:11:19,32.113651000000004,34.80943,22.6,0.0,0.0,2.1,1.1,1.8,8,11,38.7,2020-02-02 22:11:19
7770,1152,Valid,2020/02/02,22:11:49,32.113013,34.809071,22.9,0.0,0.0,1.5,1.2,0.9,7,11,36.0,2020-02-02 22:11:49
7771,1153,Valid,2020/02/02,22:12:20,32.111989,34.80827,25.3,0.0,0.0,1.7,1.4,0.9,6,11,36.9,2020-02-02 22:12:20
7772,1154,Valid,2020/02/02,22:12:50,32.111238,34.808284,27.4,0.0,0.0,1.4,1.1,0.9,7,11,36.1,2020-02-02 22:12:50
7773,1155,Valid,2020/02/02,22:13:20,32.111596,34.807978999999996,27.8,0.0,0.0,1.6,1.3,0.9,6,11,36.2,2020-02-02 22:13:20
7774,1156,Valid,2020/02/02,22:13:50,32.111284999999995,34.808006,27.2,0.0,0.0,1.5,1.2,1.0,6,11,34.4,2020-02-02 22:13:50
7775,1157,Valid,2020/02/02,22:14:21,32.111069,34.808073,29.4,0.0,0.0,2.1,1.1,1.8,8,11,37.9,2020-02-02 22:14:21
7776,1158,Valid,2020/02/02,22:14:51,32.11117,34.808232000000004,29.7,20.45,13.23,1.7,1.0,1.4,9,11,34.1,2020-02-02 22:14:51
