,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
858,11,Valid,2020/01/30,12:35:50,32.112028,34.807726,3.6,0.0,0.0,1.9,1.7,0.8,6,11,37.5,2020-01-30 12:35:50
859,12,Valid,2020/01/30,12:36:20,32.111594000000004,34.807686,3.0,21.03,142.77,1.6,1.3,0.9,6,11,35.4,2020-01-30 12:36:20
860,1785,Valid,2020/01/31,03:34:05,32.110815,34.808563,4.1,50.0,299.89,2.3,2.1,0.9,7,12,32.7,2020-01-31 03:34:05
861,1788,Valid,2020/01/31,03:35:36,32.111173,34.808285999999995,7.0,0.0,0.0,2.2,1.1,1.9,8,12,34.0,2020-01-31 03:35:36
862,1789,Valid,2020/01/31,03:36:07,32.111211,34.808358,9.8,0.0,0.0,2.1,1.2,1.8,8,12,36.2,2020-01-31 03:36:07
863,1790,Valid,2020/01/31,03:36:37,32.111132,34.808101,13.7,7.48,178.1,2.1,1.1,1.8,8,12,36.2,2020-01-31 03:36:37
864,1791,Valid,2020/01/31,03:37:07,32.111344,34.808294000000004,14.8,33.65,17.11,1.6,1.3,0.9,7,12,40.1,2020-01-31 03:37:07
865,1792,Valid,2020/01/31,03:37:38,32.112673,34.808733000000004,15.4,0.0,0.0,2.0,1.8,0.9,6,12,33.4,2020-01-31 03:37:38
866,1793,Valid,2020/01/31,03:38:08,32.112865,34.808576,17.0,0.0,0.0,1.8,1.0,1.5,10,12,36.7,2020-01-31 03:38:08
867,1795,Valid,2020/01/31,03:39:09,32.112846999999995,34.808739,16.4,0.0,0.0,2.2,2.0,0.9,7,12,35.4,2020-01-31 03:39:09
868,1796,Valid,2020/01/31,03:39:39,32.112719,34.808603999999995,17.1,0.0,0.0,2.6,1.3,2.3,8,12,34.7,2020-01-31 03:39:39
869,1797,Valid,2020/01/31,03:40:09,32.113163,34.808431,18.3,0.0,0.0,1.5,1.2,0.9,7,12,32.6,2020-01-31 03:40:09
870,1798,Valid,2020/01/31,03:40:40,32.112849,34.808532,18.7,22.65,156.99,1.5,1.2,0.9,7,12,32.4,2020-01-31 03:40:40
871,1799,Valid,2020/01/31,03:41:10,32.112558,34.808836,17.9,0.0,0.0,1.5,1.2,0.9,7,12,34.9,2020-01-31 03:41:10
872,1800,Valid,2020/01/31,03:41:40,32.112970000000004,34.808836,17.7,0.0,0.0,2.2,2.0,0.9,7,12,35.4,2020-01-31 03:41:40
873,1801,Valid,2020/01/31,03:42:11,32.112762,34.808659000000006,17.5,0.0,0.0,2.1,1.2,1.8,8,12,34.0,2020-01-31 03:42:11
874,1802,Valid,2020/01/31,03:42:41,32.112628,34.808659999999996,18.8,14.27,25.07,1.5,1.2,0.9,7,12,36.9,2020-01-31 03:42:41
875,1803,Valid,2020/01/31,03:43:11,32.112561,34.80874,20.8,0.0,0.0,2.2,1.4,1.7,8,12,34.8,2020-01-31 03:43:11
876,1804,Valid,2020/01/31,03:43:42,32.112476,34.808921000000005,18.9,0.0,0.0,1.7,1.4,0.9,7,12,35.0,2020-01-31 03:43:42
877,1805,Valid,2020/01/31,03:44:12,32.112428,34.808851000000004,16.2,0.0,0.0,2.0,1.8,0.9,7,12,32.7,2020-01-31 03:44:12
878,1806,Valid,2020/01/31,03:44:42,32.112970000000004,34.808981,21.0,0.0,0.0,1.3,0.8,1.1,12,12,35.1,2020-01-31 03:44:42
879,1807,Valid,2020/01/31,03:45:13,32.112686,34.808473,21.5,0.0,0.0,1.5,1.3,0.9,7,12,35.8,2020-01-31 03:45:13
880,1808,Valid,2020/01/31,03:45:43,32.112394,34.808553,22.7,0.0,0.0,1.6,1.3,0.9,6,12,36.0,2020-01-31 03:45:43
881,1809,Valid,2020/01/31,03:46:13,32.112699,34.808690999999996,21.9,0.0,0.0,1.3,0.8,1.1,12,12,35.3,2020-01-31 03:46:13
882,1810,Valid,2020/01/31,03:46:44,32.112742,34.808440999999995,26.8,0.0,0.0,1.7,0.9,1.4,10,12,33.0,2020-01-31 03:46:44
883,1811,Valid,2020/01/31,03:47:14,32.112602,34.809146000000005,26.1,0.0,0.0,2.3,2.1,0.9,6,13,36.0,2020-01-31 03:47:14
884,1812,Valid,2020/01/31,03:47:44,32.112642,34.808701,28.5,0.0,0.0,1.9,1.0,1.6,9,13,34.5,2020-01-31 03:47:44
885,1813,Valid,2020/01/31,03:48:15,32.112999,34.808011,27.7,0.0,0.0,1.6,1.4,0.9,7,13,34.1,2020-01-31 03:48:15
886,1814,Valid,2020/01/31,03:48:45,32.112675,34.809145,29.4,21.05,284.38,2.2,2.0,0.9,6,13,34.3,2020-01-31 03:48:45
887,1815,Valid,2020/01/31,03:49:15,32.112888,34.808482,27.6,0.0,0.0,2.3,1.6,1.7,8,13,33.8,2020-01-31 03:49:15
888,1816,Valid,2020/01/31,03:49:46,32.112584999999996,34.809598,27.3,0.0,0.0,2.0,1.8,0.9,7,13,34.0,2020-01-31 03:49:46
889,1821,Valid,2020/01/31,03:52:17,32.112790999999994,34.808526,28.7,0.0,0.0,2.2,1.2,1.8,8,13,37.4,2020-01-31 03:52:17
890,1822,Valid,2020/01/31,03:52:48,32.113242,34.808218,28.2,0.0,0.0,2.4,2.2,1.0,6,13,32.8,2020-01-31 03:52:48
891,1824,Valid,2020/01/31,03:53:48,32.112724,34.808686,29.3,0.0,0.0,1.5,0.9,1.2,11,13,37.6,2020-01-31 03:53:48
892,1825,Valid,2020/01/31,03:54:19,32.111395,34.808707,31.8,0.0,0.0,1.4,0.9,1.1,11,13,36.3,2020-01-31 03:54:19
893,1826,Valid,2020/01/31,03:54:49,32.111807,34.8084,31.8,0.0,0.0,1.9,1.2,1.5,8,13,36.9,2020-01-31 03:54:49
894,1827,Valid,2020/01/31,03:55:19,32.111641,34.808686,31.1,0.0,90.0,1.5,1.2,0.9,7,13,36.6,2020-01-31 03:55:19
895,1828,Valid,2020/01/31,03:55:50,32.111744,34.808551,30.4,0.0,0.0,2.5,1.3,2.1,8,13,35.2,2020-01-31 03:55:50
896,1829,Valid,2020/01/31,03:56:20,32.11175,34.808715,29.8,4.06,77.56,2.2,1.2,1.8,9,13,36.0,2020-01-31 03:56:20
897,1830,Valid,2020/01/31,03:56:50,32.111698,34.808689,29.2,2.68,306.88,2.2,1.2,1.8,9,13,36.8,2020-01-31 03:56:50
898,1831,Valid,2020/01/31,03:57:21,32.111691,34.808709,30.4,0.0,0.0,2.5,1.2,2.2,8,13,34.5,2020-01-31 03:57:21
899,1832,Valid,2020/01/31,03:57:51,32.111638,34.808768,30.4,0.0,0.0,1.8,1.5,0.9,6,13,34.5,2020-01-31 03:57:51
