,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
6718,442,Valid,2021/02/04,16:13:26,32.113107,34.808848,2.5,14.98,77.15,1.5,1.2,0.9,6,10,34.5,2021-02-04 16:13:26
6719,449,Valid,2021/02/04,16:16:58,32.112984000000004,34.808789000000004,4.7,0.0,0.0,1.4,1.1,0.9,7,10,35.1,2021-02-04 16:16:58
6720,451,Valid,2021/02/04,16:17:59,32.112716,34.809045000000005,4.5,0.0,0.0,1.4,1.1,0.9,6,10,32.5,2021-02-04 16:17:59
6721,453,Valid,2021/02/04,16:18:59,32.112478,34.808890000000005,4.1,25.6,153.34,2.4,2.3,0.8,6,10,34.3,2021-02-04 16:18:59
6722,467,Valid,2021/02/04,16:26:03,32.112894,34.808686,4.1,0.0,0.0,1.5,1.2,1.0,6,10,33.7,2021-02-04 16:26:03
6723,483,Valid,2021/02/04,16:34:08,32.112831,34.808909,4.3,0.0,0.0,1.5,1.1,1.0,6,10,32.6,2021-02-04 16:34:08
6724,488,Valid,2021/02/04,16:36:39,32.11123,34.807354,4.2,0.0,0.0,1.6,1.2,0.9,6,10,34.2,2021-02-04 16:36:39
6725,1035,Valid,2021/02/04,21:12:50,32.112787,34.808724,3.7,0.0,0.0,1.8,1.5,1.0,7,10,34.0,2021-02-04 21:12:50
6726,1036,Valid,2021/02/04,21:13:20,32.1137,34.809556,3.5,0.0,0.0,1.8,1.5,1.0,7,10,34.0,2021-02-04 21:13:20
6727,1041,Valid,2021/02/04,21:15:52,32.118158,34.809527,4.2,0.0,0.0,2.7,2.5,1.0,6,10,33.2,2021-02-04 21:15:52
6728,1042,Valid,2021/02/04,21:16:22,32.114808000000004,34.809971999999995,4.7,11.01,53.93,3.2,3.1,0.9,6,10,32.6,2021-02-04 21:16:22
6729,1043,Valid,2021/02/04,21:16:52,32.118990999999994,34.808437,5.1,0.0,0.0,2.0,1.7,0.9,6,10,34.1,2021-02-04 21:16:52
6730,1044,Valid,2021/02/04,21:17:23,32.118916999999996,34.809151,5.2,0.0,0.0,2.0,1.7,0.9,6,10,32.7,2021-02-04 21:17:23
6731,1048,Valid,2021/02/04,21:19:24,32.118581,34.808724,6.5,19.55,257.04,1.9,1.1,1.5,9,10,33.3,2021-02-04 21:19:24
6732,1053,Valid,2021/02/04,21:21:55,32.118464,34.808269,6.0,0.0,0.0,2.2,1.9,0.9,6,10,34.2,2021-02-04 21:21:55
6733,1054,Valid,2021/02/04,21:22:26,32.11898,34.808543,7.1,32.51,166.27,2.0,1.8,0.9,7,10,35.5,2021-02-04 21:22:26
6734,1056,Valid,2021/02/04,21:23:26,32.118449,34.808996,9.1,7.28,27.27,2.0,1.8,0.9,7,10,36.0,2021-02-04 21:23:26
6735,1057,Valid,2021/02/04,21:23:57,32.118573,34.809061,10.7,0.0,0.0,2.0,1.8,0.9,7,10,34.4,2021-02-04 21:23:57
6736,1059,Valid,2021/02/04,21:24:57,32.119246000000004,34.809104,12.2,0.0,0.0,2.2,1.2,1.8,8,10,33.9,2021-02-04 21:24:57
6737,1062,Valid,2021/02/04,21:26:28,32.118319,34.809621,12.8,0.0,0.0,2.1,1.9,1.0,6,10,32.0,2021-02-04 21:26:28
6738,1068,Valid,2021/02/04,21:29:30,32.118646000000005,34.809049,12.8,0.0,0.0,2.1,1.9,0.9,6,10,33.2,2021-02-04 21:29:30
6739,1072,Valid,2021/02/04,21:31:31,32.118518,34.809404,13.5,0.0,0.0,1.8,1.5,0.9,7,10,35.8,2021-02-04 21:31:31
6740,1078,Valid,2021/02/04,21:34:33,32.118241999999995,34.808966,13.5,0.0,0.0,2.2,2.0,1.0,6,10,34.5,2021-02-04 21:34:33
