,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
5431,32,Valid,2020/04/12,11:46:27,32.111406,34.809484999999995,1.1,0.0,0.0,1.9,1.7,0.9,6,11,35.3,2020-04-12 11:46:27
911,6,Valid,2020/04/14,11:03:19,32.11135,34.808045,1.1,0.0,0.0,1.6,1.3,0.9,6,11,38.1,2020-04-14 11:03:19
912,894,Valid,2020/04/14,18:31:32,32.111086,34.807653,3.7,0.0,0.0,1.5,1.2,0.9,7,12,34.0,2020-04-14 18:31:32
913,897,Valid,2020/04/14,18:33:03,32.111131,34.808229,3.0,0.0,0.0,1.8,1.6,0.9,6,12,32.1,2020-04-14 18:33:03
914,900,Valid,2020/04/14,18:34:33,32.110276,34.807217,2.3,0.0,0.0,1.6,1.3,0.9,6,11,31.3,2020-04-14 18:34:33
915,925,Valid,2020/04/14,18:47:11,32.111168,34.807317,2.0,8.78,85.76,1.7,1.4,0.9,6,12,35.7,2020-04-14 18:47:11
916,929,Valid,2020/04/14,18:49:12,32.111201,34.807579,1.0,0.0,0.0,1.7,1.4,0.9,6,12,34.1,2020-04-14 18:49:12
917,933,Valid,2020/04/14,18:51:14,32.111893,34.807988,2.3,0.0,0.0,1.5,1.2,0.9,6,12,36.9,2020-04-14 18:51:14
918,934,Valid,2020/04/14,18:51:44,32.111813,34.807981,3.0,10.96,93.06,1.4,1.1,0.9,7,12,33.1,2020-04-14 18:51:44
919,937,Valid,2020/04/14,18:53:15,32.111670000000004,34.807922,2.0,0.0,0.0,1.4,1.1,0.9,6,12,32.0,2020-04-14 18:53:15
920,1038,Valid,2020/04/14,19:44:15,32.111109,34.808557,1.6,36.22,92.58,1.8,1.5,1.0,6,11,30.7,2020-04-14 19:44:15
921,1053,Valid,2020/04/14,19:51:50,32.110991,34.808173,1.4,0.0,0.0,1.7,1.4,1.0,6,12,34.1,2020-04-14 19:51:50
922,1058,Valid,2020/04/14,19:54:22,32.111244,34.808347,1.3,0.0,0.0,1.7,1.4,1.0,6,12,36.7,2020-04-14 19:54:22
923,1059,Valid,2020/04/14,19:54:52,32.110789000000004,34.807813,1.1,13.01,113.7,1.6,1.3,0.9,6,12,32.4,2020-04-14 19:54:52
924,1078,Valid,2020/04/14,20:04:28,32.110774,34.808468,1.8,0.0,0.0,1.7,1.4,0.9,7,13,31.5,2020-04-14 20:04:28
925,1081,Valid,2020/04/14,20:05:59,32.111403,34.808558000000005,2.9,6.14,224.48,1.7,1.5,0.9,6,13,33.1,2020-04-14 20:05:59
926,1082,Valid,2020/04/14,20:06:29,32.111573,34.80894,5.5,0.0,0.0,1.7,1.5,0.9,6,13,31.2,2020-04-14 20:06:29
927,1100,Valid,2020/04/14,20:15:35,32.11153,34.808531,6.1,44.7,4.58,2.3,1.4,1.9,8,13,34.7,2020-04-14 20:15:35
928,1101,Valid,2020/04/14,20:16:05,32.11187,34.807648,7.9,0.0,0.0,3.1,1.4,2.7,8,13,34.2,2020-04-14 20:16:05
929,1103,Valid,2020/04/14,20:17:06,32.112345,34.808677,6.5,0.0,0.0,1.6,1.3,0.9,7,13,33.2,2020-04-14 20:17:06
930,1111,Valid,2020/04/14,20:21:08,32.111284000000005,34.808473,6.1,0.0,0.0,2.0,1.8,0.9,6,13,34.5,2020-04-14 20:21:08
931,1116,Valid,2020/04/14,20:23:40,32.111511,34.808467,6.7,30.6,353.79,2.0,1.8,0.9,6,12,34.2,2020-04-14 20:23:40
932,1117,Valid,2020/04/14,20:24:10,32.111641,34.808098,6.6,6.49,325.69,2.0,1.8,1.0,6,12,35.5,2020-04-14 20:24:10
933,1126,Valid,2020/04/14,20:28:43,32.11193,34.807832,7.7,0.0,0.0,1.7,1.5,1.0,7,11,35.0,2020-04-14 20:28:43
934,1136,Valid,2020/04/14,20:33:46,32.111105,34.808457000000004,8.1,0.0,0.0,2.0,1.8,1.0,6,11,34.0,2020-04-14 20:33:46
935,1146,Valid,2020/04/14,20:38:49,32.111483,34.8083,8.6,0.0,0.0,1.6,1.2,0.9,6,11,33.6,2020-04-14 20:38:49
936,1153,Valid,2020/04/14,20:42:43,32.111532000000004,34.808731,4.5,0.0,0.0,1.5,1.2,0.9,7,11,33.1,2020-04-14 20:42:43
937,1154,Valid,2020/04/14,20:43:13,32.111521999999994,34.80839,5.9,0.0,0.0,1.4,1.1,0.9,7,11,32.2,2020-04-14 20:43:13
938,1162,Valid,2020/04/14,20:47:41,32.111381,34.808618,8.7,0.0,0.0,1.6,1.3,0.9,6,10,34.1,2020-04-14 20:47:41
939,1163,Valid,2020/04/14,20:48:11,32.110878,34.808659999999996,9.2,0.0,0.0,1.6,1.3,0.9,7,10,34.6,2020-04-14 20:48:11
940,1164,Valid,2020/04/14,20:48:41,32.111426,34.808271000000005,10.6,0.0,0.0,1.6,1.3,0.9,7,10,32.7,2020-04-14 20:48:41
941,1171,Valid,2020/04/14,20:52:13,32.11157,34.8083,10.5,0.0,0.0,1.6,1.3,0.9,6,10,33.8,2020-04-14 20:52:13
942,1173,Valid,2020/04/14,20:53:14,32.111771000000005,34.807573,12.2,27.95,191.7,1.6,1.3,0.9,6,10,34.5,2020-04-14 20:53:14
943,1174,Valid,2020/04/14,20:53:44,32.110929999999996,34.808703,13.3,21.81,190.82,1.6,1.3,0.9,6,10,34.8,2020-04-14 20:53:44
944,1175,Valid,2020/04/14,20:54:15,32.109561,34.809784,13.3,0.0,0.0,1.9,1.6,0.9,6,10,33.8,2020-04-14 20:54:15
