,Index,Status,Date,UTC,Latitude,Longitude,Altitude [m],Speed [km/H],Azimuth [DTN],PDOP,HDOP,VDOP,SVs in Use,SVs in View,SNR Avg [dB],All_time
9859,1249,Valid,2020/02/09,23:00:53,32.110616,34.808136,0.2,0.0,0.0,1.7,1.5,0.9,6,11,32.5,2020-02-09 23:00:53
9860,1256,Valid,2020/02/09,23:04:26,32.111414,34.807465,5.7,0.0,0.0,1.5,1.2,0.9,7,10,35.4,2020-02-09 23:04:26
9861,1257,Valid,2020/02/09,23:04:56,32.112,34.808564000000004,5.4,0.0,0.0,3.1,1.5,2.7,8,10,36.2,2020-02-09 23:04:56
9862,1258,Valid,2020/02/09,23:05:26,32.113201000000004,34.80907,5.5,0.0,0.0,1.6,1.3,1.0,6,10,35.8,2020-02-09 23:05:26
9863,1259,Valid,2020/02/09,23:05:57,32.113676,34.809643,7.6,5.67,171.48,1.7,0.9,1.5,9,10,36.4,2020-02-09 23:05:57
9864,1260,Valid,2020/02/09,23:06:27,32.114315999999995,34.809702,11.1,16.89,345.26,1.7,0.9,1.5,9,10,38.8,2020-02-09 23:06:27
9865,1261,Valid,2020/02/09,23:06:57,32.115025,34.80853,11.2,30.36,26.08,1.7,1.4,0.9,6,10,40.0,2020-02-09 23:06:57
9866,1262,Valid,2020/02/09,23:07:27,32.114964,34.80894,11.4,0.0,0.0,2.2,1.0,2.0,9,10,37.0,2020-02-09 23:07:27
9867,1263,Valid,2020/02/09,23:07:58,32.115491999999996,34.808991,15.0,28.06,270.74,2.2,1.0,2.0,9,10,39.0,2020-02-09 23:07:58
9868,1264,Valid,2020/02/09,23:08:28,32.11545,34.80937,15.3,22.95,95.48,2.2,1.0,2.0,9,10,37.0,2020-02-09 23:08:28
9869,1265,Valid,2020/02/09,23:08:58,32.11466,34.809317,17.0,32.82,91.38,2.2,1.0,2.0,9,10,37.7,2020-02-09 23:08:58
9870,1266,Valid,2020/02/09,23:09:29,32.11375,34.809498,22.3,5.5,330.11,1.7,0.9,1.4,10,10,37.2,2020-02-09 23:09:29
9871,1267,Valid,2020/02/09,23:09:59,32.113772999999995,34.809424,21.6,0.0,0.0,1.4,1.1,0.9,7,10,36.2,2020-02-09 23:09:59
9872,1268,Valid,2020/02/09,23:10:29,32.113783000000005,34.809446,25.0,0.0,0.0,1.9,1.1,1.6,9,10,37.2,2020-02-09 23:10:29
9873,1269,Valid,2020/02/09,23:11:00,32.114003000000004,34.809794000000004,24.7,0.0,0.0,1.7,1.4,0.9,7,10,37.6,2020-02-09 23:11:00
9874,1270,Valid,2020/02/09,23:11:30,32.113797,34.809845,32.2,8.59,271.49,1.9,1.1,1.6,9,10,35.3,2020-02-09 23:11:30
9875,1271,Valid,2020/02/09,23:12:00,32.114289,34.809594,35.4,0.0,0.0,1.7,0.9,1.5,9,10,38.2,2020-02-09 23:12:00
9876,1272,Valid,2020/02/09,23:12:31,32.115254,34.808817,36.0,13.07,287.36,2.4,1.0,2.1,8,10,36.9,2020-02-09 23:12:31
9877,1273,Valid,2020/02/09,23:13:01,32.114804,34.808723,40.1,0.0,0.0,2.4,1.2,2.1,8,10,39.2,2020-02-09 23:13:01
9878,1274,Valid,2020/02/09,23:13:31,32.114823,34.808858,39.0,0.0,0.0,2.2,1.0,1.9,9,10,38.1,2020-02-09 23:13:31
9879,1275,Valid,2020/02/09,23:14:02,32.114447,34.808443,35.6,29.97,46.95,1.8,1.0,1.5,8,10,38.0,2020-02-09 23:14:02
9880,1276,Valid,2020/02/09,23:14:32,32.114693,34.808935,40.2,16.39,54.68,2.2,1.1,1.9,8,10,37.4,2020-02-09 23:14:32
9881,1277,Valid,2020/02/09,23:15:02,32.115387,34.808993,38.4,33.11,138.37,2.2,1.0,1.9,9,10,37.6,2020-02-09 23:15:02
9882,1278,Valid,2020/02/09,23:15:33,32.114776,34.808651,41.9,23.85,258.57,2.4,1.2,2.1,8,10,39.4,2020-02-09 23:15:33
9883,1279,Valid,2020/02/09,23:16:03,32.114729,34.809028999999995,39.1,0.0,0.0,2.2,1.0,1.9,9,10,38.0,2020-02-09 23:16:03
9884,1280,Valid,2020/02/09,23:16:33,32.115035999999996,34.808789000000004,40.0,0.0,0.0,2.4,1.0,2.1,8,10,37.6,2020-02-09 23:16:33
9885,1281,Valid,2020/02/09,23:17:03,32.114955,34.808962,49.9,15.46,264.47,2.2,1.0,1.9,9,10,39.3,2020-02-09 23:17:03
9886,1282,Valid,2020/02/09,23:17:34,32.115056,34.808642,51.2,0.0,0.0,2.2,1.0,1.9,9,10,36.0,2020-02-09 23:17:34
9887,1283,Valid,2020/02/09,23:18:04,32.115035999999996,34.808754,51.0,0.0,0.0,1.4,1.1,0.9,7,10,37.9,2020-02-09 23:18:04
9888,1284,Valid,2020/02/09,23:18:34,32.114942,34.808639,49.4,0.0,0.0,1.7,1.0,1.5,9,11,37.1,2020-02-09 23:18:34
9889,1285,Valid,2020/02/09,23:19:05,32.115111999999996,34.808865999999995,53.0,11.05,35.67,1.7,0.9,1.4,9,11,35.1,2020-02-09 23:19:05
9890,1286,Valid,2020/02/09,23:19:35,32.115087,34.808986,53.9,3.94,350.08,2.1,1.0,1.9,9,11,36.1,2020-02-09 23:19:35
9891,1287,Valid,2020/02/09,23:20:05,32.114990999999996,34.808701,52.7,0.0,0.0,2.3,1.1,2.0,8,11,35.8,2020-02-09 23:20:05
9892,1288,Valid,2020/02/09,23:20:36,32.115202000000004,34.808933,51.1,8.9,305.89,1.3,1.0,0.8,7,11,33.9,2020-02-09 23:20:36
9893,1289,Valid,2020/02/09,23:21:06,32.115108,34.808862,51.5,0.0,0.0,1.4,1.1,0.9,6,11,35.8,2020-02-09 23:21:06
9894,1290,Valid,2020/02/09,23:21:36,32.115319,34.809239,51.7,14.46,105.03,1.7,1.4,0.9,6,11,36.3,2020-02-09 23:21:36
9895,1291,Valid,2020/02/09,23:22:07,32.115235,34.808854,52.9,0.0,0.0,2.1,1.0,1.8,8,11,35.7,2020-02-09 23:22:07
9896,1292,Valid,2020/02/09,23:22:37,32.115144,34.808795,53.1,0.0,0.0,2.3,1.0,2.1,8,11,38.1,2020-02-09 23:22:37
9897,1293,Valid,2020/02/09,23:23:07,32.114675,34.808971,51.5,15.27,301.29,2.1,1.0,1.8,9,11,36.9,2020-02-09 23:23:07
9898,1294,Valid,2020/02/09,23:23:38,32.115199,34.808465999999996,50.9,0.0,0.0,1.5,1.1,0.9,7,11,36.0,2020-02-09 23:23:38
9899,1295,Valid,2020/02/09,23:24:08,32.1151,34.808836,51.1,0.0,0.0,1.4,1.0,0.9,7,11,37.7,2020-02-09 23:24:08
9900,1296,Valid,2020/02/09,23:24:38,32.115116,34.808776,51.7,0.0,0.0,2.0,1.1,1.7,8,11,36.7,2020-02-09 23:24:38
9901,1297,Valid,2020/02/09,23:25:09,32.114954,34.808899,51.2,5.58,199.95,1.7,1.0,1.5,9,11,37.9,2020-02-09 23:25:09
9902,1298,Valid,2020/02/09,23:25:39,32.114756,34.808942,52.4,0.0,0.0,2.1,1.1,1.8,8,11,37.9,2020-02-09 23:25:39
9903,1299,Valid,2020/02/09,23:26:09,32.114909999999995,34.809025,52.9,0.0,0.0,1.4,1.0,0.9,7,11,35.6,2020-02-09 23:26:09
9904,1300,Valid,2020/02/09,23:26:40,32.115342999999996,34.808792,49.1,0.0,0.0,2.2,1.2,1.9,8,11,39.2,2020-02-09 23:26:40
9905,1301,Valid,2020/02/09,23:27:10,32.116268,34.808594,50.2,23.96,353.54,1.7,1.4,0.9,6,11,36.1,2020-02-09 23:27:10
9906,1302,Valid,2020/02/09,23:27:40,32.117445000000004,34.809151,50.6,18.04,171.46,1.4,1.1,0.9,7,11,35.3,2020-02-09 23:27:40
